id	level	name_text_id	description_text_id	exp	category	invoke_type	invoke_count	area_type	area_param1	area_param2	area_param3	erase_score	skill_type	skill_param1	skill_param2	skill_param3	limit_count
1	1	1	93	200	1		10			2		1000					
1	2	1	93	400	1		11			2		2000					
1	3	1	93	800	1		12			2		3000					
1	4	1	93	1600	1		13			2		4000					
1	5	1	93		1		14			2		5000					
2	1	2	94	200	1		10	10	2	11		1000					
2	2	2	94	400	1		11	10	2	12		2000					
2	3	2	94	800	1		12	10	2	13		3000					
2	4	2	94	1600	1		13	10	2	15		4000					
2	5	2	94		1		14	10	2	17		5000					
3	1	3	95	200	1		10	12					5	27	4	8	
3	2	3	95	400	1		11	12					5	27	4	9	
3	3	3	95	800	1		12	12					5	27	4	10	
3	4	3	95	1600	1		13	12					5	27	4	11	
3	5	3	95		1		14	12					5	27	4	12	
4	1	4	96	200	1		10	12					6	1	8	2	
4	2	4	96	400	1		11	12					6	1	9	2	
4	3	4	96	800	1		12	12					6	1	10	2	
4	4	4	96	1600	1		13	12					6	1	11	2	
4	5	4	96		1		14	12					6	1	13	2	
5	1	5	97	200	1		10	12					3				
5	2	5	97	400	1		11	12					3				
5	3	5	97	800	1		12	12					3				
5	4	5	97	1600	1		13	12					3				
5	5	5	97		1		14	12					3				
6	1	1	93	200	1		19			1		1000					
6	2	1	93	1000	1		18			1		2000					
6	3	1	93	2500	1		17			1		3000					
6	4	1	93	5000	1		16			1		4000					
6	5	1	93		1		15			1		5000					
7	1	6	98	200	1		19	1		1		1000					
7	2	6	98	1000	1		18	1		1		2000					
7	3	6	98	2500	1		17	1		1		3000					
7	4	6	98	5000	1		16	1		1		4000					
7	5	6	98		1		15	1		1		5000					
8	1	7	99	200	1		19	2		1		1000					
8	2	7	99	1000	1		18	2		1		2000					
8	3	7	99	2500	1		17	2		1		3000					
8	4	7	99	5000	1		16	2		1		4000					
8	5	7	99		1		15	2		1		5000					
9	1	8	100	200	1		19	3		1		1000					
9	2	8	100	1000	1		18	3		1		2000					
9	3	8	100	2500	1		17	3		1		3000					
9	4	8	100	5000	1		16	3		1		4000					
9	5	8	100		1		15	3		1		5000					
10	1	9	101	200	1		21	4	1			1000					
10	2	9	101	1000	1		20	4	1			2000					
10	3	9	101	2500	1		19	4	1			3000					
10	4	9	101	5000	1		18	4	1			4000					
10	5	9	101		1		18	4	2			5000					
11	1	10	102	200	1		15	10	1	6		1000					
11	2	10	102	1000	1		14	10	1	6		2000					
11	3	10	102	2500	1		13	10	1	7		3000					
11	4	10	102	5000	1		12	10	1	7		4000					
11	5	10	102		1		11	10	1	8		5000					
12	1	2	94	200	1		15	10	2	6		1000					
12	2	2	94	1000	1		14	10	2	6		2000					
12	3	2	94	2500	1		13	10	2	7		3000					
12	4	2	94	5000	1		12	10	2	7		4000					
12	5	2	94		1		11	10	2	8		5000					
13	1	11	103	200	1		15	10	4	6		1000					
13	2	11	103	1000	1		14	10	4	6		2000					
13	3	11	103	2500	1		13	10	4	7		3000					
13	4	11	103	5000	1		12	10	4	7		4000					
13	5	11	103		1		11	10	4	8		5000					
14	1	12	104	200	1		15	10	8	6		1000					
14	2	12	104	1000	1		14	10	8	6		2000					
14	3	12	104	2500	1		13	10	8	7		3000					
14	4	12	104	5000	1		12	10	8	7		4000					
14	5	12	104		1		11	10	8	8		5000					
15	1	13	105	200	1		15	10	16	6		1000					
15	2	13	105	1000	1		14	10	16	6		2000					
15	3	13	105	2500	1		13	10	16	7		3000					
15	4	13	105	5000	1		12	10	16	7		4000					
15	5	13	105		1		11	10	16	8		5000					
16	1	14	106	200	1		15	11	5			1000					
16	2	14	106	1000	1		14	11	5			2000					
16	3	14	106	2500	1		13	11	6			3000					
16	4	14	106	5000	1		12	11	6			4000					
16	5	14	106		1		11	11	7			5000					
17	1	15	107	200	1		17	12					1	2500			
17	2	15	107	1000	1		16	12					1	3000			
17	3	15	107	2500	1		15	12					1	3500			
17	4	15	107	5000	1		14	12					1	4000			
17	5	15	107		1		13	12					1	5000			
18	1	16	108	200	1		17	12					2	2	10		1
18	2	16	108	1000	1		16	12					2	4	15		1
18	3	16	108	2500	1		15	12					2	6	20		1
18	4	16	108	5000	1		14	12					2	8	25		1
18	5	16	108		1		13	12					2	10	30		1
19	1	17	97	200	1		15	12					3				
19	2	17	97	1000	1		14	12					3				
19	3	17	97	2500	1		13	12					3				
19	4	17	97	5000	1		12	12					3				
19	5	17	97		1		11	12					3				
20	1	18	109	200	1		15	12					4	4	1		
20	2	18	109	1000	1		14	12					4	4	1		
20	3	18	109	2500	1		13	12					4	4	1		
20	4	18	109	5000	1		12	12					4	4	1		
20	5	18	109		1		11	12					4	4	1		
21	1	18	110	200	1		15	12					4	4	2		
21	2	18	110	1000	1		14	12					4	4	2		
21	3	18	110	2500	1		13	12					4	4	2		
21	4	18	110	5000	1		12	12					4	4	2		
21	5	18	110		1		11	12					4	4	2		
22	1	18	111	200	1		15	12					4	4	4		
22	2	18	111	1000	1		14	12					4	4	4		
22	3	18	111	2500	1		13	12					4	4	4		
22	4	18	111	5000	1		12	12					4	4	4		
22	5	18	111		1		11	12					4	4	4		
23	1	18	112	200	1		15	12					4	4	8		
23	2	18	112	1000	1		14	12					4	4	8		
23	3	18	112	2500	1		13	12					4	4	8		
23	4	18	112	5000	1		12	12					4	4	8		
23	5	18	112		1		11	12					4	4	8		
24	1	18	113	200	1		15	12					4	4	16		
24	2	18	113	1000	1		14	12					4	4	16		
24	3	18	113	2500	1		13	12					4	4	16		
24	4	18	113	5000	1		12	12					4	4	16		
24	5	18	113		1		11	12					4	4	16		
25	1	19	114	200	1		17	12					5	2	1	7	
25	2	19	114	1000	1		16	12					5	2	1	7	
25	3	19	114	2500	1		15	12					5	2	1	8	
25	4	19	114	5000	1		14	12					5	2	1	8	
25	5	19	114		1		13	12					5	2	1	9	
26	1	19	115	200	1		17	12					5	4	1	7	
26	2	19	115	1000	1		16	12					5	4	1	7	
26	3	19	115	2500	1		15	12					5	4	1	8	
26	4	19	115	5000	1		14	12					5	4	1	8	
26	5	19	115		1		13	12					5	4	1	9	
27	1	19	116	200	1		17	12					5	8	1	7	
27	2	19	116	1000	1		16	12					5	8	1	7	
27	3	19	116	2500	1		15	12					5	8	1	8	
27	4	19	116	5000	1		14	12					5	8	1	8	
27	5	19	116		1		13	12					5	8	1	9	
28	1	19	117	200	1		17	12					5	16	1	7	
28	2	19	117	1000	1		16	12					5	16	1	7	
28	3	19	117	2500	1		15	12					5	16	1	8	
28	4	19	117	5000	1		14	12					5	16	1	8	
28	5	19	117		1		13	12					5	16	1	9	
29	1	20	118	200	1		17	12					5	1	2	7	
29	2	20	118	1000	1		16	12					5	1	2	7	
29	3	20	118	2500	1		15	12					5	1	2	8	
29	4	20	118	5000	1		14	12					5	1	2	8	
29	5	20	118		1		13	12					5	1	2	9	
30	1	20	119	200	1		17	12					5	4	2	7	
30	2	20	119	1000	1		16	12					5	4	2	7	
30	3	20	119	2500	1		15	12					5	4	2	8	
30	4	20	119	5000	1		14	12					5	4	2	8	
30	5	20	119		1		13	12					5	4	2	9	
31	1	20	120	200	1		17	12					5	8	2	7	
31	2	20	120	1000	1		16	12					5	8	2	7	
31	3	20	120	2500	1		15	12					5	8	2	8	
31	4	20	120	5000	1		14	12					5	8	2	8	
31	5	20	120		1		13	12					5	8	2	9	
32	1	20	121	200	1		17	12					5	16	2	7	
32	2	20	121	1000	1		16	12					5	16	2	7	
32	3	20	121	2500	1		15	12					5	16	2	8	
32	4	20	121	5000	1		14	12					5	16	2	8	
32	5	20	121		1		13	12					5	16	2	9	
33	1	3	122	200	1		17	12					5	1	4	7	
33	2	3	122	1000	1		16	12					5	1	4	7	
33	3	3	122	2500	1		15	12					5	1	4	8	
33	4	3	122	5000	1		14	12					5	1	4	8	
33	5	3	122		1		13	12					5	1	4	9	
34	1	3	123	200	1		17	12					5	2	4	7	
34	2	3	123	1000	1		16	12					5	2	4	7	
34	3	3	123	2500	1		15	12					5	2	4	8	
34	4	3	123	5000	1		14	12					5	2	4	8	
34	5	3	123		1		13	12					5	2	4	9	
35	1	3	124	200	1		17	12					5	8	4	7	
35	2	3	124	1000	1		16	12					5	8	4	7	
35	3	3	124	2500	1		15	12					5	8	4	8	
35	4	3	124	5000	1		14	12					5	8	4	8	
35	5	3	124		1		13	12					5	8	4	9	
36	1	3	125	200	1		17	12					5	16	4	7	
36	2	3	125	1000	1		16	12					5	16	4	7	
36	3	3	125	2500	1		15	12					5	16	4	8	
36	4	3	125	5000	1		14	12					5	16	4	8	
36	5	3	125		1		13	12					5	16	4	9	
37	1	21	126	200	1		17	12					5	1	8	7	
37	2	21	126	1000	1		16	12					5	1	8	7	
37	3	21	126	2500	1		15	12					5	1	8	8	
37	4	21	126	5000	1		14	12					5	1	8	8	
37	5	21	126		1		13	12					5	1	8	9	
38	1	21	127	200	1		17	12					5	2	8	7	
38	2	21	127	1000	1		16	12					5	2	8	7	
38	3	21	127	2500	1		15	12					5	2	8	8	
38	4	21	127	5000	1		14	12					5	2	8	8	
38	5	21	127		1		13	12					5	2	8	9	
39	1	21	128	200	1		17	12					5	4	8	7	
39	2	21	128	1000	1		16	12					5	4	8	7	
39	3	21	128	2500	1		15	12					5	4	8	8	
