id	icon
1	1
2	13
3	23
4	32
5	20
6	1
7	2
8	3
9	4
10	5
11	11
12	13
13	12
14	15
15	14
16	16
17	17
18	18
19	20
20	21
21	21
22	21
23	21
24	21
25	22
26	22
27	22
28	22
29	24
30	24
31	24
32	24
33	23
34	23
35	23
36	23
37	26
38	26
39	26
40	26
41	25
42	25
43	25
44	25
45	22
46	24
47	23
48	26
49	25
50	28
51	30
52	29
53	32
54	31
55	34
56	35
57	36
58	37
59	39
60	41
61	44
62	45
63	46
64	49
65	50
66	52
67	53
68	53
69	53
70	53
71	53
72	54
73	55
74	59
75	61
76	60
77	63
78	62
79	65
80	67
81	66
82	69
83	68
84	71
85	73
86	72
87	75
88	74
89	76
90	76
91	76
92	76
93	76
94	77
95	79
96	78
97	81
98	80
99	77
100	79
101	78
102	81
103	80
104	83
105	84
106	86
107	85
108	88
109	87
110	91
111	92
112	57
113	
114	20
115	
116	
117	
118	
119	
120	
121	48
122	16
123	84
124	86
125	85
126	88
127	87
10041	46
10042	54
10043	20
10044	44
10045	24
10046	12
10047	32
10048	14
10049	28
10050	13
10051	4
10052	17
10053	16
10054	4
10055	88
10056	34
10057	16
10058	86
10059	17
10060	50
10061	20
10062	50
10063	46
10064	16
10065	21
10066	23
10067	25
10068	21
10069	22
10070	23
10071	12
10072	32
10073	21
10074	14
10075	16
10076	85
10077	20
10078	34
10079	26
10080	21
10081	44
10082	31
10083	13
10084	4
10085	25
10086	25
10087	20
10088	81
10089	12
10090	16
10091	17
10092	34
10093	5
10094	26
10095	84
10096	44
10097	35
10098	79
10099	62
10100	16
10101	37
10102	83
10103	1
10104	50
10105	49
10106	84
10107	2
10108	78
10109	16
10110	30
10111	85
10112	63
10113	52
10114	53
10115	3
10116	21
10117	18
10118	49
10119	44
10120	2
10121	78
10122	39
10123	36
10124	49
10125	35
10126	68
10127	39
10128	20
10129	87
10130	4
10131	11
10132	23
10133	30
10134	15
10135	39
10136	17
10137	35
10138	37
10139	21
10140	34
10141	44
10142	83
10143	1
10144	66
10145	84
10146	36
10147	49
10148	26
10149	60
10150	92
10151	91
10152	2
10153	17
10154	46
10155	31
10156	21
10157	84
10158	2
10159	54
10160	20
10161	24
10162	4
10163	80
10164	1
10165	73
10166	25
10167	26
10168	21
10169	15
10170	17
10171	24
10172	30
10173	44
10174	20
10175	22
10176	11
10177	50
10178	29
10179	26
10180	50
10181	46
10182	44
10183	26
10184	21
10185	21
10186	15
10187	17
10188	24
10189	30
10190	44
10191	20
10192	22
10193	11
10194	50
10195	29
10196	26
10197	50
10198	46
10199	44
10200	26
19001	4
19002	54
19003	44
19004	20
19005	28
20001	25
20002	34
20003	20
20004	54
20005	4
20006	16
20007	87
20008	46
20009	86
20010	16
20011	12
20012	54
20013	13
20014	50
20015	4
20016	44
20017	20
20018	34
20019	11
20020	44
20021	46
20022	15
20023	54
20024	23
20029	5
20030	11
20031	71
20032	87
20033	20
20034	13
20035	39
20036	86
20037	3
20038	1
20039	49
20040	4
20041	73
20042	14
20043	85
20044	18
20045	16
20046	72
20047	12
20048	75
20049	34
20050	15
20051	74
30001	61
30002	88
30003	23
30004	15
30005	39
30006	71
30007	26
30008	85
30009	36
30010	28
30011	67
30012	25
30013	21
30014	23
30015	26
30016	31
30017	11
30018	25
30019	21
30020	13
30021	16
30022	17
30023	34
30024	21
80000001	42
80000002	43
