id	member_id	level	priority	reaction_scene_id	open_date	close_date
1101	1	1	1	1801	2017-01-01 00:00:00	2100-01-01 00:00:00
1102	1	1	10	22	2020-10-01 00:00:00	2020-10-07 00:00:00
1201	1	2	1	1801	2017-01-01 00:00:00	2100-01-01 00:00:00
1202	1	2	10	19	2020-10-01 00:00:00	2020-10-07 00:00:00
2101	2	1	1	1801	2017-01-01 00:00:00	2100-01-01 00:00:00
2102	2	1	10	22	2020-10-01 00:00:00	2020-10-07 00:00:00
2201	2	2	1	1801	2017-01-01 00:00:00	2100-01-01 00:00:00
2202	2	2	10	19	2020-10-01 00:00:00	2020-10-07 00:00:00
3101	3	1	1	1801	2017-01-01 00:00:00	2100-01-01 00:00:00
3102	3	1	10	22	2020-10-01 00:00:00	2020-10-07 00:00:00
3201	3	2	1	1801	2017-01-01 00:00:00	2100-01-01 00:00:00
3202	3	2	10	19	2020-10-01 00:00:00	2020-10-07 00:00:00
4101	4	1	1	1801	2017-01-01 00:00:00	2100-01-01 00:00:00
4102	4	1	10	22	2020-10-01 00:00:00	2020-10-07 00:00:00
4201	4	2	1	1801	2017-01-01 00:00:00	2100-01-01 00:00:00
4202	4	2	10	19	2020-10-01 00:00:00	2020-10-07 00:00:00
