id	member_id	type	motion_id	name	name_text_id	thumbnail_resource_id	is_default
1		1	photoA001	ピース	1	26120001	1
2		1	photoA002	手を振る	2	26120002	1
3		1	photoA003	大きく手を振る	3	26120003	1
4		1	photoA004	遠くを見る	4	26120004	1
5		1	photoA005	指さし	5	26120005	1
6		1	photoA006	見上げる	6	26120006	1
7		1	photoA007	振り返る	7	26120007	1
8		1	photoA008	サムズアップ	8	26120008	1
9		1	photoA009	仁王立ち	9	26120009	1
10		1	photoA010	おー！	10	26120010	1
11		1	photoA011	腕組み	11	26120011	1
12		1	photoA012	ガッツポーズ	12	26120012	1
13		1	photoD001	ピース（座り）	13	26120018	1
14		1	photoD002	コップを持つ（座り）	14	26120019	1
15		1	photoD003	サムズアップ（座り）	15	26120020	1
16		1	photoD004	手を振る（座り）	16	26120021	1
17		1	photoD005	挙手（座り）	17	26120022	1
18		1	photoD006	おー！（座り）	18	26120023	1
102		2	0	通常	102	26150001	1
112		2	laugh_2l	にっこり	112	26150002	1
122		2	joy2_2l	笑顔	122	26150003	1
132		2	anger_2l	怒り	132	26150004	1
142		2	sorrow2_2l	悲しい	142	26150005	1
152		2	surprise_2l	驚き	152	26150007	1
