target_type	attribute	level	point	type	val1	val2	title_text_id	description_text_id
1	1	1					1	1
1	1	2	1	12	1	1	2	210
1	1	3	2	12	2	1	3	211
1	1	4	4	12	3	1	4	212
1	1	5	6	12	4	1	5	213
1	1	6	8	12	5	1	6	214
1	1	7	10	12	1	2	2	210
1	1	8	12	12	2	2	3	211
1	1	9	14	12	3	2	4	212
1	1	10	16	12	4	2	5	213
1	1	11	18	12	5	2	6	214
1	1	12	20	12	1	3	2	210
1	1	13	22	12	2	3	3	211
1	1	14	24	12	3	3	4	212
1	1	15	27	12	4	3	5	213
1	1	16	30	12	5	3	6	214
1	1	17	33	12	1	4	2	210
1	1	18	36	12	2	4	3	211
1	1	19	39	12	3	4	4	212
1	1	20	42	12	4	4	5	213
1	1	21	45	12	5	4	6	214
1	1	22	48	12	1	5	2	210
1	1	23	51	12	2	5	3	211
1	1	24	54	12	3	5	4	212
1	1	25	57	12	4	5	5	213
1	1	26	60	12	5	5	6	214
1	1	27	63	12	1	6	2	210
1	1	28	67	12	2	6	3	211
1	1	29	71	12	3	6	4	212
1	1	30	75	12	4	6	5	213
1	1	31	79	12	5	6	6	214
1	1	32	83	12	1	7	2	210
1	1	33	87	12	2	7	3	211
1	1	34	93	12	3	7	4	212
1	1	35	97	12	4	7	5	213
1	1	36	100	12	5	7	6	214
2		2	1	12	1	1	2	210
2		3	2	12	2	1	3	211
2		4	4	12	3	1	4	212
2		5	6	12	4	1	5	213
2		6	8	12	5	1	6	214
2		7	10	12	1	2	2	210
2		8	12	12	2	2	3	211
2		9	14	12	3	2	4	212
2		10	16	12	4	2	5	213
2		11	18	12	5	2	6	214
2		12	20	12	1	3	2	210
2		13	22	12	2	3	3	211
2		14	24	12	3	3	4	212
2		15	27	12	4	3	5	213
2		16	30	12	5	3	6	214
2		17	33	12	1	4	2	210
2		18	36	12	2	4	3	211
2		19	39	12	3	4	4	212
2		20	42	12	4	4	5	213
2		21	45	12	5	4	6	214
2		22	48	12	1	5	2	210
2		23	51	12	2	5	3	211
2		24	54	12	3	5	4	212
2		25	57	12	4	5	5	213
2		26	60	12	5	5	6	214
2		27	63	12	1	6	2	210
2		28	66	12	2	6	3	211
2		29	69	12	3	6	4	212
2		30	73	12	4	6	5	213
2		31	78	12	5	6	6	214
2		32	83	12	1	7	2	210
2		33	87	12	2	7	3	211
2		34	93	12	3	7	4	212
2		35	97	12	4	7	5	213
2		36	100	12	5	7	6	214
2	1	1					1	1
3		1					1	1
3		2	1	12	1	1	2	210
3		3	2	12	2	1	3	211
3		4	4	12	3	1	4	212
3		5	6	12	4	1	5	213
3		6	8	12	5	1	6	214
3		7	10	12	1	2	2	210
3		8	12	12	2	2	3	211
3		9	14	12	3	2	4	212
3		10	16	12	4	2	5	213
3		11	18	12	5	2	6	214
3		12	20	12	1	3	2	210
3		13	22	12	2	3	3	211
3		14	24	12	3	3	4	212
3		15	27	12	4	3	5	213
3		16	30	12	5	3	6	214
3		17	33	12	1	4	2	210
3		18	36	12	2	4	3	211
3		19	39	12	3	4	4	212
3		20	42	12	4	4	5	213
3		21	45	12	5	4	6	214
3		22	48	12	1	5	2	210
3		23	51	12	2	5	3	211
3		24	54	12	3	5	4	212
3		25	57	12	4	5	5	213
3		26	60	12	5	5	6	214
3		27	63	12	1	6	2	210
3		28	66	12	2	6	3	211
3		29	69	12	3	6	4	212
3		30	73	12	4	6	5	213
3		31	78	12	5	6	6	214
3		32	83	12	1	7	2	210
3		33	87	12	2	7	3	211
3		34	93	12	3	7	4	212
3		35	97	12	4	7	5	213
3		36	100	12	5	7	6	214
4		1					1	1
4		2	1	12	1	1	2	210
4		3	2	12	2	1	3	211
4		4	4	12	3	1	4	212
4		5	6	12	4	1	5	213
4		6	8	12	5	1	6	214
4		7	10	12	1	2	2	210
4		8	12	12	2	2	3	211
4		9	14	12	3	2	4	212
4		10	16	12	4	2	5	213
4		11	18	12	5	2	6	214
4		12	20	12	1	3	2	210
4		13	22	12	2	3	3	211
4		14	24	12	3	3	4	212
4		15	27	12	4	3	5	213
4		16	30	12	5	3	6	214
4		17	33	12	1	4	2	210
4		18	36	12	2	4	3	211
4		19	39	12	3	4	4	212
4		20	42	12	4	4	5	213
4		21	45	12	5	4	6	214
4		22	48	12	1	5	2	210
4		23	51	12	2	5	3	211
4		24	54	12	3	5	4	212
4		25	57	12	4	5	5	213
4		26	60	12	5	5	6	214
4		27	63	12	1	6	2	210
4		28	66	12	2	6	3	211
4		29	69	12	3	6	4	212
4		30	73	12	4	6	5	213
4		31	78	12	5	6	6	214
4		32	83	12	1	7	2	210
4		33	87	12	2	7	3	211
4		34	93	12	3	7	4	212
4		35	97	12	4	7	5	213
4		36	100	12	5	7	6	214
