id	seq	leaf	material1	material2	material3	material4	material5	material6	value1	value2	value3	value4	value5	value6
131	1		8151	8111					5	5				
131	2		8151	8111	8211				10	10	5			
131	3		8151	8111	8211	8221			15	15	10	5		
131	4		8151	8111	8211	8221	8231		30	30	15	10	5	
132	1		8121	8131					5	5				
132	2		8121	8131	8211				10	10	5			
132	3		8121	8131	8211	8221			15	15	10	5		
132	4		8121	8131	8211	8221	8231		30	30	15	10	5	
133	1		8111	8121					5	5				
133	2		8111	8121	8211				10	10	5			
133	3		8111	8121	8211	8221			15	15	10	5		
133	4		8111	8121	8211	8221	8231		30	30	15	10	5	
134	1		8131	8141					5	5				
134	2		8131	8141	8211				10	10	5			
134	3		8131	8141	8211	8221			15	15	10	5		
134	4		8131	8141	8211	8221	8231		30	30	15	10	5	
135	1		8141	8151					5	5				
135	2		8141	8151	8211				10	10	5			
135	3		8141	8151	8211	8221			15	15	10	5		
135	4		8141	8151	8211	8221	8231		30	30	15	10	5	
231	1		8651	8611					5	5				
231	2		8651	8611	8711				10	10	5			
231	3		8651	8611	8711	8721			15	15	10	5		
231	4		8651	8611	8711	8721	8731		30	30	15	10	5	
232	1		8621	8631					5	5				
232	2		8621	8631	8711				10	10	5			
232	3		8621	8631	8711	8721			15	15	10	5		
232	4		8621	8631	8711	8721	8731		30	30	15	10	5	
233	1		8611	8621					5	5				
233	2		8611	8621	8711				10	10	5			
233	3		8611	8621	8711	8721			15	15	10	5		
233	4		8611	8621	8711	8721	8731		30	30	15	10	5	
234	1		8631	8641					5	5				
234	2		8631	8641	8711				10	10	5			
234	3		8631	8641	8711	8721			15	15	10	5		
234	4		8631	8641	8711	8721	8731		30	30	15	10	5	
235	1		8641	8651					5	5				
235	2		8641	8651	8711				10	10	5			
235	3		8641	8651	8711	8721			15	15	10	5		
235	4		8641	8651	8711	8721	8731		30	30	15	10	5	
