id	name_text_id	bgm_cue_number	camp_type	camper_rank	ap	secret_reset_ap	exp	costume_exp	support_card_exp	outdoor_point	yuru	open_date	end_date	next_camp_id	transportation_id	camping_area_id	month	weather	wind	temperature	chance_of_rain	must_gear_categories	must_cook_recipe_categories	keyword_ids	camp_site_id	gear_cost	reward_rainbow_reward_id	reward_gold_reward_id	reward_silver_reward_id	clear_box_reward_slot_reward_ids	clear_box_reward_slot_amounts	leader_boost	relationship_cap	satisfaction_cap	comfortableness_cap	warmth_cap	healing_cap	aptitude_adjust_group
1	1	3001	1	1		30	200	30	30	200	500	2023-03-01 00:00:00	2023-03-31 23:59:59		1	1	11	1	1	5					1011011	10	300001	300002	300003	310111,310112,310113,310114,310115	2,2,2,2,2	1.5	1000	1000	1000	1000	1000	1
2	2	3001	1	1		30	200	30	30	200	500	2023-03-01 00:00:00	2023-03-31 23:59:59		1	1	11	1	1	4					1011011	10	300001	300002	300003	310111,310112,310113,310114,310115	2,2,2,2,2	1.5	1000	1000	1000	1000	1000	1
3	3	3001	1	1		30	200	30	30	200	500	2023-03-01 00:00:00	2023-03-31 23:59:59		1	1	11	1	1	4					1011011	10	300001	300002	300003	300031,300032,300033	1,1,1	1.5	1000	1000	1000	1000	1000	1
4	3	3001	1	1		30	200	30	30	200	500	2023-03-01 00:00:00	2023-03-31 23:59:59		1	1	11	1	1	4					1011011	10	300001	300002	300003	300031,300032,300033	1,1,1	1.5	1000	1000	1000	1000	1000	1
5	3	3001	1	1		30	200	30	30	200	500	2023-03-01 00:00:00	2023-03-31 23:59:59		1	1	11	1	1	4					1011011	10	300001	300002	300003	300031,300032,300033	1,1,1	1.5	1000	1000	1000	1000	1000	1
6	3	3001	1	1		30	200	30	30	200	500	2023-03-01 00:00:00	2023-03-31 23:59:59		1	1	11	1	1	4					1011011	10	300001	300002	300003	300031,300032,300033	1,1,1	1.5	1000	1000	1000	1000	1000	1
7	3	3001	1	1		30	200	30	30	200	500	2023-03-01 00:00:00	2023-03-31 23:59:59		1	1	11	1	1	4					1011011	10	300001	300002	300003	300031,300032,300033	1,1,1	1.5	1000	1000	1000	1000	1000	1
1000	1000	3001	4	1		30	200	30	30	200	500	2020-01-01 00:00:00	2100-12-31 23:59:59		1	1	11	1	1	4					1011011	10	300000	300000	300000	310111,310112,310113,310114,310115	2,2,2,2,2	1.5	1000	1000	1000	1000	1000	1
1011	1011	3001	1	1	30	30	200	30	30	200	500	2020-01-01 00:00:00	2100-12-31 23:59:59	1021	1	1	11	1	1	4				4,27,56,57,68,69,70,71	1011011	10	300001	300002	300003	310111,310112,310113,310114,310115	2,2,2,2,2	1.5	1000	1000	1000	1000	1000	1
1021	1021	3002	1	2	30	30	200	30	30	200	500	2020-01-01 00:00:00	2100-12-31 23:59:59	1031	1	2	11	1	1	4				4,30,56,71,72,73,74	1021011	10	300001	300002	300003	310211,310212,310213,310214,310215	2,2,2,2,2	1.5	1000	1000	1000	1000	1000	2
1031	1031	3003	1	3	30	30	200	30	30	200	500	2020-01-01 00:00:00	2100-12-31 23:59:59	1041	1	3	11	1	1	4				4,28,59,66,71,75,76,77	1031011	10	300001	300002	300003	310311,310312,310313,310314,310315	2,2,2,2,2	1.5	1000	1000	1000	1000	1000	3
1041	1041	3004	1	4	30	30	200	30	30	200	500	2020-01-01 00:00:00	2100-12-31 23:59:59		1	4	11	1	1	4				4,27,60,66,78,79,80,81	1041011	10	300001	300002	300003	310411,310412,310413,310414,310415	2,2,2,2,2	1.5	1000	1000	1000	1000	1000	4
1051	1051	2001	1	1	30	30	200	30	30	200	500	2023-07-01 11:00:00	2100-12-31 23:59:59		1	5	7	1	1	2				85,86,87,88,89,90,91	1051011	10	300001	300002	300003	310511,310512,310513,310514,310515	2,2,2,2,2	1.5	1000	1000	1000	1000	1000	5
