id	action_type	action_level	motivation	is_success	story_id	name_text_id	relationship	satisfaction	comfortableness	warmth	healing	skill_pt	health	motivation_group_id	camp_friendship_group_id
1110	1	1	1		71001010	200011							-21	10	
1111	1	1	1	1	71001011	200011	8.0		4.0			8	-21	11	12010
1120	1	1	2		71001010	200011							-21	10	
1121	1	1	2	1	71001011	200011	9.0		4.0			9	-21	11	12010
1130	1	1	3		71001010	200011							-21	10	
1131	1	1	3	1	71001011	200011	10.0		5.0			10	-21	11	12010
1140	1	1	4		71001010	200011							-21	10	
1141	1	1	4	1	71001011	200011	11.0		5.0			11	-21	11	12010
1150	1	1	5		71001010	200011							-21	10	
1151	1	1	5	1	71001011	200011	12.0		6.0			12	-21	11	12010
1210	1	2	1		71001020	200012							-22	10	
1211	1	2	1	1	71001021	200012	8.0		4.0			8	-22	11	12010
1220	1	2	2		71001020	200012							-22	10	
1221	1	2	2	1	71001021	200012	9.0		4.0			9	-22	11	12010
1230	1	2	3		71001020	200012							-22	10	
1231	1	2	3	1	71001021	200012	11.0		5.0			10	-22	11	12010
1240	1	2	4		71001020	200012							-22	10	
1241	1	2	4	1	71001021	200012	12.0		5.0			11	-22	11	12010
1250	1	2	5		71001020	200012							-22	10	
1251	1	2	5	1	71001021	200012	13.0		6.0			12	-22	11	12010
1310	1	3	1		71001030	200013							-23	10	
1311	1	3	1	1	71001031	200013	9.0		4.0			8	-23	11	12010
1320	1	3	2		71001030	200013							-23	10	
1321	1	3	2	1	71001031	200013	10.0		4.0			9	-23	11	12010
1330	1	3	3		71001030	200013							-23	10	
1331	1	3	3	1	71001031	200013	12.0		5.0			10	-23	11	12010
1340	1	3	4		71001030	200013							-23	10	
1341	1	3	4	1	71001031	200013	13.0		5.0			11	-23	11	12010
1350	1	3	5		71001030	200013							-23	10	
1351	1	3	5	1	71001031	200013	14.0		6.0			12	-23	11	12010
1410	1	4	1		71001040	200014							-25	10	
1411	1	4	1	1	71001041	200014	10.0		4.0			8	-25	11	12010
1420	1	4	2		71001040	200014							-25	10	
1421	1	4	2	1	71001041	200014	11.0		5.0			9	-25	11	12010
1430	1	4	3		71001040	200014							-25	10	
1431	1	4	3	1	71001041	200014	13.0		6.0			10	-25	11	12010
1440	1	4	4		71001040	200014							-25	10	
1441	1	4	4	1	71001041	200014	14.0		6.0			11	-25	11	12010
1450	1	4	5		71001040	200014							-25	10	
1451	1	4	5	1	71001041	200014	15.0		7.0			12	-25	11	12010
1510	1	5	1		71001050	200015							-27	10	
1511	1	5	1	1	71001051	200015	11.0		5.0			8	-27	11	12010
1520	1	5	2		71001050	200015							-27	10	
1521	1	5	2	1	71001051	200015	12.0		6.0			9	-27	11	12010
1530	1	5	3		71001050	200015							-27	10	
1531	1	5	3	1	71001051	200015	14.0		7.0			10	-27	11	12010
1540	1	5	4		71001050	200015							-27	10	
1541	1	5	4	1	71001051	200015	15.0		7.0			11	-27	11	12010
1550	1	5	5		71001050	200015							-27	10	
1551	1	5	5	1	71001051	200015	16.0		8.0			12	-27	11	12010
2110	2	1	1		71002010	200021							-20	20	
2111	2	1	1	1	71002011	200021		7.0		3.0		8	-20	21	12010
