id	group	adjust_type	aptitude_rank_type	adjust_value
1101	1	1	1	0.6
1102	1	1	2	0.638
1103	1	1	3	0.6704
1104	1	1	4	0.6997
1105	1	1	5	0.7269
1106	1	1	6	0.7524
1107	1	1	7	0.7767
1108	1	1	8	0.8
1201	1	2	1	0.6
1202	1	2	2	0.714
1203	1	2	3	0.8113
1204	1	2	4	0.8992
1205	1	2	5	0.9806
1206	1	2	6	1.0573
1207	1	2	7	1.1302
1208	1	2	8	1.2
1301	1	3	1	0.6
1302	1	3	2	0.676
1303	1	3	3	0.7409
1304	1	3	4	0.7994
1305	1	3	5	0.8537
1306	1	3	6	0.9048
1307	1	3	7	0.9534
1308	1	3	8	1.0
1401	1	4	1	0.6
1402	1	4	2	0.676
1403	1	4	3	0.7409
1404	1	4	4	0.7994
1405	1	4	5	0.8537
1406	1	4	6	0.9048
1407	1	4	7	0.9534
1408	1	4	8	1.0
1501	1	5	1	0.6
1502	1	5	2	0.638
1503	1	5	3	0.6704
1504	1	5	4	0.6997
1505	1	5	5	0.7269
1506	1	5	6	0.7524
1507	1	5	7	0.7767
1508	1	5	8	0.8
1601	1	6	1	0.6
1602	1	6	2	0.714
1603	1	6	3	0.8113
1604	1	6	4	0.8992
1605	1	6	5	0.9806
1606	1	6	6	1.0573
1607	1	6	7	1.1302
1608	1	6	8	1.2
2101	2	1	1	0.6
2102	2	1	2	0.638
2103	2	1	3	0.6704
2104	2	1	4	0.6997
2105	2	1	5	0.7269
2106	2	1	6	0.7524
2107	2	1	7	0.7767
2108	2	1	8	0.8
2201	2	2	1	0.6
2202	2	2	2	0.676
2203	2	2	3	0.7409
2204	2	2	4	0.7994
2205	2	2	5	0.8537
2206	2	2	6	0.9048
2207	2	2	7	0.9534
2208	2	2	8	1.0
2301	2	3	1	0.6
2302	2	3	2	0.714
2303	2	3	3	0.8113
2304	2	3	4	0.8992
2305	2	3	5	0.9806
2306	2	3	6	1.0573
2307	2	3	7	1.1302
2308	2	3	8	1.2
2401	2	4	1	0.6
2402	2	4	2	0.638
2403	2	4	3	0.6704
2404	2	4	4	0.6997
2405	2	4	5	0.7269
2406	2	4	6	0.7524
2407	2	4	7	0.7767
2408	2	4	8	0.8
2501	2	5	1	0.6
2502	2	5	2	0.714
2503	2	5	3	0.8113
2504	2	5	4	0.8992
2505	2	5	5	0.9806
2506	2	5	6	1.0573
2507	2	5	7	1.1302
2508	2	5	8	1.2
2601	2	6	1	0.6
2602	2	6	2	0.676
2603	2	6	3	0.7409
2604	2	6	4	0.7994
2605	2	6	5	0.8537
2606	2	6	6	0.9048
2607	2	6	7	0.9534
2608	2	6	8	1.0
3101	3	1	1	0.6
3102	3	1	2	0.638
3103	3	1	3	0.6704
3104	3	1	4	0.6997
3105	3	1	5	0.7269
3106	3	1	6	0.7524
3107	3	1	7	0.7767
3108	3	1	8	0.8
3201	3	2	1	0.6
3202	3	2	2	0.714
3203	3	2	3	0.8113
3204	3	2	4	0.8992
3205	3	2	5	0.9806
3206	3	2	6	1.0573
3207	3	2	7	1.1302
3208	3	2	8	1.2
3301	3	3	1	0.6
3302	3	3	2	0.676
3303	3	3	3	0.7409
3304	3	3	4	0.7994
3305	3	3	5	0.8537
3306	3	3	6	0.9048
3307	3	3	7	0.9534
3308	3	3	8	1.0
3401	3	4	1	0.6
3402	3	4	2	0.714
3403	3	4	3	0.8113
3404	3	4	4	0.8992
3405	3	4	5	0.9806
3406	3	4	6	1.0573
3407	3	4	7	1.1302
3408	3	4	8	1.2
3501	3	5	1	0.6
3502	3	5	2	0.638
3503	3	5	3	0.6704
3504	3	5	4	0.6997
3505	3	5	5	0.7269
3506	3	5	6	0.7524
3507	3	5	7	0.7767
3508	3	5	8	0.8
3601	3	6	1	0.6
3602	3	6	2	0.676
3603	3	6	3	0.7409
3604	3	6	4	0.7994
3605	3	6	5	0.8537
3606	3	6	6	0.9048
3607	3	6	7	0.9534
3608	3	6	8	1.0
4101	4	1	1	0.6
4102	4	1	2	0.638
4103	4	1	3	0.6704
4104	4	1	4	0.6997
4105	4	1	5	0.7269
4106	4	1	6	0.7524
4107	4	1	7	0.7767
4108	4	1	8	0.8
4201	4	2	1	0.6
4202	4	2	2	0.676
4203	4	2	3	0.7409
4204	4	2	4	0.7994
4205	4	2	5	0.8537
4206	4	2	6	0.9048
4207	4	2	7	0.9534
4208	4	2	8	1.0
4301	4	3	1	0.6
4302	4	3	2	0.714
4303	4	3	3	0.8113
4304	4	3	4	0.8992
4305	4	3	5	0.9806
4306	4	3	6	1.0573
4307	4	3	7	1.1302
4308	4	3	8	1.2
4401	4	4	1	0.6
4402	4	4	2	0.676
4403	4	4	3	0.7409
4404	4	4	4	0.7994
4405	4	4	5	0.8537
4406	4	4	6	0.9048
4407	4	4	7	0.9534
4408	4	4	8	1.0
4501	4	5	1	0.6
4502	4	5	2	0.714
4503	4	5	3	0.8113
4504	4	5	4	0.8992
4505	4	5	5	0.9806
4506	4	5	6	1.0573
4507	4	5	7	1.1302
4508	4	5	8	1.2
4601	4	6	1	0.6
4602	4	6	2	0.638
4603	4	6	3	0.6704
4604	4	6	4	0.6997
4605	4	6	5	0.7269
4606	4	6	6	0.7524
4607	4	6	7	0.7767
4608	4	6	8	0.8
5101	5	1	1	0.6
5102	5	1	2	0.676
5103	5	1	3	0.7409
5104	5	1	4	0.7994
5105	5	1	5	0.8537
5106	5	1	6	0.9048
5107	5	1	7	0.9534
5108	5	1	8	1.0
5201	5	2	1	0.6
5202	5	2	2	0.638
5203	5	2	3	0.6704
5204	5	2	4	0.6997
5205	5	2	5	0.7269
5206	5	2	6	0.7524
5207	5	2	7	0.7767
5208	5	2	8	0.8
5301	5	3	1	0.6
5302	5	3	2	0.714
5303	5	3	3	0.8113
5304	5	3	4	0.8992
5305	5	3	5	0.9806
5306	5	3	6	1.0573
5307	5	3	7	1.1302
5308	5	3	8	1.2
5401	5	4	1	0.6
5402	5	4	2	0.714
5403	5	4	3	0.8113
5404	5	4	4	0.8992
5405	5	4	5	0.9806
5406	5	4	6	1.0573
5407	5	4	7	1.1302
5408	5	4	8	1.2
5501	5	5	1	0.6
5502	5	5	2	0.676
5503	5	5	3	0.7409
5504	5	5	4	0.7994
