id	camp_id	camp_eval_rank	threashold_score	reward_slot_num	clear_material_reward_id	clear_material_reward_slot_amounts	pre_camp_site_id	start_camp_site_id	intermediate_camp_site_id	end_camp_site_id
101	1	1		1	321011	5	1011051	1011051	1011051	1011061
102	1	2	270	1	321011	5	1011051	1011051	1011051	1011061
103	1	3	740	1	321011	5	1011051	1011051	1011051	1011061
104	1	4	1390	1	321011	5	1011051	1011051	1011051	1011061
105	1	5	2220	1	321011	5	1011051	1011051	1011051	1011061
106	1	6	3250	1	321011	5	1011051	1011051	1011051	1011061
107	1	7	4450	1	321011	5	1011051	1011051	1011051	1011061
108	1	8	5850	1	321011	5	1011051	1011051	1011051	1011061
109	1	9	7430	1	321011	5	1011051	1011051	1011051	1011061
110	1	10	9190	1	321011	5	1011051	1011051	1011051	1011061
111	1	11	11140	1	321011	5	1011051	1011051	1011051	1011061
112	1	12	13280	2	321011	5	1011051	1011051	1011051	1011061
113	1	13	15600	2	321011	5	1011051	1011051	1011051	1011061
114	1	14	18110	2	321011	5	1011051	1011051	1011051	1011061
115	1	15	20800	3	321011	5	1011051	1011051	1011051	1011061
116	1	16	23680	3	321011	5	1011051	1011051	1011051	1011061
117	1	17	26740	3	321011	5	1011051	1011051	1011051	1011061
118	1	18	30000	3	321011	5	1011051	1011051	1011051	1011061
201	2	1		1	321011	5	1011051	1011051	1011051	1011061
202	2	2	270	1	321011	5	1011051	1011051	1011051	1011061
203	2	3	740	1	321011	5	1011051	1011051	1011051	1011061
204	2	4	1390	1	321011	5	1011051	1011051	1011051	1011061
205	2	5	2220	1	321011	5	1011051	1011051	1011051	1011061
206	2	6	3250	1	321011	5	1011051	1011051	1011051	1011061
207	2	7	4450	1	321011	5	1011051	1011051	1011051	1011061
208	2	8	5850	1	321011	5	1011051	1011051	1011051	1011061
209	2	9	7430	1	321011	5	1011051	1011051	1011051	1011061
210	2	10	9190	1	321011	5	1011051	1011051	1011051	1011061
211	2	11	11140	1	321011	5	1011051	1011051	1011051	1011061
212	2	12	13280	2	321011	5	1011051	1011051	1011051	1011061
213	2	13	15600	2	321011	5	1011051	1011051	1011051	1011061
214	2	14	18110	2	321011	5	1011051	1011051	1011051	1011061
215	2	15	20800	3	321011	5	1011051	1011051	1011051	1011061
216	2	16	23680	3	321011	5	1011051	1011051	1011051	1011061
217	2	17	26740	3	321011	5	1011051	1011051	1011051	1011061
218	2	18	30000	3	321011	5	1011051	1011051	1011051	1011061
301	3	1		1	321011	5	1011051	1011051	1011051	1011061
302	3	2	270	1	321011	5	1011051	1011051	1011051	1011061
303	3	3	740	1	321011	5	1011051	1011051	1011051	1011061
304	3	4	1390	1	321011	5	1011051	1011051	1011051	1011061
305	3	5	2220	1	321011	5	1011051	1011051	1011051	1011061
306	3	6	3250	1	321011	5	1011051	1011051	1011051	1011061
307	3	7	4450	1	321011	5	1011051	1011051	1011051	1011061
308	3	8	5850	1	321011	5	1011051	1011051	1011051	1011061
309	3	9	7430	1	321011	5	1011051	1011051	1011051	1011061
310	3	10	9190	1	321011	5	1011051	1011051	1011051	1011061
311	3	11	11140	1	321011	5	1011051	1011051	1011051	1011061
312	3	12	13280	2	321011	5	1011051	1011051	1011051	1011061
313	3	13	15600	2	321011	5	1011051	1011051	1011051	1011061
314	3	14	18110	2	321011	5	1011051	1011051	1011051	1011061
315	3	15	20800	3	321011	5	1011051	1011051	1011051	1011061
316	3	16	23680	3	321011	5	1011051	1011051	1011051	1011061
317	3	17	26740	3	321011	5	1011051	1011051	1011051	1011061
318	3	18	30000	3	321011	5	1011051	1011051	1011051	1011061
401	4	1		1	321011	5	1011051	1011051	1011051	1011061
402	4	2	270	1	321011	5	1011051	1011051	1011051	1011061
403	4	3	740	1	321011	5	1011051	1011051	1011051	1011061
404	4	4	1390	1	321011	5	1011051	1011051	1011051	1011061
