id	camp_id	chara_id	is_leader
11	1	1	1
12	1	2	
13	1	3	
14	1	4	
15	1	5	
21	2	1	1
22	2	2	
23	2	3	
24	2	4	
25	2	5	
31	3	1	1
32	3	2	
33	3	3	
34	3	4	
35	3	5	
41	4	1	
42	4	2	1
43	4	3	
44	4	4	
45	4	5	
51	5	1	
52	5	2	
53	5	3	1
54	5	4	
55	5	5	
61	6	1	
62	6	2	
63	6	3	
64	6	4	1
65	6	5	
71	7	1	
72	7	2	
73	7	3	
74	7	4	
75	7	5	1
10001	1000	1	
10002	1000	2	1
10003	1000	3	
10004	1000	4	
10005	1000	5	
10111	1011	1	
10112	1011	2	1
10113	1011	3	
10114	1011	4	
10115	1011	5	
10211	1021	1	
10212	1021	2	
10213	1021	3	
10214	1021	4	
10215	1021	5	1
10311	1031	1	
10312	1031	2	
10313	1031	3	
10314	1031	4	1
10315	1031	5	
10411	1041	1	
10412	1041	2	
10413	1041	3	1
10414	1041	4	
10415	1041	5	
10511	1051	1	1
10512	1051	2	
10513	1051	3	
10514	1051	4	
10515	1051	5	
