id	name_text_id	pre_story_id	mission_type	weight_relationship	weight_satisfaction	weight_comfortableness	weight_warmth	weight_healing	eval_total_param_min	eval_total_param_max	score_total_param_min	score_total_param_max	eval_total_param_jackup	status_calc_multiplier	start_camp_site_id
301	40101101		3	1.0		1.0	1.0	0.3333		1000		1000		1.0	1011031
100001	40101101		3	1.0		1.0	1.0	0.3333		2700		5400	400	1.0	1011031
101101	40101101	71501011	3	1.0		1.0	1.0	0.3333		2700		5400	400	1.0	1011031
101102	40101102		2	1.0	1.0		1.0	0.3333		4200		8400	700	2.0	1011031
101103	40101103		3	1.0		1.0	1.0	0.3333		5100		10200	1100	3.0	1011031
101104	40101104		1	1.0	1.0	1.0		0.3333		6300		12600	1500	4.0	1011031
102101	40102101	71502011	2	1.0	1.0		1.0	0.3333		2700		5400	400	1.0	1021031
102102	40102102		3	1.0		1.0	1.0	0.3333		4200		8400	700	2.0	1021031
102103	40102103		1	1.0	1.0	1.0		0.3333		5100		10200	1100	3.0	1021031
102104	40102104		3	1.0		1.0	1.0	0.3333		6300		12600	1500	4.0	1021031
103101	40103101	71503011	3	1.0		1.0	1.0	0.3333		2700		5400	400	1.0	1031031
103102	40103102		2	1.0	1.0		1.0	0.3333		4200		8400	700	2.0	1031031
103103	40103103		3	1.0		1.0	1.0	0.3333		5100		10200	1100	3.0	1031031
103104	40103104		1	1.0	1.0	1.0		0.3333		6300		12600	1500	4.0	1031031
104101	40104101	71504011	2	1.0	1.0		1.0	0.3333		2700		5400	400	1.0	1041031
104102	40104102		2	1.0	1.0		1.0	0.3333		4200		8400	700	2.0	1041031
104103	40104103		3	1.0		1.0	1.0	0.3333		5100		10200	1100	3.0	1041031
104104	40104104		1	1.0	1.0	1.0		0.3333		6300		12600	1500	4.0	1041031
105101	40105101	71506011	2	1.0	1.0		1.0	0.3333		2700		5400	400	1.0	1051031
105102	40105102		2	1.0	1.0		1.0	0.3333		4200		8400	700	2.0	1051031
105103	40105103		2	1.0	1.0		1.0	0.3333		5100		10200	1100	3.0	1051031
105104	40105104		3	1.0		1.0	1.0	0.3333		6300		12600	1500	4.0	1051031
106101	40106101		3	1.0		1.0	1.0	0.3333		2700		5400	400	1.0	1061031
106102	40106102		3	1.0		1.0	1.0	0.3333		4200		8400	700	2.0	1061031
106103	40106103		3	1.0		1.0	1.0	0.3333		5100		10200	1100	3.0	1061031
106104	40106104		2	1.0	1.0		1.0	0.3333		6300		12600	1500	4.0	1061031
