id	camp_mission_id	camp_mission_eval_rank	excepted_threathold	eval_param_n	eval_probability_min	eval_probability_max	score_param_n	score_multiplier_min	score_multiplier_max	reward_slot_num	reward_rainbow_weight	reward_gold_weight	reward_silver_weight	mission_clear_reward_ids	end_camp_site_id
30101	301	1		1.5			1.0	1.0	1.05	1			100	330001,330002,330003,330011	1011041
30102	301	2	0.55	1.5	100.0	100.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1011042
30103	301	3	0.6	1.5			1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1011043
10000101	100001	1		1.5			1.0	1.0	1.05	1			100	330001,330002,330003,330011	1011041
10000102	100001	2	0.25	1.5	100.0	100.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1011042
10000103	100001	3	0.5	1.5			1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1011043
10110101	101101	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1011042
10110102	101101	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1011042
10110103	101101	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1011043
10110201	101102	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1011042
10110202	101102	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1011042
10110203	101102	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1011043
10110301	101103	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1011042
10110302	101103	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1011042
10110303	101103	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1011043
10110401	101104	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1011045
10110402	101104	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1011045
10110403	101104	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1011046
10210101	102101	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1021042
10210102	102101	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1021042
10210103	102101	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1021043
10210201	102102	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1021042
10210202	102102	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1021042
10210203	102102	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1021043
10210301	102103	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1021042
10210302	102103	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1021042
10210303	102103	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1021043
10210401	102104	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1021045
10210402	102104	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1021045
10210403	102104	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1021046
10310101	103101	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1031042
10310102	103101	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1031042
10310103	103101	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1031043
10310201	103102	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1031042
10310202	103102	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1031042
10310203	103102	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1031043
10310301	103103	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1031042
10310302	103103	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1031042
10310303	103103	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1031043
10310401	103104	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1031045
10310402	103104	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1031045
10310403	103104	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1031046
10410101	104101	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1041042
10410102	104101	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1041042
10410103	104101	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1041043
10410201	104102	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1041042
10410202	104102	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1041042
10410203	104102	3	0.5	1.5		40.0	1.0	1.1	1.15	1	100			330001,330002,330003,330031,330032	1041043
10410301	104103	1		1.5	100.0		1.0	1.0	1.05	1			100	330001,330002,330003,330011	1041042
10410302	104103	2	0.25	1.5		60.0	1.0	1.05	1.1	1		100		330001,330002,330003,330021,330022	1041042
