id	camp_mission_id	seq	phase_type	success_prob_min	success_prob_max	success_prob_n	phase_desc_text_id	story_id	fail_story_id
30101	301	1	1	50	100	1.5	300101	71601011	71601010
30102	301	2	2	25	100	1.5	300102	71601021	71601020
30103	301	3	3		100	1.5	300103	71601031	71601030
10000101	100001	1	1	100	100	1.5	300101	71601011	71601010
10000102	100001	2	2			1.5	300102	71601021	71601020
10000103	100001	3	3	100	100	1.5	300103	71601031	71601030
10110101	101101	1	1	80	100	1.5	300101	71601011	71601010
10110102	101101	2	2	40	100	1.5	300102	71601021	71601020
10110103	101101	3	3		100	2.0	300103	71601031	71601030
10110201	101102	1	1	80	100	1.5	300104	71601041	71601040
10110202	101102	2	2	40	100	1.5	300105	71601051	71601050
10110203	101102	3	3		100	2.0	300106	71601061	71601060
10110301	101103	1	1	80	100	1.5	300107	71601071	71601070
10110302	101103	2	2	40	100	1.5	300108	71601081	71601080
10110303	101103	3	3		100	2.0	300109	71601091	71601090
10110401	101104	1	1	80	100	1.5	300110	71601101	71601100
10110402	101104	2	2	40	100	1.5	300111	71601111	71601110
10110403	101104	3	3		100	2.0	300112	71601121	71601120
10210101	102101	1	1	80	100	1.5	300201	71602011	71602010
10210102	102101	2	2	40	100	1.5	300202	71602021	71602020
10210103	102101	3	3		100	2.0	300203	71602031	71602030
10210201	102102	1	1	80	100	1.5	300204	71602041	71602040
10210202	102102	2	2	40	100	1.5	300205	71602051	71602050
10210203	102102	3	3		100	2.0	300206	71602061	71602060
10210301	102103	1	1	80	100	1.5	300207	71602071	71602070
10210302	102103	2	2	40	100	1.5	300208	71602081	71602080
10210303	102103	3	3		100	2.0	300209	71602091	71602090
10210401	102104	1	1	80	100	1.5	300210	71602101	71602100
10210402	102104	2	2	40	100	1.5	300211	71602111	71602110
10210403	102104	3	3		100	2.0	300212	71602121	71602120
10310101	103101	1	1	80	100	1.5	300401	71604011	71604010
10310102	103101	2	2	40	100	1.5	300402	71604021	71604020
10310103	103101	3	3		100	2.0	300403	71604031	71604030
10310201	103102	1	1	80	100	1.5	300404	71604041	71604040
10310202	103102	2	2	40	100	1.5	300405	71604051	71604050
10310203	103102	3	3		100	2.0	300406	71604061	71604060
10310301	103103	1	1	80	100	1.5	300407	71604071	71604070
10310302	103103	2	2	40	100	1.5	300408	71604081	71604080
10310303	103103	3	3		100	2.0	300409	71604091	71604090
10310401	103104	1	1	80	100	1.5	300410	71604101	71604100
10310402	103104	2	2	40	100	1.5	300411	71604111	71604110
10310403	103104	3	3		100	2.0	300412	71604121	71604120
10410101	104101	1	1	80	100	1.5	300501	71605011	71605010
10410102	104101	2	2	40	100	1.5	300502	71605021	71605020
10410103	104101	3	3		100	2.0	300503	71605031	71605030
10410201	104102	1	1	80	100	1.5	300504	71605041	71605040
10410202	104102	2	2	40	100	1.5	300505	71605051	71605050
10410203	104102	3	3		100	2.0	300506	71605061	71605060
10410301	104103	1	1	80	100	1.5	300507	71605071	71605070
10410302	104103	2	2	40	100	1.5	300508	71605081	71605080
10410303	104103	3	3		100	2.0	300509	71605091	71605090
10410401	104104	1	1	80	100	1.5	300510	71605101	71605100
10410402	104104	2	2	40	100	1.5	300511	71605111	71605110
10410403	104104	3	3		100	2.0	300512	71605121	71605120
10510101	105101	1	1	80	100	1.5	300601	71606011	71606010
10510102	105101	2	2	40	100	1.5	300602	71606021	71606020
10510103	105101	3	3		100	2.0	300603	71606031	71606030
10510201	105102	1	1	80	100	1.5	300604	71606041	71606040
10510202	105102	2	2	40	100	1.5	300605	71606051	71606050
10510203	105102	3	3		100	2.0	300606	71606061	71606060
10510301	105103	1	1	80	100	1.5	300607	71606071	71606070
10510302	105103	2	2	40	100	1.5	300608	71606081	71606080
10510303	105103	3	3		100	2.0	300609	71606091	71606090
10510401	105104	1	1	80	100	1.5	300610	71606101	71606100
10510402	105104	2	2	40	100	1.5	300611	71606111	71606110
10510403	105104	3	3		100	2.0	300612	71606121	71606120
10610101	106101	1	1	80	100	1.5	300701	71606131	71606130
10610102	106101	2	2	40	100	1.5	300702	71606141	71606140
10610103	106101	3	3		100	2.0	300703	71606151	71606150
10610201	106102	1	1	80	100	1.5	300704	71606161	71606160
10610202	106102	2	2	40	100	1.5	300705	71606171	71606170
10610203	106102	3	3		100	2.0	300706	71606181	71606180
10610301	106103	1	1	80	100	1.5	300707	71606191	71606190
10610302	106103	2	2	40	100	1.5	300708	71606201	71606200
10610303	106103	3	3		100	2.0	300709	71606211	71606210
10610401	106104	1	1	80	100	1.5	300710	71606221	71606220
10610402	106104	2	2	40	100	1.5	300711	71606231	71606230
10610403	106104	3	3		100	2.0	300712	71606241	71606240
