id	name_text_id
10001	つながり
10002	まんぞく
10003	いごこち
10004	ぬくもり
10005	いやし
20001	あつさ
20002	さむさ
20003	うんどう
20004	くつろぐ
20005	あそぶ
20006	りょうり
30001	つながるきもち
30002	まんぞくできるかな？
30003	いごこちいいね！
30004	ぬくもりを感じて
30005	いやしの時間
30006	松ぼっくり
30007	じゅうごかいばらい
30008	おぉおぉぉお…
30009	なんだこれ
30010	めがちかちかしてきた…
30011	クマヘアー
30012	"あ""っ！！"
30013	遠くから見ているだけで
30014	FUJIKO！？
30015	月面着陸ごっこ
30016	実際にやってみた
30017	何やってんだあいつら
30018	あたしが背負ってやんよ
30019	食べ物の方が喜びそうだな
30020	――寒っ！
30021	買っちった
30022	キャンプでYAKINIKU…
30023	管理棟のテラスには…
30024	わかりました隊長っ！！
30025	絶対ヤバいぞこれは
30026	ノンアルコールビールならもしや
30027	ブヒィ
30028	シーズニング
30029	くっさ！！
30030	風邪引いだぁぁあ！！
30031	梨っ子あきちゃんの３０分クッキング
30032	負けたぜこの犬どもめ
30033	おいしいっ！！
30034	ふぉっふぉっふぉっ
30035	うしろの斉藤さん
30036	むぅっ！！
30037	起きてますよ！！
30038	ソーセージ奪われとる
30039	ありがとう牛…
30040	山梨銘菓しまりんだんご
30041	いいかげんにしろ
30042	間違えちった！！
30043	浜名湖自転車ぐーるぐる
30044	スタンド役は木となでしこで。
30045	すげぇ…
30046	記念に一枚だ
30047	おおおおおーっ！？
30048	鍋の妖精鍋しこちゃん
30049	ぐわぁ
30050	しまりん様…
30051	もうすぐで出来るでね
30052	いい景色ー…はっ！
30053	ソウダネ
30054	何で知ってんの！？
30055	同じ誕生日
30056	雑技団か
30057	ネテナイヨー（◎ｖ◎）
30058	ホラ吹き姉妹の騙し合い
30059	禁酒２５日目
30060	コードネームは「エビ作戦」
30061	温泉にのまれとる…
30062	リンが家出しちまったっ！！
30063	ヴっ！？
30064	海老ィ！！！！
30065	三角点
