id	skill_group_id	level	name_text_id	desc_text_id	skill_effect_ids
10000011	1000001	1	10000011	110000011	10024
10000021	1000002	1	10000021	110000021	10124
10000031	1000003	1	10000031	110000031	10224
10000041	1000004	1	10000041	110000041	10324
10000051	1000005	1	10000051	110000051	10424
51000111	5100011	1	51000111	151000111	10024
51000112	5100011	2	51000112	151000112	10030
51000113	5100011	3	51000113	151000113	10036
51000114	5100011	4	51000114	151000114	10042
51000115	5100011	5	51000115	151000115	10048
51000211	5100021	1	51000211	151000211	10130
51000212	5100021	2	51000212	151000212	10136
51000213	5100021	3	51000213	151000213	10142
51000214	5100021	4	51000214	151000214	10148
51000215	5100021	5	51000215	151000215	10154
51000311	5100031	1	51000311	151000311	10224
51000312	5100031	2	51000312	151000312	10230
51000313	5100031	3	51000313	151000313	10236
51000314	5100031	4	51000314	151000314	10242
51000315	5100031	5	51000315	151000315	10248
51000411	5100041	1	51000411	151000411	10336
51000412	5100041	2	51000412	151000412	10342
51000413	5100041	3	51000413	151000413	10348
51000414	5100041	4	51000414	151000414	10354
51000415	5100041	5	51000415	151000415	10360
51000511	5100051	1	51000511	151000511	10430
51000512	5100051	2	51000512	151000512	10436
51000513	5100051	3	51000513	151000513	10442
51000514	5100051	4	51000514	151000514	10448
51000515	5100051	5	51000515	151000515	10454
51000611	5100061	1	51000611	151000611	10130
51000612	5100061	2	51000612	151000612	10136
51000613	5100061	3	51000613	151000613	10142
51000614	5100061	4	51000614	151000614	10148
51000615	5100061	5	51000615	151000615	10154
51000711	5100071	1	51000711	151000711	10224
51000712	5100071	2	51000712	151000712	10230
51000713	5100071	3	51000713	151000713	10236
51000714	5100071	4	51000714	151000714	10242
51000715	5100071	5	51000715	151000715	10248
51000811	5100081	1	51000811	151000811	10336
51000812	5100081	2	51000812	151000812	10342
51000813	5100081	3	51000813	151000813	10348
51000814	5100081	4	51000814	151000814	10354
51000815	5100081	5	51000815	151000815	10360
51000911	5100091	1	51000911	151000911	10424
51000912	5100091	2	51000912	151000912	10430
51000913	5100091	3	51000913	151000913	10436
51000914	5100091	4	51000914	151000914	10442
51000915	5100091	5	51000915	151000915	10448
51001011	5100101	1	51001011	151001011	10036
51001012	5100101	2	51001012	151001012	10042
51001013	5100101	3	51001013	151001013	10048
51001014	5100101	4	51001014	151001014	10054
51001015	5100101	5	51001015	151001015	10060
51001111	5100111	1	51001111	151001111	10236
51001112	5100111	2	51001112	151001112	10242
51001113	5100111	3	51001113	151001113	10248
51001114	5100111	4	51001114	151001114	10254
51001115	5100111	5	51001115	151001115	10260
51001211	5100121	1	51001211	151001211	10336
51001212	5100121	2	51001212	151001212	10342
51001213	5100121	3	51001213	151001213	10348
51001214	5100121	4	51001214	151001214	10354
51001215	5100121	5	51001215	151001215	10360
51001311	5100131	1	51001311	151001311	10430
51001312	5100131	2	51001312	151001312	10436
51001313	5100131	3	51001313	151001313	10442
51001314	5100131	4	51001314	151001314	10448
51001315	5100131	5	51001315	151001315	10454
51001411	5100141	1	51001411	151001411	10030
51001412	5100141	2	51001412	151001412	10036
51001413	5100141	3	51001413	151001413	10042
51001414	5100141	4	51001414	151001414	10048
51001415	5100141	5	51001415	151001415	10054
51001511	5100151	1	51001511	151001511	10124
51001512	5100151	2	51001512	151001512	10130
51001513	5100151	3	51001513	151001513	10136
51001514	5100151	4	51001514	151001514	10142
51001515	5100151	5	51001515	151001515	10148
51001611	5100161	1	51001611	151001611	10330
51001612	5100161	2	51001612	151001612	10336
51001613	5100161	3	51001613	151001613	10342
51001614	5100161	4	51001614	151001614	10348
51001615	5100161	5	51001615	151001615	10354
51001711	5100171	1	51001711	151001711	10424
51001712	5100171	2	51001712	151001712	10430
51001713	5100171	3	51001713	151001713	10436
51001714	5100171	4	51001714	151001714	10442
51001715	5100171	5	51001715	151001715	10448
51001811	5100181	1	51001811	151001811	10024
51001812	5100181	2	51001812	151001812	10030
51001813	5100181	3	51001813	151001813	10036
51001814	5100181	4	51001814	151001814	10042
51001815	5100181	5	51001815	151001815	10048
51001911	5100191	1	51001911	151001911	10136
51001912	5100191	2	51001912	151001912	10142
51001913	5100191	3	51001913	151001913	10148
51001914	5100191	4	51001914	151001914	10154
51001915	5100191	5	51001915	151001915	10160
51002011	5100201	1	51002011	151002011	10230
51002012	5100201	2	51002012	151002012	10236
51002013	5100201	3	51002013	151002013	10242
51002014	5100201	4	51002014	151002014	10248
51002015	5100201	5	51002015	151002015	10254
51002111	5100211	1	51002111	151002111	10436
51002112	5100211	2	51002112	151002112	10442
51002113	5100211	3	51002113	151002113	10448
51002114	5100211	4	51002114	151002114	10454
51002115	5100211	5	51002115	151002115	10460
51002211	5100221	1	51002211	151002211	10030
51002212	5100221	2	51002212	151002212	10036
51002213	5100221	3	51002213	151002213	10042
51002214	5100221	4	51002214	151002214	10048
51002215	5100221	5	51002215	151002215	10054
51002311	5100231	1	51002311	151002311	10130
51002312	5100231	2	51002312	151002312	10136
51002313	5100231	3	51002313	151002313	10142
51002314	5100231	4	51002314	151002314	10148
51002315	5100231	5	51002315	151002315	10154
51002411	5100241	1	51002411	151002411	10224
51002412	5100241	2	51002412	151002412	10230
51002413	5100241	3	51002413	151002413	10236
51002414	5100241	4	51002414	151002414	10242
51002415	5100241	5	51002415	151002415	10248
51002511	5100251	1	51002511	151002511	10336
51002512	5100251	2	51002512	151002512	10342
51002513	5100251	3	51002513	151002513	10348
51002514	5100251	4	51002514	151002514	10354
51002515	5100251	5	51002515	151002515	10360
51002611	5100261	1	51002611	151002611	10024
51002612	5100261	2	51002612	151002612	10030
51002613	5100261	3	51002613	151002613	10036
51002614	5100261	4	51002614	151002614	10042
51002615	5100261	5	51002615	151002615	10048
51002711	5100271	1	51002711	151002711	10136
51002712	5100271	2	51002712	151002712	10142
51002713	5100271	3	51002713	151002713	10148
51002714	5100271	4	51002714	151002714	10154
51002715	5100271	5	51002715	151002715	10160
51002811	5100281	1	51002811	151002811	10236
51002812	5100281	2	51002812	151002812	10242
51002813	5100281	3	51002813	151002813	10248
51002814	5100281	4	51002814	151002814	10254
51002815	5100281	5	51002815	151002815	10260
51002911	5100291	1	51002911	151002911	10330
51002912	5100291	2	51002912	151002912	10336
51002913	5100291	3	51002913	151002913	10342
51002914	5100291	4	51002914	151002914	10348
51002915	5100291	5	51002915	151002915	10354
51003011	5100301	1	51003011	151003011	10424
51003012	5100301	2	51003012	151003012	10430
51003013	5100301	3	51003013	151003013	10436
51003014	5100301	4	51003014	151003014	10442
51003015	5100301	5	51003015	151003015	10448
51003111	5100311	1	51003111	151003111	10130
51003112	5100311	2	51003112	151003112	10136
51003113	5100311	3	51003113	151003113	10142
51003114	5100311	4	51003114	151003114	10148
51003115	5100311	5	51003115	151003115	10154
51003211	5100321	1	51003211	151003211	10230
51003212	5100321	2	51003212	151003212	10236
51003213	5100321	3	51003213	151003213	10242
51003214	5100321	4	51003214	151003214	10248
51003215	5100321	5	51003215	151003215	10254
51003311	5100331	1	51003311	151003311	10336
51003312	5100331	2	51003312	151003312	10342
51003313	5100331	3	51003313	151003313	10348
51003314	5100331	4	51003314	151003314	10354
51003315	5100331	5	51003315	151003315	10360
51003411	5100341	1	51003411	151003411	10436
51003412	5100341	2	51003412	151003412	10442
51003413	5100341	3	51003413	151003413	10448
51003414	5100341	4	51003414	151003414	10454
51003415	5100341	5	51003415	151003415	10460
51003511	5100351	1	51003511	151003511	10024
51003512	5100351	2	51003512	151003512	10030
51003513	5100351	3	51003513	151003513	10036
51003514	5100351	4	51003514	151003514	10042
51003515	5100351	5	51003515	151003515	10048
51003611	5100361	1	51003611	151003611	10224
51003612	5100361	2	51003612	151003612	10230
51003613	5100361	3	51003613	151003613	10236
51003614	5100361	4	51003614	151003614	10242
51003615	5100361	5	51003615	151003615	10248
51003711	5100371	1	51003711	151003711	10336
51003712	5100371	2	51003712	151003712	10342
51003713	5100371	3	51003713	151003713	10348
51003714	5100371	4	51003714	151003714	10354
51003715	5100371	5	51003715	151003715	10360
51003811	5100381	1	51003811	151003811	10424
