id	effect_target_type	effect_target_param	effect_calc_type	effect_value
10001	1	1	1	5
10002	1	1	1	10
10003	1	1	1	15
10004	1	1	1	20
10005	1	1	1	25
10006	1	1	1	30
10007	1	1	1	35
10008	1	1	1	40
10009	1	1	1	45
10010	1	1	1	50
10011	1	1	1	55
10012	1	1	1	60
10013	1	1	1	65
10014	1	1	1	70
10015	1	1	1	75
10016	1	1	1	80
10017	1	1	1	85
10018	1	1	1	90
10019	1	1	1	95
10020	1	1	1	100
10021	1	1	1	105
10022	1	1	1	110
10023	1	1	1	115
10024	1	1	1	120
10025	1	1	1	125
10026	1	1	1	130
10027	1	1	1	135
10028	1	1	1	140
10029	1	1	1	145
10030	1	1	1	150
10031	1	1	1	155
10032	1	1	1	160
10033	1	1	1	165
10034	1	1	1	170
10035	1	1	1	175
10036	1	1	1	180
10037	1	1	1	185
10038	1	1	1	190
10039	1	1	1	195
10040	1	1	1	200
10041	1	1	1	205
10042	1	1	1	210
10043	1	1	1	215
10044	1	1	1	220
10045	1	1	1	225
10046	1	1	1	230
10047	1	1	1	235
10048	1	1	1	240
10049	1	1	1	245
10050	1	1	1	250
10051	1	1	1	255
10052	1	1	1	260
10053	1	1	1	265
10054	1	1	1	270
10055	1	1	1	275
10056	1	1	1	280
10057	1	1	1	285
10058	1	1	1	290
10059	1	1	1	295
10060	1	1	1	300
10061	1	1	1	305
10062	1	1	1	310
10063	1	1	1	315
10064	1	1	1	320
10065	1	1	1	325
10066	1	1	1	330
10067	1	1	1	335
10068	1	1	1	340
10069	1	1	1	345
10070	1	1	1	350
10071	1	1	1	355
10072	1	1	1	360
10073	1	1	1	365
10074	1	1	1	370
10075	1	1	1	375
10076	1	1	1	380
10077	1	1	1	385
10078	1	1	1	390
10079	1	1	1	395
10080	1	1	1	400
10081	1	1	1	405
10082	1	1	1	410
10083	1	1	1	415
10084	1	1	1	420
10085	1	1	1	425
10086	1	1	1	430
10087	1	1	1	435
10088	1	1	1	440
10089	1	1	1	445
10090	1	1	1	450
10091	1	1	1	455
10092	1	1	1	460
10093	1	1	1	465
10094	1	1	1	470
10095	1	1	1	475
10096	1	1	1	480
10097	1	1	1	485
10098	1	1	1	490
10099	1	1	1	495
10100	1	1	1	500
10101	1	2	1	5
10102	1	2	1	10
10103	1	2	1	15
10104	1	2	1	20
10105	1	2	1	25
10106	1	2	1	30
10107	1	2	1	35
10108	1	2	1	40
10109	1	2	1	45
10110	1	2	1	50
10111	1	2	1	55
10112	1	2	1	60
10113	1	2	1	65
10114	1	2	1	70
10115	1	2	1	75
10116	1	2	1	80
10117	1	2	1	85
10118	1	2	1	90
10119	1	2	1	95
10120	1	2	1	100
10121	1	2	1	105
10122	1	2	1	110
10123	1	2	1	115
10124	1	2	1	120
10125	1	2	1	125
10126	1	2	1	130
10127	1	2	1	135
10128	1	2	1	140
10129	1	2	1	145
10130	1	2	1	150
10131	1	2	1	155
10132	1	2	1	160
10133	1	2	1	165
10134	1	2	1	170
10135	1	2	1	175
10136	1	2	1	180
10137	1	2	1	185
10138	1	2	1	190
10139	1	2	1	195
10140	1	2	1	200
10141	1	2	1	205
10142	1	2	1	210
10143	1	2	1	215
10144	1	2	1	220
10145	1	2	1	225
10146	1	2	1	230
10147	1	2	1	235
10148	1	2	1	240
10149	1	2	1	245
10150	1	2	1	250
10151	1	2	1	255
10152	1	2	1	260
10153	1	2	1	265
10154	1	2	1	270
10155	1	2	1	275
10156	1	2	1	280
10157	1	2	1	285
10158	1	2	1	290
10159	1	2	1	295
10160	1	2	1	300
10161	1	2	1	305
10162	1	2	1	310
10163	1	2	1	315
10164	1	2	1	320
10165	1	2	1	325
10166	1	2	1	330
10167	1	2	1	335
10168	1	2	1	340
10169	1	2	1	345
10170	1	2	1	350
10171	1	2	1	355
10172	1	2	1	360
10173	1	2	1	365
10174	1	2	1	370
10175	1	2	1	375
10176	1	2	1	380
10177	1	2	1	385
10178	1	2	1	390
10179	1	2	1	395
10180	1	2	1	400
10181	1	2	1	405
10182	1	2	1	410
10183	1	2	1	415
10184	1	2	1	420
10185	1	2	1	425
10186	1	2	1	430
10187	1	2	1	435
10188	1	2	1	440
10189	1	2	1	445
10190	1	2	1	450
10191	1	2	1	455
10192	1	2	1	460
10193	1	2	1	465
10194	1	2	1	470
10195	1	2	1	475
10196	1	2	1	480
10197	1	2	1	485
10198	1	2	1	490
10199	1	2	1	495
10200	1	2	1	500
10201	1	3	1	5
10202	1	3	1	10
10203	1	3	1	15
10204	1	3	1	20
10205	1	3	1	25
10206	1	3	1	30
10207	1	3	1	35
10208	1	3	1	40
10209	1	3	1	45
10210	1	3	1	50
10211	1	3	1	55
10212	1	3	1	60
10213	1	3	1	65
10214	1	3	1	70
10215	1	3	1	75
10216	1	3	1	80
10217	1	3	1	85
10218	1	3	1	90
10219	1	3	1	95
10220	1	3	1	100
10221	1	3	1	105
10222	1	3	1	110
10223	1	3	1	115
10224	1	3	1	120
10225	1	3	1	125
10226	1	3	1	130
10227	1	3	1	135
10228	1	3	1	140
10229	1	3	1	145
10230	1	3	1	150
10231	1	3	1	155
10232	1	3	1	160
10233	1	3	1	165
10234	1	3	1	170
10235	1	3	1	175
10236	1	3	1	180
10237	1	3	1	185
10238	1	3	1	190
10239	1	3	1	195
10240	1	3	1	200
10241	1	3	1	205
10242	1	3	1	210
10243	1	3	1	215
10244	1	3	1	220
10245	1	3	1	225
10246	1	3	1	230
10247	1	3	1	235
10248	1	3	1	240
10249	1	3	1	245
10250	1	3	1	250
10251	1	3	1	255
10252	1	3	1	260
10253	1	3	1	265
10254	1	3	1	270
10255	1	3	1	275
10256	1	3	1	280
10257	1	3	1	285
10258	1	3	1	290
10259	1	3	1	295
10260	1	3	1	300
10261	1	3	1	305
10262	1	3	1	310
10263	1	3	1	315
10264	1	3	1	320
10265	1	3	1	325
10266	1	3	1	330
10267	1	3	1	335
10268	1	3	1	340
10269	1	3	1	345
10270	1	3	1	350
10271	1	3	1	355
10272	1	3	1	360
10273	1	3	1	365
10274	1	3	1	370
10275	1	3	1	375
10276	1	3	1	380
10277	1	3	1	385
10278	1	3	1	390
10279	1	3	1	395
10280	1	3	1	400
10281	1	3	1	405
10282	1	3	1	410
10283	1	3	1	415
10284	1	3	1	420
10285	1	3	1	425
10286	1	3	1	430
10287	1	3	1	435
10288	1	3	1	440
10289	1	3	1	445
10290	1	3	1	450
10291	1	3	1	455
10292	1	3	1	460
10293	1	3	1	465
10294	1	3	1	470
10295	1	3	1	475
10296	1	3	1	480
10297	1	3	1	485
10298	1	3	1	490
10299	1	3	1	495
10300	1	3	1	500
10301	1	4	1	5
10302	1	4	1	10
10303	1	4	1	15
10304	1	4	1	20
10305	1	4	1	25
10306	1	4	1	30
10307	1	4	1	35
10308	1	4	1	40
10309	1	4	1	45
10310	1	4	1	50
10311	1	4	1	55
10312	1	4	1	60
10313	1	4	1	65
10314	1	4	1	70
10315	1	4	1	75
10316	1	4	1	80
10317	1	4	1	85
10318	1	4	1	90
10319	1	4	1	95
10320	1	4	1	100
10321	1	4	1	105
10322	1	4	1	110
10323	1	4	1	115
10324	1	4	1	120
10325	1	4	1	125
10326	1	4	1	130
10327	1	4	1	135
10328	1	4	1	140
10329	1	4	1	145
10330	1	4	1	150
10331	1	4	1	155
10332	1	4	1	160
10333	1	4	1	165
10334	1	4	1	170
10335	1	4	1	175
10336	1	4	1	180
10337	1	4	1	185
10338	1	4	1	190
10339	1	4	1	195
10340	1	4	1	200
10341	1	4	1	205
10342	1	4	1	210
10343	1	4	1	215
10344	1	4	1	220
10345	1	4	1	225
10346	1	4	1	230
10347	1	4	1	235
10348	1	4	1	240
10349	1	4	1	245
10350	1	4	1	250
10351	1	4	1	255
10352	1	4	1	260
10353	1	4	1	265
10354	1	4	1	270
10355	1	4	1	275
10356	1	4	1	280
10357	1	4	1	285
10358	1	4	1	290
10359	1	4	1	295
10360	1	4	1	300
10361	1	4	1	305
10362	1	4	1	310
10363	1	4	1	315
10364	1	4	1	320
10365	1	4	1	325
10366	1	4	1	330
10367	1	4	1	335
10368	1	4	1	340
10369	1	4	1	345
10370	1	4	1	350
10371	1	4	1	355
10372	1	4	1	360
10373	1	4	1	365
10374	1	4	1	370
10375	1	4	1	375
10376	1	4	1	380
10377	1	4	1	385
10378	1	4	1	390
10379	1	4	1	395
10380	1	4	1	400
10381	1	4	1	405
10382	1	4	1	410
10383	1	4	1	415
10384	1	4	1	420
10385	1	4	1	425
10386	1	4	1	430
10387	1	4	1	435
10388	1	4	1	440
10389	1	4	1	445
10390	1	4	1	450
10391	1	4	1	455
10392	1	4	1	460
10393	1	4	1	465
10394	1	4	1	470
10395	1	4	1	475
10396	1	4	1	480
10397	1	4	1	485
10398	1	4	1	490
10399	1	4	1	495
10400	1	4	1	500
10401	1	5	1	5
10402	1	5	1	10
10403	1	5	1	15
10404	1	5	1	20
10405	1	5	1	25
10406	1	5	1	30
10407	1	5	1	35
10408	1	5	1	40
10409	1	5	1	45
10410	1	5	1	50
10411	1	5	1	55
10412	1	5	1	60
10413	1	5	1	65
10414	1	5	1	70
10415	1	5	1	75
10416	1	5	1	80
10417	1	5	1	85
10418	1	5	1	90
10419	1	5	1	95
10420	1	5	1	100
10421	1	5	1	105
10422	1	5	1	110
10423	1	5	1	115
10424	1	5	1	120
10425	1	5	1	125
10426	1	5	1	130
10427	1	5	1	135
10428	1	5	1	140
10429	1	5	1	145
10430	1	5	1	150
10431	1	5	1	155
10432	1	5	1	160
10433	1	5	1	165
10434	1	5	1	170
10435	1	5	1	175
10436	1	5	1	180
10437	1	5	1	185
10438	1	5	1	190
10439	1	5	1	195
10440	1	5	1	200
10441	1	5	1	205
10442	1	5	1	210
10443	1	5	1	215
10444	1	5	1	220
10445	1	5	1	225
10446	1	5	1	230
10447	1	5	1	235
10448	1	5	1	240
10449	1	5	1	245
10450	1	5	1	250
10451	1	5	1	255
10452	1	5	1	260
10453	1	5	1	265
10454	1	5	1	270
10455	1	5	1	275
10456	1	5	1	280
10457	1	5	1	285
10458	1	5	1	290
10459	1	5	1	295
10460	1	5	1	300
10461	1	5	1	305
10462	1	5	1	310
10463	1	5	1	315
10464	1	5	1	320
10465	1	5	1	325
10466	1	5	1	330
10467	1	5	1	335
10468	1	5	1	340
10469	1	5	1	345
10470	1	5	1	350
10471	1	5	1	355
10472	1	5	1	360
10473	1	5	1	365
10474	1	5	1	370
10475	1	5	1	375
10476	1	5	1	380
10477	1	5	1	385
10478	1	5	1	390
10479	1	5	1	395
10480	1	5	1	400
10481	1	5	1	405
10482	1	5	1	410
10483	1	5	1	415
10484	1	5	1	420
10485	1	5	1	425
10486	1	5	1	430
10487	1	5	1	435
10488	1	5	1	440
10489	1	5	1	445
10490	1	5	1	450
10491	1	5	1	455
10492	1	5	1	460
10493	1	5	1	465
10494	1	5	1	470
10495	1	5	1	475
10496	1	5	1	480
10497	1	5	1	485
10498	1	5	1	490
10499	1	5	1	495
10500	1	5	1	500
20001	1	1	2	1
20002	1	1	2	2
20003	1	1	2	3
20004	1	1	2	4
20005	1	1	2	5
20006	1	1	2	6
20007	1	1	2	7
20008	1	1	2	8
20009	1	1	2	9
20010	1	1	2	10
20011	1	1	2	11
20012	1	1	2	12
20013	1	1	2	13
20014	1	1	2	14
20015	1	1	2	15
20016	1	1	2	16
20017	1	1	2	17
20018	1	1	2	18
20019	1	1	2	19
20020	1	1	2	20
20021	1	1	2	21
20022	1	1	2	22
20023	1	1	2	23
20024	1	1	2	24
20025	1	1	2	25
20026	1	1	2	26
20027	1	1	2	27
20028	1	1	2	28
20029	1	1	2	29
20030	1	1	2	30
20031	1	1	2	31
20032	1	1	2	32
20033	1	1	2	33
20034	1	1	2	34
20035	1	1	2	35
20036	1	1	2	36
20037	1	1	2	37
20038	1	1	2	38
20039	1	1	2	39
20040	1	1	2	40
20041	1	1	2	41
20042	1	1	2	42
20043	1	1	2	43
20044	1	1	2	44
20045	1	1	2	45
20046	1	1	2	46
20047	1	1	2	47
20048	1	1	2	48
20049	1	1	2	49
20050	1	1	2	50
20051	1	1	2	51
20052	1	1	2	52
20053	1	1	2	53
20054	1	1	2	54
20055	1	1	2	55
20056	1	1	2	56
20057	1	1	2	57
20058	1	1	2	58
20059	1	1	2	59
20060	1	1	2	60
20061	1	1	2	61
20062	1	1	2	62
20063	1	1	2	63
20064	1	1	2	64
20065	1	1	2	65
20066	1	1	2	66
20067	1	1	2	67
20068	1	1	2	68
20069	1	1	2	69
20070	1	1	2	70
20071	1	1	2	71
20072	1	1	2	72
20073	1	1	2	73
20074	1	1	2	74
20075	1	1	2	75
20076	1	1	2	76
20077	1	1	2	77
20078	1	1	2	78
20079	1	1	2	79
20080	1	1	2	80
20081	1	1	2	81
20082	1	1	2	82
20083	1	1	2	83
20084	1	1	2	84
20085	1	1	2	85
20086	1	1	2	86
20087	1	1	2	87
20088	1	1	2	88
20089	1	1	2	89
20090	1	1	2	90
20091	1	1	2	91
20092	1	1	2	92
20093	1	1	2	93
20094	1	1	2	94
20095	1	1	2	95
20096	1	1	2	96
20097	1	1	2	97
20098	1	1	2	98
20099	1	1	2	99
20100	1	1	2	100
20101	1	2	2	1
20102	1	2	2	2
20103	1	2	2	3
20104	1	2	2	4
20105	1	2	2	5
20106	1	2	2	6
20107	1	2	2	7
20108	1	2	2	8
20109	1	2	2	9
20110	1	2	2	10
20111	1	2	2	11
20112	1	2	2	12
20113	1	2	2	13
20114	1	2	2	14
20115	1	2	2	15
20116	1	2	2	16
20117	1	2	2	17
20118	1	2	2	18
20119	1	2	2	19
20120	1	2	2	20
20121	1	2	2	21
20122	1	2	2	22
20123	1	2	2	23
20124	1	2	2	24
20125	1	2	2	25
20126	1	2	2	26
20127	1	2	2	27
20128	1	2	2	28
20129	1	2	2	29
20130	1	2	2	30
20131	1	2	2	31
20132	1	2	2	32
20133	1	2	2	33
20134	1	2	2	34
20135	1	2	2	35
20136	1	2	2	36
20137	1	2	2	37
20138	1	2	2	38
20139	1	2	2	39
20140	1	2	2	40
20141	1	2	2	41
20142	1	2	2	42
20143	1	2	2	43
20144	1	2	2	44
20145	1	2	2	45
20146	1	2	2	46
20147	1	2	2	47
20148	1	2	2	48
20149	1	2	2	49
20150	1	2	2	50
20151	1	2	2	51
20152	1	2	2	52
20153	1	2	2	53
20154	1	2	2	54
20155	1	2	2	55
20156	1	2	2	56
20157	1	2	2	57
20158	1	2	2	58
20159	1	2	2	59
20160	1	2	2	60
20161	1	2	2	61
20162	1	2	2	62
20163	1	2	2	63
20164	1	2	2	64
20165	1	2	2	65
20166	1	2	2	66
20167	1	2	2	67
20168	1	2	2	68
20169	1	2	2	69
20170	1	2	2	70
20171	1	2	2	71
20172	1	2	2	72
20173	1	2	2	73
20174	1	2	2	74
20175	1	2	2	75
20176	1	2	2	76
20177	1	2	2	77
20178	1	2	2	78
20179	1	2	2	79
20180	1	2	2	80
20181	1	2	2	81
20182	1	2	2	82
20183	1	2	2	83
20184	1	2	2	84
20185	1	2	2	85
20186	1	2	2	86
20187	1	2	2	87
20188	1	2	2	88
20189	1	2	2	89
20190	1	2	2	90
20191	1	2	2	91
20192	1	2	2	92
20193	1	2	2	93
20194	1	2	2	94
20195	1	2	2	95
20196	1	2	2	96
20197	1	2	2	97
20198	1	2	2	98
20199	1	2	2	99
20200	1	2	2	100
20201	1	3	2	1
20202	1	3	2	2
20203	1	3	2	3
20204	1	3	2	4
20205	1	3	2	5
20206	1	3	2	6
20207	1	3	2	7
20208	1	3	2	8
20209	1	3	2	9
20210	1	3	2	10
20211	1	3	2	11
20212	1	3	2	12
20213	1	3	2	13
20214	1	3	2	14
20215	1	3	2	15
20216	1	3	2	16
20217	1	3	2	17
20218	1	3	2	18
20219	1	3	2	19
20220	1	3	2	20
20221	1	3	2	21
20222	1	3	2	22
20223	1	3	2	23
20224	1	3	2	24
20225	1	3	2	25
20226	1	3	2	26
20227	1	3	2	27
20228	1	3	2	28
20229	1	3	2	29
20230	1	3	2	30
20231	1	3	2	31
20232	1	3	2	32
20233	1	3	2	33
20234	1	3	2	34
20235	1	3	2	35
20236	1	3	2	36
20237	1	3	2	37
20238	1	3	2	38
20239	1	3	2	39
20240	1	3	2	40
20241	1	3	2	41
20242	1	3	2	42
20243	1	3	2	43
20244	1	3	2	44
20245	1	3	2	45
20246	1	3	2	46
20247	1	3	2	47
20248	1	3	2	48
20249	1	3	2	49
20250	1	3	2	50
20251	1	3	2	51
20252	1	3	2	52
20253	1	3	2	53
20254	1	3	2	54
20255	1	3	2	55
20256	1	3	2	56
20257	1	3	2	57
20258	1	3	2	58
20259	1	3	2	59
20260	1	3	2	60
20261	1	3	2	61
20262	1	3	2	62
20263	1	3	2	63
20264	1	3	2	64
20265	1	3	2	65
20266	1	3	2	66
20267	1	3	2	67
20268	1	3	2	68
20269	1	3	2	69
20270	1	3	2	70
20271	1	3	2	71
20272	1	3	2	72
20273	1	3	2	73
20274	1	3	2	74
20275	1	3	2	75
20276	1	3	2	76
20277	1	3	2	77
20278	1	3	2	78
20279	1	3	2	79
20280	1	3	2	80
20281	1	3	2	81
20282	1	3	2	82
20283	1	3	2	83
20284	1	3	2	84
20285	1	3	2	85
20286	1	3	2	86
20287	1	3	2	87
20288	1	3	2	88
20289	1	3	2	89
20290	1	3	2	90
20291	1	3	2	91
20292	1	3	2	92
20293	1	3	2	93
20294	1	3	2	94
20295	1	3	2	95
20296	1	3	2	96
20297	1	3	2	97
20298	1	3	2	98
20299	1	3	2	99
20300	1	3	2	100
20301	1	4	2	1
20302	1	4	2	2
20303	1	4	2	3
20304	1	4	2	4
20305	1	4	2	5
20306	1	4	2	6
20307	1	4	2	7
20308	1	4	2	8
20309	1	4	2	9
20310	1	4	2	10
20311	1	4	2	11
20312	1	4	2	12
20313	1	4	2	13
20314	1	4	2	14
20315	1	4	2	15
20316	1	4	2	16
20317	1	4	2	17
20318	1	4	2	18
20319	1	4	2	19
20320	1	4	2	20
20321	1	4	2	21
20322	1	4	2	22
20323	1	4	2	23
20324	1	4	2	24
20325	1	4	2	25
20326	1	4	2	26
20327	1	4	2	27
20328	1	4	2	28
20329	1	4	2	29
20330	1	4	2	30
20331	1	4	2	31
20332	1	4	2	32
20333	1	4	2	33
20334	1	4	2	34
20335	1	4	2	35
20336	1	4	2	36
20337	1	4	2	37
20338	1	4	2	38
20339	1	4	2	39
20340	1	4	2	40
20341	1	4	2	41
20342	1	4	2	42
20343	1	4	2	43
20344	1	4	2	44
20345	1	4	2	45
20346	1	4	2	46
20347	1	4	2	47
20348	1	4	2	48
20349	1	4	2	49
20350	1	4	2	50
20351	1	4	2	51
20352	1	4	2	52
20353	1	4	2	53
20354	1	4	2	54
20355	1	4	2	55
20356	1	4	2	56
20357	1	4	2	57
20358	1	4	2	58
20359	1	4	2	59
20360	1	4	2	60
20361	1	4	2	61
20362	1	4	2	62
20363	1	4	2	63
20364	1	4	2	64
20365	1	4	2	65
20366	1	4	2	66
20367	1	4	2	67
20368	1	4	2	68
20369	1	4	2	69
20370	1	4	2	70
20371	1	4	2	71
20372	1	4	2	72
20373	1	4	2	73
20374	1	4	2	74
20375	1	4	2	75
20376	1	4	2	76
20377	1	4	2	77
20378	1	4	2	78
20379	1	4	2	79
20380	1	4	2	80
20381	1	4	2	81
20382	1	4	2	82
20383	1	4	2	83
20384	1	4	2	84
20385	1	4	2	85
20386	1	4	2	86
20387	1	4	2	87
20388	1	4	2	88
20389	1	4	2	89
20390	1	4	2	90
20391	1	4	2	91
20392	1	4	2	92
20393	1	4	2	93
20394	1	4	2	94
20395	1	4	2	95
20396	1	4	2	96
20397	1	4	2	97
20398	1	4	2	98
20399	1	4	2	99
20400	1	4	2	100
20401	1	5	2	1
20402	1	5	2	2
20403	1	5	2	3
20404	1	5	2	4
20405	1	5	2	5
20406	1	5	2	6
20407	1	5	2	7
20408	1	5	2	8
20409	1	5	2	9
20410	1	5	2	10
20411	1	5	2	11
20412	1	5	2	12
20413	1	5	2	13
20414	1	5	2	14
20415	1	5	2	15
20416	1	5	2	16
20417	1	5	2	17
20418	1	5	2	18
20419	1	5	2	19
20420	1	5	2	20
20421	1	5	2	21
20422	1	5	2	22
20423	1	5	2	23
20424	1	5	2	24
20425	1	5	2	25
20426	1	5	2	26
20427	1	5	2	27
20428	1	5	2	28
20429	1	5	2	29
20430	1	5	2	30
20431	1	5	2	31
20432	1	5	2	32
20433	1	5	2	33
20434	1	5	2	34
20435	1	5	2	35
20436	1	5	2	36
20437	1	5	2	37
20438	1	5	2	38
20439	1	5	2	39
20440	1	5	2	40
20441	1	5	2	41
20442	1	5	2	42
20443	1	5	2	43
20444	1	5	2	44
20445	1	5	2	45
20446	1	5	2	46
20447	1	5	2	47
20448	1	5	2	48
20449	1	5	2	49
20450	1	5	2	50
20451	1	5	2	51
20452	1	5	2	52
20453	1	5	2	53
20454	1	5	2	54
20455	1	5	2	55
20456	1	5	2	56
20457	1	5	2	57
20458	1	5	2	58
20459	1	5	2	59
20460	1	5	2	60
20461	1	5	2	61
20462	1	5	2	62
20463	1	5	2	63
20464	1	5	2	64
20465	1	5	2	65
20466	1	5	2	66
20467	1	5	2	67
20468	1	5	2	68
20469	1	5	2	69
20470	1	5	2	70
20471	1	5	2	71
20472	1	5	2	72
20473	1	5	2	73
20474	1	5	2	74
20475	1	5	2	75
20476	1	5	2	76
20477	1	5	2	77
20478	1	5	2	78
20479	1	5	2	79
20480	1	5	2	80
20481	1	5	2	81
20482	1	5	2	82
20483	1	5	2	83
20484	1	5	2	84
20485	1	5	2	85
20486	1	5	2	86
20487	1	5	2	87
20488	1	5	2	88
20489	1	5	2	89
20490	1	5	2	90
20491	1	5	2	91
20492	1	5	2	92
20493	1	5	2	93
20494	1	5	2	94
