id	name_text_id	skill_group_id	skill_level	trick_level	price_skill_point
100000111	つながるきもち	1000001	1	1	40
100000112	つながるきもち	1000001	1	2	36
100000113	つながるきもち	1000001	1	3	32
100000114	つながるきもち	1000001	1	4	28
100000115	つながるきもち	1000001	1	5	24
100000211	まんぞくできるかな？	1000002	1	1	40
100000212	まんぞくできるかな？	1000002	1	2	36
100000213	まんぞくできるかな？	1000002	1	3	32
100000214	まんぞくできるかな？	1000002	1	4	28
100000215	まんぞくできるかな？	1000002	1	5	24
100000311	いごこちいいね！	1000003	1	1	40
100000312	いごこちいいね！	1000003	1	2	36
100000313	いごこちいいね！	1000003	1	3	32
100000314	いごこちいいね！	1000003	1	4	28
100000315	いごこちいいね！	1000003	1	5	24
100000411	ぬくもりを感じて	1000004	1	1	40
100000412	ぬくもりを感じて	1000004	1	2	36
100000413	ぬくもりを感じて	1000004	1	3	32
100000414	ぬくもりを感じて	1000004	1	4	28
100000415	ぬくもりを感じて	1000004	1	5	24
100000511	いやしの時間	1000005	1	1	40
100000512	いやしの時間	1000005	1	2	36
100000513	いやしの時間	1000005	1	3	32
100000514	いやしの時間	1000005	1	4	28
100000515	いやしの時間	1000005	1	5	24
510001111	いっしょにあそぼー！（はじめ） Lv1	5100011	1	1	30
510001112	いっしょにあそぼー！（はじめ） Lv1	5100011	1	2	27
510001113	いっしょにあそぼー！（はじめ） Lv1	5100011	1	3	24
510001114	いっしょにあそぼー！（はじめ） Lv1	5100011	1	4	21
510001115	いっしょにあそぼー！（はじめ） Lv1	5100011	1	5	18
510001121	いっしょにあそぼー！（はじめ） Lv2	5100011	2	1	50
510001122	いっしょにあそぼー！（はじめ） Lv2	5100011	2	2	45
510001123	いっしょにあそぼー！（はじめ） Lv2	5100011	2	3	40
510001124	いっしょにあそぼー！（はじめ） Lv2	5100011	2	4	35
510001125	いっしょにあそぼー！（はじめ） Lv2	5100011	2	5	30
510001131	いっしょにあそぼー！（はじめ） Lv3	5100011	3	1	70
510001132	いっしょにあそぼー！（はじめ） Lv3	5100011	3	2	63
510001133	いっしょにあそぼー！（はじめ） Lv3	5100011	3	3	56
510001134	いっしょにあそぼー！（はじめ） Lv3	5100011	3	4	49
510001135	いっしょにあそぼー！（はじめ） Lv3	5100011	3	5	42
510001141	いっしょにあそぼー！（はじめ） Lv4	5100011	4	1	90
510001142	いっしょにあそぼー！（はじめ） Lv4	5100011	4	2	81
510001143	いっしょにあそぼー！（はじめ） Lv4	5100011	4	3	72
510001144	いっしょにあそぼー！（はじめ） Lv4	5100011	4	4	63
510001145	いっしょにあそぼー！（はじめ） Lv4	5100011	4	5	54
510001151	いっしょにあそぼー！（はじめ） Lv5	5100011	5	1	110
510001152	いっしょにあそぼー！（はじめ） Lv5	5100011	5	2	99
510001153	いっしょにあそぼー！（はじめ） Lv5	5100011	5	3	88
510001154	いっしょにあそぼー！（はじめ） Lv5	5100011	5	4	77
510001155	いっしょにあそぼー！（はじめ） Lv5	5100011	5	5	66
510002111	いっぱいくつろごー！（とちゅう） Lv1	5100021	1	1	30
510002112	いっぱいくつろごー！（とちゅう） Lv1	5100021	1	2	27
510002113	いっぱいくつろごー！（とちゅう） Lv1	5100021	1	3	24
510002114	いっぱいくつろごー！（とちゅう） Lv1	5100021	1	4	21
510002115	いっぱいくつろごー！（とちゅう） Lv1	5100021	1	5	18
510002121	いっぱいくつろごー！（とちゅう） Lv2	5100021	2	1	50
510002122	いっぱいくつろごー！（とちゅう） Lv2	5100021	2	2	45
510002123	いっぱいくつろごー！（とちゅう） Lv2	5100021	2	3	40
510002124	いっぱいくつろごー！（とちゅう） Lv2	5100021	2	4	35
510002125	いっぱいくつろごー！（とちゅう） Lv2	5100021	2	5	30
510002131	いっぱいくつろごー！（とちゅう） Lv3	5100021	3	1	70
510002132	いっぱいくつろごー！（とちゅう） Lv3	5100021	3	2	63
510002133	いっぱいくつろごー！（とちゅう） Lv3	5100021	3	3	56
510002134	いっぱいくつろごー！（とちゅう） Lv3	5100021	3	4	49
510002135	いっぱいくつろごー！（とちゅう） Lv3	5100021	3	5	42
510002141	いっぱいくつろごー！（とちゅう） Lv4	5100021	4	1	90
510002142	いっぱいくつろごー！（とちゅう） Lv4	5100021	4	2	81
510002143	いっぱいくつろごー！（とちゅう） Lv4	5100021	4	3	72
510002144	いっぱいくつろごー！（とちゅう） Lv4	5100021	4	4	63
510002145	いっぱいくつろごー！（とちゅう） Lv4	5100021	4	5	54
510002151	いっぱいくつろごー！（とちゅう） Lv5	5100021	5	1	110
510002152	いっぱいくつろごー！（とちゅう） Lv5	5100021	5	2	99
510002153	いっぱいくつろごー！（とちゅう） Lv5	5100021	5	3	88
510002154	いっぱいくつろごー！（とちゅう） Lv5	5100021	5	4	77
510002155	いっぱいくつろごー！（とちゅう） Lv5	5100021	5	5	66
510003111	まったりくつろごー！（はじめ） Lv1	5100031	1	1	30
