id	story_id	leader_chara_id	script_id
71000010	71000010		71000010
71000011	71000011		71000011
71000020	71000020		71000020
71000021	71000021		71000021
71000030	71000030		71000030
71000031	71000031		71000031
71000040	71000040		71000040
71000041	71000041		71000041
71000050	71000050		71000050
71000051	71000051		71000051
71001010	71001010		71001010
71001011	71001011		71001011
71001020	71001020		71001020
71001021	71001021		71001021
71001030	71001030		71001030
71001031	71001031		71001031
71001040	71001040		71001040
71001041	71001041		71001041
71001050	71001050		71001050
71001051	71001051		71001051
71002010	71002010		71002010
71002011	71002011		71002011
71002020	71002020		71002020
71002021	71002021		71002021
71002030	71002030		71002030
71002031	71002031		71002031
71002040	71002040		71002040
71002041	71002041		71002041
71002050	71002050		71002050
71002051	71002051		71002051
71003010	71003010		71003010
71003011	71003011		71003011
71003020	71003020		71003020
71003021	71003021		71003021
71003030	71003030		71003030
71003031	71003031		71003031
71003040	71003040		71003040
71003041	71003041		71003041
71003050	71003050		71003050
71003051	71003051		71003051
71004010	71004010		71004010
71004011	71004011		71004011
71004020	71004020		71004020
71004021	71004021		71004021
71004030	71004030		71004030
71004031	71004031		71004031
71004040	71004040		71004040
71004041	71004041		71004041
71004050	71004050		71004050
71004051	71004051		71004051
71005010	71005010		71005010
71005011	71005011		71005011
71005020	71005020		71005020
71005021	71005021		71005021
71005030	71005030		71005030
71005031	71005031		71005031
71005040	71005040		71005040
71005041	71005041		71005041
71005050	71005050		71005050
71005051	71005051		71005051
71006000	71006000		71006000
71006001	71006001		71006001
71006002	71006002		71006002
71006003	71006003		71006003
71007010	71007010		71007010
71007011	71007011		71007011
71007012	71007012		71007012
71007020	71007020		71007020
71007021	71007021		71007021
71007022	71007022		71007022
71007040	71007040		71007040
71007041	71007041		71007041
71007042	71007042		71007042
71007050	71007050		71007050
71007051	71007051		71007051
71007052	71007052		71007052
71009010	71009010		71009010
71009011	71009011		71009011
71009012	71009012		71009012
71009020	71009020		71009020
71009021	71009021		71009021
71009031	71009031		71009031
71009042	71009042		71009042
71009051	71009051		71009051
71110001	71110001		71110001
71110002	71110002		71110002
71110003	71110003		71110003
71110004	71110004		71110004
71110005	71110005		71110005
71110006	71110006		71110006
71110007	71110007		71110007
71110008	71110008		71110008
71110009	71110009		71110009
71110010	71110010		71110010
71110011	71110011		71110006
71110012	71110012		71110007
71110013	71110013		71110008
71110014	71110014		71110009
71110015	71110015		71110010
71110016	71110016		71110006
71110017	71110017		71110007
71110018	71110018		71110008
71110019	71110019		71110009
71110020	71110020		71110010
71110021	71110021		71110006
71110022	71110022		71110007
71110023	71110023		71110008
71110024	71110024		71110009
71110025	71110025		71110010
71110026	71110026		71110006
71110027	71110027		71110007
71110028	71110028		71110008
71110029	71110029		71110009
71110030	71110030		71110010
71110031	71110031		71110006
71110032	71110032		71110007
71110033	71110033		71110008
71110034	71110034		71110009
71110035	71110035		71110010
71110036	71110036		71110006
71110037	71110037		71110007
71110038	71110038		71110008
71110039	71110039		71110009
71110040	71110040		71110010
71110041	71110041		71110006
71110042	71110042		71110007
71110043	71110043		71110008
71110044	71110044		71110009
71110045	71110045		71110010
71110046	71110046		71110006
71110047	71110047		71110007
71110048	71110048		71110008
71110049	71110049		71110009
71110050	71110050		71110010
71110051	71110051		71110051
71110052	71110052		71110052
71110053	71110053		71110053
71110054	71110054		71110054
71110055	71110055		71110055
71110056	71110056		71110056
71110057	71110057		71110057
71110058	71110058		71110058
71110059	71110059		71110059
71110060	71110060		71110060
71110061	71110061		71110056
71110062	71110062		71110057
71110063	71110063		71110058
71110064	71110064		71110059
71110065	71110065		71110060
71110066	71110066		71110056
71110067	71110067		71110057
71110068	71110068		71110058
71110069	71110069		71110059
71110070	71110070		71110060
71110071	71110071		71110056
71110072	71110072		71110057
71110073	71110073		71110058
71110074	71110074		71110059
71110075	71110075		71110060
71110076	71110076		71110076
71110077	71110077		71110077
71110078	71110078		71110078
71110079	71110079		71110079
71110080	71110080		71110080
71110081	71110081		71110056
71110082	71110082		71110057
71110083	71110083		71110058
71110084	71110084		71110059
71110085	71110085		71110060
71110086	71110086		71110056
71110087	71110087		71110057
71110088	71110088		71110058
71110089	71110089		71110059
71110090	71110090		71110060
71110091	71110091		71110056
71110092	71110092		71110057
71110093	71110093		71110058
71110094	71110094		71110059
71110095	71110095		71110060
71110096	71110096		71110056
71110097	71110097		71110057
71110098	71110098		71110058
71110099	71110099		71110059
71110100	71110100		71110060
71110101	71110101		71110101
71110102	71110102		71110102
71110103	71110103		71110103
71110104	71110104		71110104
71110105	71110105		71110105
71110106	71110106		71110106
71110107	71110107		71110107
71110108	71110108		71110108
71110109	71110109		71110109
71110110	71110110		71110110
71110111	71110111		71110111
71110112	71110112		71110112
71110113	71110113		71110113
71110114	71110114		71110114
71110115	71110115		71110115
71110116	71110116		71110116
71110117	71110117		71110117
71110118	71110118		71110118
71110119	71110119		71110119
71110120	71110120		71110120
71110121	71110121		71110121
71110122	71110122		71110122
71110123	71110123		71110123
71110124	71110124		71110124
71110125	71110125		71110125
71110126	71110126		71110126
71110127	71110127		71110127
71110128	71110128		71110128
71110129	71110129		71110129
71110130	71110130		71110130
71110131	71110131		71110131
71110132	71110132		71110132
71110133	71110133		71110133
71110134	71110134		71110134
71110135	71110135		71110135
71110136	71110136		71110136
71110137	71110137		71110137
71110138	71110138		71110138
71110139	71110139		71110139
71110140	71110140		71110140
71110141	71110141		71110141
71110142	71110142		71110142
71110143	71110143		71110143
71110144	71110144		71110144
71110145	71110145		71110145
71110146	71110146		71110146
71110147	71110147		71110147
71110148	71110148		71110148
71110149	71110149		71110149
71110150	71110150		71110150
71110151	71110151		71110151
71110152	71110152		71110152
71110153	71110153		71110153
71110154	71110154		71110154
71110155	71110155		71110155
71110156	71110156		71110156
71110157	71110157		71110157
71110158	71110158		71110158
71110159	71110159		71110159
71110160	71110160		71110160
71110161	71110161		71110161
71110162	71110162		71110162
71110163	71110163		71110163
71110164	71110164		71110164
71110165	71110165		71110165
71110176	71110176		71110176
71110177	71110177		71110177
71110178	71110178		71110178
71110179	71110179		71110179
71110180	71110180		71110180
71110181	71110181		71110181
71110182	71110182		71110182
71220062	71220062		71220062
71220063	71220063		71220063
71220064	71220064		71220064
71220065	71220065		71220065
71220073	71220073		71220073
71220076	71220076		71220076
71220094	71220094		71220094
71220100	71220100		71220100
71220102	71220102		71220102
71220106	71220106		71220106
71220107	71220107		71220107
71220108	71220108		71220108
71220109	71220109		71220109
71220110	71220110		71220110
71220111	71220111		71220111
71220112	71220112		71220112
71220113	71220113		71220113
71220114	71220114		71220114
71220115	71220115		71220115
71220116	71220116		71220116
71220117	71220117		71220117
71220118	71220118		71220118
71220119	71220119		71220119
71220120	71220120		71220120
71220121	71220121		71220121
71220122	71220122		71220122
71220124	71220124		71220124
71301001	71301001		71301001
71301002	71301002		71300112
71301003	71301003		71300122
71301004	71301004		71300132
71301005	71301005		71300142
71301006	71301006		71300112
71301007	71301007		71300212
71301008	71301008		71301008
71301009	71301009		71300222
71301010	71301010		71300232
71301011	71301011		71300242
71301012	71301012		71300212
71301013	71301013		71301013
71301014	71301014		71300222
71301015	71301015		71300122
71301019	71301019		71301019
71301020	71301020		71300132
71301021	71301021		71300232
71301022	71301022		71300242
71301023	71301023		71300142
71301024	71301024		71300212
71301025	71301025		71300112
71301026	71301026		71300122
71301027	71301027		71300312
71301028	71301028		71300222
71301029	71301029		71300232
71301030	71301030		71300242
71301031	71301031		71300132
71301032	71301032		71300212
71301033	71301033		71300222
71301034	71301034		71300232
71301035	71301035		71300242
71301036	71301036		71300212
71301037	71301037		71300222
71301038	71301038		71300322
71301039	71301039		71300332
71301040	71301040		71300232
71301041	71301041		71300142
71301042	71301042		71300112
71301043	71301043		71300122
71301044	71301044		71300242
71301045	71301045		71300132
71301046	71301046		71301046
71301047	71301047		71300212
71302001	71302001		71302001
71302002	71302002		71302002
71302003	71302003		71300142
71302004	71302004		71300112
71302005	71302005		71300122
71302006	71302006		71302006
71302007	71302007		71300222
71302008	71302008		71300132
71302009	71302009		71300142
71302010	71302010		71300232
71302011	71302011		71300242
71302012	71302012		71302012
71302013	71302013		71300112
71302014	71302014		71300122
71302015	71302015		71300132
71302016	71302016		71300142
71302017	71302017		71300112
71302018	71302018		71300122
71302019	71302019		71300132
71302020	71302020		71300212
71302021	71302021		71300222
71302022	71302022		71300232
71302023	71302023		71300242
71303001	71303001		71303001
71303002	71303002		71300142
71303003	71303003		71300112
71303004	71303004		71300122
71303005	71303005		71300212
71303006	71303006		71303006
71303007	71303007		71300222
71303008	71303008		71300232
71303009	71303009		71303009
71303010	71303010		71300242
71303011	71303011		71300132
71303012	71303012		71300142
71303013	71303013		71300212
71303014	71303014		71300222
71304001	71304001		71304001
71304002	71304002		71304002
71304005	71304005		71300111
71304006	71304006		71300121
71304007	71304007		71300211
71304008	71304008		71300131
71304009	71304009		71304009
71304010	71304010		71300221
71304011	71304011		71304011
71304012	71304012		71300141
71304013	71304013		71300231
71304014	71304014		71300241
71304015	71304015		71300112
71304016	71304016		71300111
71304017	71304017		71300121
71304018	71304018		71300131
71304019	71304019		71300141
71304020	71304020		71300211
71304021	71304021		71300111
71304022	71304022		71300121
71304023	71304023		71300221
71304024	71304024		71300231
71304025	71304025		71300131
71304026	71304026		71300141
71304027	71304027		71300111
71304028	71304028		71300241
71304030	71304030		71300211
71304031	71304031		71300221
71304032	71304032		71300231
71304033	71304033		71300121
71304034	71304034		71300131
71304035	71304035		71300241
71304036	71304036		71300211
71304037	71304037		71300221
71304038	71304038		71300141
71304039	71304039		71300231
71304040	71304040		71300311
71304041	71304041		71300321
71304042	71304042		71300241
71304043	71304043		71300111
71304044	71304044		71300211
71304045	71304045		71300221
71304046	71304046		71300121
71304048	71304048		71300131
71304049	71304049		71300141
71304051	71304051		71300231
71304052	71304052		71300111
71304053	71304053		71300121
71304054	71304054		71300131
71304056	71304056		71300141
71305001	71305001		71305001
71305002	71305002		71300111
