id	support_effect_group_id	level	name_text_id	desc_text_id	effect_value
11	1	1	30100011	30100011	5
12	1	2	30100012	30100012	5
13	1	3	30100013	30100013	5
14	1	4	30100014	30100014	5
15	1	5	30100015	30100015	5
21	2	1	30100021	30100021	5
22	2	2	30100022	30100022	5
23	2	3	30100023	30100023	5
24	2	4	30100024	30100024	5
25	2	5	30100025	30100025	5
31	3	1	30100031	30100031	5
32	3	2	30100032	30100032	5
33	3	3	30100033	30100033	5
34	3	4	30100034	30100034	5
35	3	5	30100035	30100035	5
41	4	1	30100041	30100041	5
42	4	2	30100042	30100042	5
43	4	3	30100043	30100043	5
44	4	4	30100044	30100044	5
45	4	5	30100045	30100045	5
51	5	1	30100051	30100051	5
52	5	2	30100052	30100052	5
53	5	3	30100053	30100053	5
54	5	4	30100054	30100054	5
55	5	5	30100055	30100055	5
61	6	1	30100061	30100061	1
62	6	2	30100062	30100062	1
63	6	3	30100063	30100063	1
64	6	4	30100064	30100064	1
65	6	5	30100065	30100065	1
71	7	1	30100071	30100071	80
72	7	2	30100072	30100072	80
73	7	3	30100073	30100073	80
74	7	4	30100074	30100074	80
75	7	5	30100075	30100075	80
81	8	1	30100081	30100081	80
82	8	2	30100082	30100082	80
83	8	3	30100083	30100083	80
84	8	4	30100084	30100084	80
85	8	5	30100085	30100085	80
91	9	1	30100091	30100091	80
92	9	2	30100092	30100092	80
93	9	3	30100093	30100093	80
94	9	4	30100094	30100094	80
95	9	5	30100095	30100095	80
101	10	1	30100101	30100101	80
102	10	2	30100102	30100102	80
103	10	3	30100103	30100103	80
104	10	4	30100104	30100104	80
105	10	5	30100105	30100105	80
111	11	1	30100111	30100111	80
112	11	2	30100112	30100112	80
113	11	3	30100113	30100113	80
114	11	4	30100114	30100114	80
115	11	5	30100115	30100115	80
121	12	1	30100121	30100121	800
122	12	2	30100122	30100122	800
123	12	3	30100123	30100123	800
124	12	4	30100124	30100124	800
125	12	5	30100125	30100125	800
131	13	1	30100131	30100131	800
132	13	2	30100132	30100132	800
133	13	3	30100133	30100133	800
134	13	4	30100134	30100134	800
135	13	5	30100135	30100135	800
141	14	1	30100141	30100141	800
142	14	2	30100142	30100142	800
143	14	3	30100143	30100143	800
144	14	4	30100144	30100144	800
145	14	5	30100145	30100145	800
151	15	1	30100151	30100151	800
152	15	2	30100152	30100152	800
153	15	3	30100153	30100153	800
154	15	4	30100154	30100154	800
155	15	5	30100155	30100155	800
161	16	1	30100161	30100161	800
162	16	2	30100162	30100162	800
163	16	3	30100163	30100163	800
164	16	4	30100164	30100164	800
165	16	5	30100165	30100165	800
171	17	1	30100171	30100171	100
172	17	2	30100172	30100172	100
173	17	3	30100173	30100173	100
174	17	4	30100174	30100174	100
175	17	5	30100175	30100175	100
181	18	1	30100181	30100181	10
182	18	2	30100182	30100182	10
183	18	3	30100183	30100183	10
184	18	4	30100184	30100184	10
185	18	5	30100185	30100185	10
191	19	1	30100191	30100191	10
192	19	2	30100192	30100192	10
193	19	3	30100193	30100193	10
194	19	4	30100194	30100194	10
195	19	5	30100195	30100195	10
201	20	1	30100201	30100201	10
202	20	2	30100202	30100202	10
203	20	3	30100203	30100203	10
204	20	4	30100204	30100204	10
205	20	5	30100205	30100205	10
211	21	1	30100211	30100211	10
212	21	2	30100212	30100212	10
213	21	3	30100213	30100213	10
214	21	4	30100214	30100214	10
215	21	5	30100215	30100215	10
221	22	1	30100221	30100221	10
222	22	2	30100222	30100222	10
223	22	3	30100223	30100223	10
224	22	4	30100224	30100224	10
225	22	5	30100225	30100225	10
231	23	1	30100231	30100231	2
232	23	2	30100232	30100232	2
233	23	3	30100233	30100233	2
234	23	4	30100234	30100234	2
235	23	5	30100235	30100235	2
241	24	1	30100241	30100241	100
242	24	2	30100242	30100242	100
243	24	3	30100243	30100243	100
244	24	4	30100244	30100244	100
