id	rarity	icon_resource_id	name_text_id	effect_target_type	effect_target_param	case_event_flag_id
1	1	46300001	初期ステータスアップ（つながり）	1	1	
2	1	46300001	初期ステータスアップ（まんぞく）	1	2	
3	1	46300001	初期ステータスアップ（いごこち）	1	3	
4	1	46300001	初期ステータスアップ（ぬくもり）	1	4	
5	1	46300001	初期ステータスアップ（いやし）	1	5	
6	1	46300001	初期ステータスアップ（すべて）	1	6	
7	1	46300001	初期なかよしゲージアップ（なでしこ）	2	1	
8	1	46300001	初期なかよしゲージアップ（リン）	2	2	
9	1	46300001	初期なかよしゲージアップ（千明）	2	3	
10	1	46300001	初期なかよしゲージアップ（あおい）	2	4	
11	1	46300001	初期なかよしゲージアップ（恵那）	2	5	
12	1	46300002	得意行動出現アップ（なでしこ）	3	1	
13	1	46300002	得意行動出現アップ（リン）	3	2	
14	1	46300002	得意行動出現アップ（千明）	3	3	
15	1	46300002	得意行動出現アップ（あおい）	3	4	
16	1	46300002	得意行動出現アップ（恵那）	3	5	
17	1	46300002	コラボレーションボーナス	4		
18	1	46300002	キャンプ行動失敗ダウン（おしゃべり）	5	1	
19	1	46300002	キャンプ行動失敗ダウン（たべる）	5	2	
20	1	46300002	キャンプ行動失敗ダウン（せつえい）	5	3	
21	1	46300002	キャンプ行動失敗ダウン（たきび）	5	4	
22	1	46300002	キャンプ行動失敗ダウン（ながめる）	5	5	
23	1	46300002	キャンプ行動失敗ダウン（すべて）	5	6	
24	1	46300002	やる気効果アップ（つながり）	6	1	
25	1	46300002	やる気効果アップ（まんぞく）	6	2	
26	1	46300002	やる気効果アップ（いごこち）	6	3	
27	1	46300002	やる気効果アップ（ぬくもり）	6	4	
28	1	46300002	やる気効果アップ（いやし）	6	5	
29	1	46300002	やる気効果アップ（すべて）	6	6	
30	1	46300002	やる気効果アップ（スキルPt）	7		
31	1	46300002	キャンプ行動効果アップ（つながり）	9	1	
32	1	46300002	キャンプ行動効果アップ（まんぞく）	9	2	
33	1	46300002	キャンプ行動効果アップ（いごこち）	9	3	
34	1	46300002	キャンプ行動効果アップ（ぬくもり）	9	4	
35	1	46300002	キャンプ行動効果アップ（いやし）	9	5	
36	1	46300002	キャンプ行動効果アップ（すべて）	9	6	
37	1	46300002	キャンプ行動効果アップ（スキルPt）	10		
38	1	46300002	体力消費ダウン（おしゃべり）	11	1	
39	1	46300002	体力消費ダウン（たべる）	11	2	
40	1	46300002	体力消費ダウン（せつえい）	11	3	
41	1	46300002	体力消費ダウン（たきび）	11	4	
42	1	46300002	体力消費ダウン（ながめる）	11	5	
43	1	46300002	体力消費ダウン（すべて）	11	6	
44	1	46300003	コツ獲得イベント発生アップ	12		
45	1	46300003	コツLvアップ	13		
46	1	46300004	イベント効果アップ（つながり）	14	1	1
47	1	46300004	イベント効果アップ（まんぞく）	14	2	2
48	1	46300004	イベント効果アップ（いごこち）	14	3	3
49	1	46300004	イベント効果アップ（ぬくもり）	14	4	4
50	1	46300004	イベント効果アップ（いやし）	14	5	5
51	1	46300004	イベント効果アップ（すべて）	14	6	6
52	1	46300004	イベント効果アップ（スキルPt）	15		7
53	1	46300004	イベント回復量アップ	16		8
10001	1	46300001	初期ステータスアップ（つながり）	1	1	
10002	1	46300001	初期ステータスアップ（まんぞく）	1	2	
10003	1	46300001	初期ステータスアップ（いごこち）	1	3	
10004	1	46300001	初期ステータスアップ（ぬくもり）	1	4	
10005	1	46300001	初期ステータスアップ（いやし）	1	5	
10006	1	46300001	初期ステータスアップ（すべて）	1	6	
10007	1	46300001	初期なかよしゲージアップ（なでしこ）	2	1	
10008	1	46300001	初期なかよしゲージアップ（リン）	2	2	
10009	1	46300001	初期なかよしゲージアップ（千明）	2	3	
10010	1	46300001	初期なかよしゲージアップ（あおい）	2	4	
10011	1	46300001	初期なかよしゲージアップ（恵那）	2	5	
10012	1	46300002	得意行動出現アップ（なでしこ）	3	1	
10013	1	46300002	得意行動出現アップ（リン）	3	2	
10014	1	46300002	得意行動出現アップ（千明）	3	3	
10015	1	46300002	得意行動出現アップ（あおい）	3	4	
10016	1	46300002	得意行動出現アップ（恵那）	3	5	
10017	1	46300002	コラボレーションボーナス	4		
10018	1	46300002	キャンプ行動失敗ダウン（おしゃべり）	5	1	
10019	1	46300002	キャンプ行動失敗ダウン（たべる）	5	2	
10020	1	46300002	キャンプ行動失敗ダウン（せつえい）	5	3	
10021	1	46300002	キャンプ行動失敗ダウン（たきび）	5	4	
10022	1	46300002	キャンプ行動失敗ダウン（ながめる）	5	5	
10023	1	46300002	キャンプ行動失敗ダウン（すべて）	5	6	
10024	1	46300002	やる気効果アップ（つながり）	6	1	
