id	camp_id	day	time_slot	weather_weight_sunny	weather_weight_cloudy	weather_weight_rainy	weather_weight_snowy	wind_weight_nowind	wind_weight_weak	wind_weight_power	wind_weight_storm	temperature_weight_heatwave	temperature_weight_hot	temperature_weight_warm	temperature_weight_cool	temperature_weight_cold	temperature_weight_coldest
1001	1	1	3	100				100						100			
1002	1	1	4	100				100						100			
1003	1	1	5	100				100							100		
2001	2	1	3	100				100						100			
3001	3	1	3	100				100						100			
4001	4	1	3	100				100						100			
5001	5	1	3	100				100						100			
6001	6	1	3	100				100						100			
7001	7	1	3	100				100						100			
100001	1000	1	3	100				100							100		
101101	1011	1	3	100				100							100		
101102	1011	1	4	100				100							100		
101103	1011	1	5	100				100							100		
101104	1011	2	2	100				100							100		
102101	1021	1	3	100				100							100		
102102	1021	1	4	100				100							100		
102103	1021	1	5	100				100							100		
102104	1021	2	2	100				100							100		
103101	1031	1	3	100				100							100		
103102	1031	1	4	100				100							100		
103103	1031	1	5	100				100							100		
103104	1031	2	2	100				100							100		
104101	1041	1	3	100				100							100		
104102	1041	1	4	100				100							100		
104103	1041	1	5	100				100							100		
104104	1041	2	2	100				100							100		
