id	name_text_id	icon_resource_id	event_type	story_id	is_repetable	motivation	condition_id	relationship	satisfaction	comfortableness	warmth	healing	skill_pt	health	receive_trick_camp_skill_group_id	receive_trick_camp_skill_level	receive_camp_skill_trick_level	camp_friendship_group_id	support_effect_flag_ids	priority	weight	order
20000001	イベント発生なし	46200008	10		1															10000	100	10000
22100011	『サバキャン服』各務原 なでしこ	46200008	2	71110001				5					10		5100011		1		1,2,3,4,5,6,7,8	10000	100	10000
22100021	『サバキャン服』志摩 リン	46200008	2	71110002					5				10		5100021		1		1,2,3,4,5,6,7,8	10000	100	10000
22100031	『サバキャン服』大垣 千明	46200008	2	71110003						5			10		5100031		1		1,2,3,4,5,6,7,8	10000	100	10000
22100041	『サバキャン服』犬山 あおい	46200008	2	71110004							5		10		5100041		1		1,2,3,4,5,6,7,8	10000	100	10000
22100051	『サバキャン服』斉藤 恵那	46200008	2	71110005								5	10		5100051		1		1,2,3,4,5,6,7,8	10000	100	10000
22100061	『夏服(オレンジ)』各務原 なでしこ	46200008	2	71110006					5				10		5100061		1		1,2,3,4,5,6,7,8	10000	100	10000
22100071	『夏服(オレンジ)』志摩 リン	46200008	2	71110007						5			10		5100071		1		1,2,3,4,5,6,7,8	10000	100	10000
22100081	『夏服(オレンジ)』大垣 千明	46200008	2	71110008							5		10		5100081		1		1,2,3,4,5,6,7,8	10000	100	10000
22100091	『夏服(オレンジ)』犬山 あおい	46200008	2	71110009								5	10		5100091		1		1,2,3,4,5,6,7,8	10000	100	10000
22100101	『夏服(オレンジ)』斉藤 恵那	46200008	2	71110010				5					10		5100101		1		1,2,3,4,5,6,7,8	10000	100	10000
22100111	『夏服(ブルー)』各務原 なでしこ	46200008	2	71110011						5			10		5100111		1		1,2,3,4,5,6,7,8	10000	100	10000
22100121	『夏服(ブルー)』志摩 リン	46200008	2	71110012							5		10		5100121		1		1,2,3,4,5,6,7,8	10000	100	10000
22100131	『夏服(ブルー)』大垣 千明	46200008	2	71110013								5	10		5100131		1		1,2,3,4,5,6,7,8	10000	100	10000
22100141	『夏服(ブルー)』犬山 あおい	46200008	2	71110014				5					10		5100141		1		1,2,3,4,5,6,7,8	10000	100	10000
22100151	『夏服(ブルー)』斉藤 恵那	46200008	2	71110015					5				10		5100151		1		1,2,3,4,5,6,7,8	10000	100	10000
22100161	『夏服(ベージュ)』各務原 なでしこ	46200008	2	71110016							5		10		5100161		1		1,2,3,4,5,6,7,8	10000	100	10000
22100171	『夏服(ベージュ)』志摩 リン	46200008	2	71110017								5	10		5100171		1		1,2,3,4,5,6,7,8	10000	100	10000
22100181	『夏服(ベージュ)』大垣 千明	46200008	2	71110018				5					10		5100181		1		1,2,3,4,5,6,7,8	10000	100	10000
22100191	『夏服(ベージュ)』犬山 あおい	46200008	2	71110019					5				10		5100191		1		1,2,3,4,5,6,7,8	10000	100	10000
22100201	『夏服(ベージュ)』斉藤 恵那	46200008	2	71110020						5			10		5100201		1		1,2,3,4,5,6,7,8	10000	100	10000
22100211	『夏服(カーキ)』各務原 なでしこ	46200008	2	71110021								5	10		5100211		1		1,2,3,4,5,6,7,8	10000	100	10000
22100221	『夏服(カーキ)』志摩 リン	46200008	2	71110022				5					10		5100221		1		1,2,3,4,5,6,7,8	10000	100	10000
22100231	『夏服(カーキ)』大垣 千明	46200008	2	71110023					5				10		5100231		1		1,2,3,4,5,6,7,8	10000	100	10000
22100241	『夏服(カーキ)』犬山 あおい	46200008	2	71110024						5			10		5100241		1		1,2,3,4,5,6,7,8	10000	100	10000
22100251	『夏服(カーキ)』斉藤 恵那	46200008	2	71110025							5		10		5100251		1		1,2,3,4,5,6,7,8	10000	100	10000
22100261	『夏服(ブラウン)』各務原 なでしこ	46200008	2	71110026				5					10		5100261		1		1,2,3,4,5,6,7,8	10000	100	10000
22100271	『夏服(ブラウン)』志摩 リン	46200008	2	71110027					5				10		5100271		1		1,2,3,4,5,6,7,8	10000	100	10000
22100281	『夏服(ブラウン)』大垣 千明	46200008	2	71110028						5			10		5100281		1		1,2,3,4,5,6,7,8	10000	100	10000
22100291	『夏服(ブラウン)』犬山 あおい	46200008	2	71110029							5		10		5100291		1		1,2,3,4,5,6,7,8	10000	100	10000
22100301	『夏服(ブラウン)』斉藤 恵那	46200008	2	71110030								5	10		5100301		1		1,2,3,4,5,6,7,8	10000	100	10000
22100311	『夏服(ウッドランド)』各務原 なでしこ	46200008	2	71110031					5				10		5100311		1		1,2,3,4,5,6,7,8	10000	100	10000
22100321	『夏服(ウッドランド)』志摩 リン	46200008	2	71110032						5			10		5100321		1		1,2,3,4,5,6,7,8	10000	100	10000
22100331	『夏服(ウッドランド)』大垣 千明	46200008	2	71110033							5		10		5100331		1		1,2,3,4,5,6,7,8	10000	100	10000
22100341	『夏服(ウッドランド)』犬山 あおい	46200008	2	71110034								5	10		5100341		1		1,2,3,4,5,6,7,8	10000	100	10000
22100351	『夏服(ウッドランド)』斉藤 恵那	46200008	2	71110035				5					10		5100351		1		1,2,3,4,5,6,7,8	10000	100	10000
22100361	『夏服(マルチカム)』各務原 なでしこ	46200008	2	71110036						5			10		5100361		1		1,2,3,4,5,6,7,8	10000	100	10000
22100371	『夏服(マルチカム)』志摩 リン	46200008	2	71110037							5		10		5100371		1		1,2,3,4,5,6,7,8	10000	100	10000
22100381	『夏服(マルチカム)』大垣 千明	46200008	2	71110038								5	10		5100381		1		1,2,3,4,5,6,7,8	10000	100	10000
22100391	『夏服(マルチカム)』犬山 あおい	46200008	2	71110039				5					10		5100391		1		1,2,3,4,5,6,7,8	10000	100	10000
22100401	『夏服(マルチカム)』斉藤 恵那	46200008	2	71110040					5				10		5100401		1		1,2,3,4,5,6,7,8	10000	100	10000
22100411	『夏服(ホワイト)』各務原 なでしこ	46200008	2	71110041							5		10		5100411		1		1,2,3,4,5,6,7,8	10000	100	10000
22100421	『夏服(ホワイト)』志摩 リン	46200008	2	71110042								5	10		5100421		1		1,2,3,4,5,6,7,8	10000	100	10000
22100431	『夏服(ホワイト)』大垣 千明	46200008	2	71110043				5					10		5100431		1		1,2,3,4,5,6,7,8	10000	100	10000
22100441	『夏服(ホワイト)』犬山 あおい	46200008	2	71110044					5				10		5100441		1		1,2,3,4,5,6,7,8	10000	100	10000
22100451	『夏服(ホワイト)』斉藤 恵那	46200008	2	71110045						5			10		5100451		1		1,2,3,4,5,6,7,8	10000	100	10000
22100461	『夏服(ブラック)』各務原 なでしこ	46200008	2	71110046								5	10		5100461		1		1,2,3,4,5,6,7,8	10000	100	10000
22100471	『夏服(ブラック)』志摩 リン	46200008	2	71110047				5					10		5100471		1		1,2,3,4,5,6,7,8	10000	100	10000
22100481	『夏服(ブラック)』大垣 千明	46200008	2	71110048					5				10		5100481		1		1,2,3,4,5,6,7,8	10000	100	10000
22100491	『夏服(ブラック)』犬山 あおい	46200008	2	71110049						5			10		5100491		1		1,2,3,4,5,6,7,8	10000	100	10000
22100501	『夏服(ブラック)』斉藤 恵那	46200008	2	71110050							5		10		5100501		1		1,2,3,4,5,6,7,8	10000	100	10000
22100511	『イーストウッド薄着』各務原 なでしこ	46200008	2	71110051					15				30		5100511		1		1,2,3,4,5,6,7,8	10000	100	10000
22100521	『麓キャンプ薄着』志摩 リン	46200008	2	71110052						15			30		5100521		1		1,2,3,4,5,6,7,8	10000	100	10000
22100531	『イーストウッド薄着』大垣 千明	46200008	2	71110053							15		30		5100531		1		1,2,3,4,5,6,7,8	10000	100	10000
22100541	『イーストウッド薄着』犬山 あおい	46200008	2	71110054								15	30		5100541		1		1,2,3,4,5,6,7,8	10000	100	10000
22100551	『伊豆キャン薄着』斉藤 恵那	46200008	2	71110055				15					30		5100551		1		1,2,3,4,5,6,7,8	10000	100	10000
22100561	『冬服A(オレンジ)』各務原 なでしこ	46200008	2	71110056						15			30		5100561		1		1,2,3,4,5,6,7,8	10000	100	10000
22100571	『冬服A(オレンジ)』志摩 リン	46200008	2	71110057							15		30		5100571		1		1,2,3,4,5,6,7,8	10000	100	10000
22100581	『冬服A(オレンジ)』大垣 千明	46200008	2	71110058								15	30		5100581		1		1,2,3,4,5,6,7,8	10000	100	10000
22100591	『冬服A(オレンジ)』犬山 あおい	46200008	2	71110059				15					30		5100591		1		1,2,3,4,5,6,7,8	10000	100	10000
22100601	『冬服A(オレンジ)』斉藤 恵那	46200008	2	71110060					15				30		5100601		1		1,2,3,4,5,6,7,8	10000	100	10000
22100611	『冬服A(ブルー)』各務原 なでしこ	46200008	2	71110061							15		30		5100611		1		1,2,3,4,5,6,7,8	10000	100	10000
22100621	『冬服A(ブルー)』志摩 リン	46200008	2	71110062								15	30		5100621		1		1,2,3,4,5,6,7,8	10000	100	10000
