id	member_id	costume_id	clothes_id	clothes_color	reaction_scene_id	name_prefix_text_id	alter_member_name_text_id	rarity	max_level_id	type	value	advantage_type	anime_season	feature_id	card_content_id	card_premium_id	picture_release_id	limitbreak_id	limitbreak_target_ids	level_growth_id	kirameki_awakening_receipe_id	tokimeki_awakening_receipe_id	reawakening_receipe_id	enhance_recipe_id	is_limitbreak_material	is_special_limitbreak_material	exp	interlude_voice_no1	interlude_voice_no2	interlude_voice_no3	interlude_voice_no4	interlude_voice_no5	growth_reward_group_id	book_growth_reward_group_id	duplicate_reward_id	description	description_text_id	bgm	direction_id	decoration_removable	open_date	exchange_initial_price	exchange_additional_price	exchange_start_date	enhance_target_min_level	enhance_target_max_level
10001	1	1001	810			3		1	101				1		101		101	11	0	1001					1	1								111	1000100	"夏らしい薄着のキャンプ服。
バケーションにぴったり。"	314		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10002	2	1001	810			3		1	101				1		101		101	12	0	1001					1	1								111	1000200	"夏らしい薄着のキャンプ服。
バケーションにぴったり。"	314		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10003	3	1001	810			3		1	101				1		101		101	13	0	1001					1	1								111	1000300	"夏らしい薄着のキャンプ服。
バケーションにぴったり。"	314		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10004	4	1001	810			3		1	101				1		101		101	14	0	1001					1	1								111	1000400	"夏らしい薄着のキャンプ服。
バケーションにぴったり。"	314		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10005	5	1001	810			3		1	101				1		101		101	15	0	1001					1	1								111	1000500	"夏らしい薄着のキャンプ服。
バケーションにぴったり。"	314		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10006	1	1002	811			4		1	101				1		101		101	11	0	1001					1	1								111	1000600	"夏らしい薄着のキャンプ服。
オレンジ系のアースカラーコーデ。"	315		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10007	2	1002	811			4		1	101				1		101		101	12	0	1001					1	1								111	1000700	"夏らしい薄着のキャンプ服。
オレンジ系のアースカラーコーデ。"	315		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10008	3	1002	811			4		1	101				1		101		101	13	0	1001					1	1								111	1000800	"夏らしい薄着のキャンプ服。
オレンジ系のアースカラーコーデ。"	315		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10009	4	1002	811			4		1	101				1		101		101	14	0	1001					1	1								111	1000900	"夏らしい薄着のキャンプ服。
オレンジ系のアースカラーコーデ。"	315		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10010	5	1002	811			4		1	101				1		101		101	15	0	1001					1	1								111	1001000	"夏らしい薄着のキャンプ服。
オレンジ系のアースカラーコーデ。"	315		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10011	1	1003	812			5		1	101				1		101		101	11	0	1001					1	1								111	1001100	"夏らしい薄着のキャンプ服。
ブルー系のアースカラーコーデ。"	316		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10012	2	1003	812			5		1	101				1		101		101	12	0	1001					1	1								111	1001200	"夏らしい薄着のキャンプ服。
ブルー系のアースカラーコーデ。"	316		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
10013	3	1003	812			5		1	101				1		101		101	13	0	1001					1	1								111	1001300	"夏らしい薄着のキャンプ服。
ブルー系のアースカラーコーデ。"	316		1		2021-05-01 00:00:00			2100-01-01 00:00:00		
