id	group_id	level	relationship	satisfaction	comfortableness	warmth	healing	hotness	coldness	sporty	relaxing	playing	cooking	camp_skill_level_slot1	camp_skill_level_slot2	camp_support_effect_level_slot1	camp_support_effect_level_slot2	camp_support_effect_level_slot3	camp_support_effect_level_slot4	camp_support_effect_level_slot5
101101	1011	1												1						
101102	1011	2	1											1						
101103	1011	3	1	1										1						
101104	1011	4	1	1	1									1						
101105	1011	5	1	1	1	1								1						
101106	1011	6	1	1	1	1	1							1						
101107	1011	7	2	1	1	1	1							1						
101108	1011	8	2	2	1	1	1							1						
101109	1011	9	2	2	2	1	1							1						
101110	1011	10	2	2	2	2	1							1						
101111	1011	11	2	2	2	2	2							1						
101112	1011	12	3	2	2	2	2							1						
101113	1011	13	3	3	2	2	2							1						
101114	1011	14	3	3	3	2	2							1						
101115	1011	15	3	3	3	3	2							1						
101116	1011	16	3	3	3	3	3							1						
101117	1011	17	4	3	3	3	3							1						
101118	1011	18	4	4	3	3	3							1						
101119	1011	19	4	4	4	3	3							1						
101120	1011	20	4	4	4	4	3							2						
101121	1011	21	4	4	4	4	4							2						
101122	1011	22	5	4	4	4	4							2						
101123	1011	23	5	5	4	4	4							2						
101124	1011	24	5	5	5	4	4							2						
101125	1011	25	5	5	5	5	4							2						
101126	1011	26	5	5	5	5	5							2						
101127	1011	27	6	5	5	5	5							2						
101128	1011	28	6	6	5	5	5							2						
101129	1011	29	6	6	6	5	5							2						
101130	1011	30	6	6	6	6	5							2						
101131	1011	31	6	6	6	6	6							2						
101132	1011	32	7	6	6	6	6							2						
101133	1011	33	7	7	6	6	6							2						
101134	1011	34	7	7	7	6	6							2						
101135	1011	35	7	7	7	7	6							2						
101136	1011	36	7	7	7	7	7							2						
101137	1011	37	8	7	7	7	7							2						
101138	1011	38	8	8	7	7	7							2						
101139	1011	39	8	8	8	7	7							2						
101140	1011	40	8	8	8	8	7							3						
101201	1012	1												1						
101202	1012	2	1											1						
101203	1012	3	1	1										1						
101204	1012	4	1	1	1									1						
101205	1012	5	1	1	1	1								1						
101206	1012	6	1	1	1	1	1							1						
101207	1012	7	2	1	1	1	1							1						
101208	1012	8	2	2	1	1	1							1						
101209	1012	9	2	2	2	1	1							1						
101210	1012	10	2	2	2	2	1							1						
101211	1012	11	2	2	2	2	2							1						
101212	1012	12	3	2	2	2	2							1						
101213	1012	13	3	3	2	2	2							1						
101214	1012	14	3	3	3	2	2							1						
101215	1012	15	3	3	3	3	2							1						
101216	1012	16	3	3	3	3	3							1						
101217	1012	17	4	3	3	3	3							1						
101218	1012	18	4	4	3	3	3							1						
101219	1012	19	4	4	4	3	3							1						
101220	1012	20	4	4	4	4	3							1						
101221	1012	21	4	4	4	4	4							1						
101222	1012	22	5	4	4	4	4							1						
101223	1012	23	5	5	4	4	4							1						
101224	1012	24	5	5	5	4	4							1						
101225	1012	25	5	5	5	5	4							1						
101226	1012	26	5	5	5	5	5							1						
101227	1012	27	6	5	5	5	5							1						
101228	1012	28	6	6	5	5	5							1						
101229	1012	29	6	6	6	5	5							1						
101230	1012	30	6	6	6	6	5							2						
101231	1012	31	6	6	6	6	6							2						
101232	1012	32	7	6	6	6	6							2						
101233	1012	33	7	7	6	6	6							2						
101234	1012	34	7	7	7	6	6							2						
101235	1012	35	7	7	7	7	6							2	2					
101236	1012	36	7	7	7	7	7							2	2					
101237	1012	37	8	7	7	7	7							2	2					
101238	1012	38	8	8	7	7	7							2	2					
101239	1012	39	8	8	8	7	7							2	2					
101240	1012	40	8	8	8	8	7							3	2					
101241	1012	41	8	8	8	8	8							3	2					
101242	1012	42	9	8	8	8	8							3	2					
101243	1012	43	9	9	8	8	8							3	2					
101244	1012	44	9	9	9	8	8							3	2					
101245	1012	45	9	9	9	9	8							3	3					
101246	1012	46	9	9	9	9	9							3	3					
101247	1012	47	10	9	9	9	9							3	3					
101248	1012	48	10	10	9	9	9							3	3					
101249	1012	49	10	10	10	9	9							3	3					
101250	1012	50	10	10	10	10	9							4	3					
101301	1013	1												1						
101302	1013	2	1											1						
101303	1013	3	1	1										1						
101304	1013	4	1	1	1									1						
101305	1013	5	1	1	1	1								1						
101306	1013	6	1	1	1	1	1							1						
101307	1013	7	2	1	1	1	1							1						
101308	1013	8	2	2	1	1	1							1						
101309	1013	9	2	2	2	1	1							1						
101310	1013	10	2	2	2	2	1							1						
101311	1013	11	2	2	2	2	2							1						
101312	1013	12	3	2	2	2	2							1						
101313	1013	13	3	3	2	2	2							1						
101314	1013	14	3	3	3	2	2							1						
101315	1013	15	3	3	3	3	2							1						
101316	1013	16	3	3	3	3	3							1						
101317	1013	17	4	3	3	3	3							1						
101318	1013	18	4	4	3	3	3							1						
101319	1013	19	4	4	4	3	3							1						
101320	1013	20	4	4	4	4	3							2						
101321	1013	21	4	4	4	4	4							2						
101322	1013	22	5	4	4	4	4							2						
101323	1013	23	5	5	4	4	4							2						
101324	1013	24	5	5	5	4	4							2						
101325	1013	25	5	5	5	5	4							2						
101326	1013	26	5	5	5	5	5							2						
101327	1013	27	6	5	5	5	5							2						
101328	1013	28	6	6	5	5	5							2						
101329	1013	29	6	6	6	5	5							2						
