id	seq	title	title_text_id	type	target	content_type	content_value
1	1	ボーナス効果1 解放		1	1	11	1
2	1	ボーナス効果1 解放		1	1	11	1
3	1	キャラストーリー1		1	15	6	1
3	2	キャラストーリー2		1	25	6	2
3	3	キャラストーリー3		1	35	6	3
101	1	ボーナス効果1 解放		1	1	11	1
102	1	ボーナス効果1 解放		1	1	11	1
103	1	ボーナス効果1 解放		1	1	11	1
112	1	キャラストーリー1		1	5	6	1
112	2	キャラストーリー2		1	15	6	2
112	3	キャラストーリー3		1	25	6	3
113	1	衣装差分1 解放		1	45	7	2
123	1	衣装差分1 解放		1	45	7	2
123	2	衣装差分2 解放		1	55	7	3
133	1	キャラストーリー1		1	15	6	1
133	2	キャラストーリー2		1	25	6	2
133	3	キャラストーリー3		1	35	6	3
143	1	キャラストーリー1		1	15	6	1
143	2	キャラストーリー2		1	25	6	2
143	3	キャラストーリー3		1	35	6	3
143	4	衣装差分1 解放		1	45	7	2
153	1	キャラストーリー1		1	15	6	1
153	2	キャラストーリー2		1	25	6	2
153	3	キャラストーリー3		1	35	6	3
153	4	衣装差分1 解放		1	45	7	2
153	5	衣装差分2 解放		1	55	7	3
201	1	ボーナス効果1 解放		1	1	11	1
202	1	ボーナス効果1 解放		1	1	11	1
203	1	ボーナス効果1 解放		1	1	11	1
