id	card_id	awakening_type	score_attribute	score_attribute2	score_red	score_green	score_blue	score_yellow	score_purple	active_skill_id	passive_skill_id	passive_skill_growth_id
100011	10001	1	1	1	100011	100015	100013	100012	100014	1	1	20030
100021	10002	1	2	2	100021	100025	100023	100022	100024	1	1	20030
100031	10003	1	3	3	100031	100035	100033	100032	100034	1	1	20030
100041	10004	1	4	4	100041	100045	100043	100042	100044	1	1	20030
100051	10005	1	5	5	100051	100055	100053	100052	100054	1	1	20030
100061	10006	1	1	1	100061	100065	100063	100062	100064	1	1	20030
100071	10007	1	2	2	100071	100075	100073	100072	100074	1	1	20030
100081	10008	1	3	3	100081	100085	100083	100082	100084	1	1	20030
100091	10009	1	4	4	100091	100095	100093	100092	100094	1	1	20030
100101	10010	1	5	5	100101	100105	100103	100102	100104	1	1	20030
100111	10011	1	1	1	100111	100115	100113	100112	100114	1	1	20030
100121	10012	1	2	2	100121	100125	100123	100122	100124	1	1	20030
100131	10013	1	3	3	100131	100135	100133	100132	100134	1	1	20030
100141	10014	1	4	4	100141	100145	100143	100142	100144	1	1	20030
100151	10015	1	5	5	100151	100155	100153	100152	100154	1	1	20030
100161	10016	1	1	1	100161	100165	100163	100162	100164	1	1	20030
100171	10017	1	2	2	100171	100175	100173	100172	100174	1	1	20030
100181	10018	1	3	3	100181	100185	100183	100182	100184	1	1	20030
100191	10019	1	4	4	100191	100195	100193	100192	100194	1	1	20030
100201	10020	1	5	5	100201	100205	100203	100202	100204	1	1	20030
100211	10021	1	1	1	100211	100215	100213	100212	100214	1	1	20030
100221	10022	1	2	2	100221	100225	100223	100222	100224	1	1	20030
100231	10023	1	3	3	100231	100235	100233	100232	100234	1	1	20030
100241	10024	1	4	4	100241	100245	100243	100242	100244	1	1	20030
100251	10025	1	5	5	100251	100255	100253	100252	100254	1	1	20030
100261	10026	1	1	1	100261	100265	100263	100262	100264	1	1	20030
100271	10027	1	2	2	100271	100275	100273	100272	100274	1	1	20030
100281	10028	1	3	3	100281	100285	100283	100282	100284	1	1	20030
100291	10029	1	4	4	100291	100295	100293	100292	100294	1	1	20030
100301	10030	1	5	5	100301	100305	100303	100302	100304	1	1	20030
100311	10031	1	1	1	100311	100315	100313	100312	100314	1	1	20030
100321	10032	1	2	2	100321	100325	100323	100322	100324	1	1	20030
100331	10033	1	3	3	100331	100335	100333	100332	100334	1	1	20030
100341	10034	1	4	4	100341	100345	100343	100342	100344	1	1	20030
100351	10035	1	5	5	100351	100355	100353	100352	100354	1	1	20030
100361	10036	1	1	1	100361	100365	100363	100362	100364	1	1	20030
100371	10037	1	2	2	100371	100375	100373	100372	100374	1	1	20030
100381	10038	1	3	3	100381	100385	100383	100382	100384	1	1	20030
100391	10039	1	4	4	100391	100395	100393	100392	100394	1	1	20030
100401	10040	1	5	5	100401	100405	100403	100402	100404	1	1	20030
100411	10041	1	1	1	100411	100415	100413	100412	100414	1	1	20030
100421	10042	1	2	2	100421	100425	100423	100422	100424	1	1	20030
100431	10043	1	3	3	100431	100435	100433	100432	100434	1	1	20030
100441	10044	1	4	4	100441	100445	100443	100442	100444	1	1	20030
100451	10045	1	5	5	100451	100455	100453	100452	100454	1	1	20030
100461	10046	1	1	1	100461	100465	100463	100462	100464	1	1	20030
100471	10047	1	2	2	100471	100475	100473	100472	100474	1	1	20030
100481	10048	1	3	3	100481	100485	100483	100482	100484	1	1	20030
100491	10049	1	4	4	100491	100495	100493	100492	100494	1	1	20030
100501	10050	1	5	5	100501	100505	100503	100502	100504	1	1	20030
100511	10051	1	1	1	100511	100515	100513	100512	100514	1	1	20030
100521	10052	1	2	2	100521	100525	100523	100522	100524	1	1	20030
100531	10053	1	3	3	100531	100535	100533	100532	100534	1	1	20030
100541	10054	1	4	4	100541	100545	100543	100542	100544	1	1	20030
100551	10055	1	5	5	100551	100555	100553	100552	100554	1	1	20030
100561	10056	1	1	1	100561	100565	100563	100562	100564	1	1	20030
100571	10057	1	2	2	100571	100575	100573	100572	100574	1	1	20030
100581	10058	1	3	3	100581	100585	100583	100582	100584	1	1	20030
100591	10059	1	4	4	100591	100595	100593	100592	100594	1	1	20030
100601	10060	1	5	5	100601	100605	100603	100602	100604	1	1	20030
100611	10061	1	1	1	100611	100615	100613	100612	100614	1	1	20030
100621	10062	1	2	2	100621	100625	100623	100622	100624	1	1	20030
100631	10063	1	3	3	100631	100635	100633	100632	100634	1	1	20030
100641	10064	1	4	4	100641	100645	100643	100642	100644	1	1	20030
100651	10065	1	5	5	100651	100655	100653	100652	100654	1	1	20030
100661	10066	1	1	1	100661	100665	100663	100662	100664	1	1	20030
100671	10067	1	2	2	100671	100675	100673	100672	100674	1	1	20030
100681	10068	1	3	3	100681	100685	100683	100682	100684	1	1	20030
100691	10069	1	4	4	100691	100695	100693	100692	100694	1	1	20030
100701	10070	1	5	5	100701	100705	100703	100702	100704	1	1	20030
100711	10071	1	1	1	100711	100715	100713	100712	100714	1	1	20030
100721	10072	1	2	2	100721	100725	100723	100722	100724	1	1	20030
100731	10073	1	3	3	100731	100735	100733	100732	100734	1	1	20030
100741	10074	1	4	4	100741	100745	100743	100742	100744	1	1	20030
100751	10075	1	5	5	100751	100755	100753	100752	100754	1	1	20030
100761	10076	1	1	1	100761	100765	100763	100762	100764	1	1	20030
100771	10077	1	2	2	100771	100775	100773	100772	100774	1	1	20030
100781	10078	1	3	3	100781	100785	100783	100782	100784	1	1	20030
100791	10079	1	4	4	100791	100795	100793	100792	100794	1	1	20030
100801	10080	1	5	5	100801	100805	100803	100802	100804	1	1	20030
100811	10081	1	1	1	100811	100815	100813	100812	100814	1	1	20030
100821	10082	1	2	2	100821	100825	100823	100822	100824	1	1	20030
100831	10083	1	3	3	100831	100835	100833	100832	100834	1	1	20030
100841	10084	1	4	4	100841	100845	100843	100842	100844	1	1	20030
100851	10085	1	5	5	100851	100855	100853	100852	100854	1	1	20030
100861	10086	1	1	1	100861	100865	100863	100862	100864	1	1	20030
100871	10087	1	2	2	100871	100875	100873	100872	100874	1	1	20030
100881	10088	1	3	3	100881	100885	100883	100882	100884	1	1	20030
100891	10089	1	4	4	100891	100895	100893	100892	100894	1	1	20030
100901	10090	1	5	5	100901	100905	100903	100902	100904	1	1	20030
100911	10091	1	1	1	100911	100915	100913	100912	100914	1	1	20030
100921	10092	1	2	2	100921	100925	100923	100922	100924	1	1	20030
100931	10093	1	3	3	100931	100935	100933	100932	100934	1	1	20030
100941	10094	1	4	4	100941	100945	100943	100942	100944	1	1	20030
100951	10095	1	5	5	100951	100955	100953	100952	100954	1	1	20030
100961	10096	1	1	1	100961	100965	100963	100962	100964	1	1	20030
100971	10097	1	2	2	100971	100975	100973	100972	100974	1	1	20030
100981	10098	1	3	3	100981	100985	100983	100982	100984	1	1	20030
100991	10099	1	4	4	100991	100995	100993	100992	100994	1	1	20030
101001	10100	1	5	5	101001	101005	101003	101002	101004	1	1	20030
101011	10101	1	1	1	101011	101015	101013	101012	101014	1	1	20030
101021	10102	1	2	2	101021	101025	101023	101022	101024	1	1	20030
101031	10103	1	4	4	101031	101035	101033	101032	101034	1	1	20030
101032	10103	2	5	5	101031	101035	101033	101032	101034	1	1	20030
101033	10103	3	5	5	101031	101035	101033	101032	101034	1	1	20030
101041	10104	1	5	5	101041	101045	101043	101042	101044	1	1	20030
101042	10104	2	1	1	101041	101045	101043	101042	101044	1	1	20030
101043	10104	3	1	1	101041	101045	101043	101042	101044	1	1	20030
101051	10105	1	1	1	101051	101055	101053	101052	101054	1	1	20030
101052	10105	2	2	2	101051	101055	101053	101052	101054	1	1	20030
101053	10105	3	2	2	101051	101055	101053	101052	101054	1	1	20030
101061	10106	1	2	2	101061	101065	101063	101062	101064	1	1	20030
101062	10106	2	3	3	101061	101065	101063	101062	101064	1	1	20030
101063	10106	3	3	3	101061	101065	101063	101062	101064	1	1	20030
101071	10107	1	3	3	101071	101075	101073	101072	101074	1	1	20030
101072	10107	2	4	4	101071	101075	101073	101072	101074	1	1	20030
101073	10107	3	4	4	101071	101075	101073	101072	101074	1	1	20030
101081	10108	1	4	4	101081	101085	101083	101082	101084	1	1	20030
101082	10108	2	5	5	101081	101085	101083	101082	101084	1	1	20030
101083	10108	3	5	5	101081	101085	101083	101082	101084	1	1	20030
101091	10109	1	5	5	101091	101095	101093	101092	101094	1	1	20030
101092	10109	2	1	1	101091	101095	101093	101092	101094	1	1	20030
101093	10109	3	1	1	101091	101095	101093	101092	101094	1	1	20030
101101	10110	1	1	1	101101	101105	101103	101102	101104	1	1	20030
101102	10110	2	2	2	101101	101105	101103	101102	101104	1	1	20030
101103	10110	3	2	2	101101	101105	101103	101102	101104	1	1	20030
101111	10111	1	2	2	101111	101115	101113	101112	101114	1	1	20030
101112	10111	2	3	3	101111	101115	101113	101112	101114	1	1	20030
101113	10111	3	3	3	101111	101115	101113	101112	101114	1	1	20030
101121	10112	1	3	3	101121	101125	101123	101122	101124	1	1	20030
101122	10112	2	4	4	101121	101125	101123	101122	101124	1	1	20030
101123	10112	3	4	4	101121	101125	101123	101122	101124	1	1	20030
101131	10113	1	4	4	101131	101135	101133	101132	101134	1	1	20030
101132	10113	2	5	5	101131	101135	101133	101132	101134	1	1	20030
101133	10113	3	5	5	101131	101135	101133	101132	101134	1	1	20030
101141	10114	1	5	5	101141	101145	101143	101142	101144	1	1	20030
101142	10114	2	1	1	101141	101145	101143	101142	101144	1	1	20030
101143	10114	3	1	1	101141	101145	101143	101142	101144	1	1	20030
101151	10115	1	1	1	101151	101155	101153	101152	101154	1	1	20030
101152	10115	2	2	2	101151	101155	101153	101152	101154	1	1	20030
101153	10115	3	2	2	101151	101155	101153	101152	101154	1	1	20030
101161	10116	1	2	2	101161	101165	101163	101162	101164	1	1	20030
101162	10116	2	3	3	101161	101165	101163	101162	101164	1	1	20030
101163	10116	3	3	3	101161	101165	101163	101162	101164	1	1	20030
101171	10117	1	3	3	101171	101175	101173	101172	101174	1	1	20030
101172	10117	2	4	4	101171	101175	101173	101172	101174	1	1	20030
101173	10117	3	4	4	101171	101175	101173	101172	101174	1	1	20030
101181	10118	1	4	4	101181	101185	101183	101182	101184	1	1	20030
101182	10118	2	5	5	101181	101185	101183	101182	101184	1	1	20030
101183	10118	3	5	5	101181	101185	101183	101182	101184	1	1	20030
101191	10119	1	5	5	101191	101195	101193	101192	101194	1	1	20030
101192	10119	2	1	1	101191	101195	101193	101192	101194	1	1	20030
101193	10119	3	1	1	101191	101195	101193	101192	101194	1	1	20030
101201	10120	1	1	1	101201	101205	101203	101202	101204	1	1	20030
101202	10120	2	2	2	101201	101205	101203	101202	101204	1	1	20030
101203	10120	3	2	2	101201	101205	101203	101202	101204	1	1	20030
101211	10121	1	2	2	101211	101215	101213	101212	101214	1	1	20030
101212	10121	2	3	3	101211	101215	101213	101212	101214	1	1	20030
101213	10121	3	3	3	101211	101215	101213	101212	101214	1	1	20030
101221	10122	1	3	3	101221	101225	101223	101222	101224	1	1	20030
101222	10122	2	4	4	101221	101225	101223	101222	101224	1	1	20030
101223	10122	3	4	4	101221	101225	101223	101222	101224	1	1	20030
101231	10123	1	4	4	101231	101235	101233	101232	101234	1	1	20030
101232	10123	2	5	5	101231	101235	101233	101232	101234	1	1	20030
101233	10123	3	5	5	101231	101235	101233	101232	101234	1	1	20030
101241	10124	1	5	5	101241	101245	101243	101242	101244	1	1	20030
101242	10124	2	1	1	101241	101245	101243	101242	101244	1	1	20030
101243	10124	3	1	1	101241	101245	101243	101242	101244	1	1	20030
101251	10125	1	1	1	101251	101255	101253	101252	101254	1	1	20030
101252	10125	2	2	2	101251	101255	101253	101252	101254	1	1	20030
101253	10125	3	2	2	101251	101255	101253	101252	101254	1	1	20030
101261	10126	1	2	2	101261	101265	101263	101262	101264	1	1	20030
101262	10126	2	3	3	101261	101265	101263	101262	101264	1	1	20030
101263	10126	3	3	3	101261	101265	101263	101262	101264	1	1	20030
101271	10127	1	3	3	101271	101275	101273	101272	101274	1	1	20030
101272	10127	2	4	4	101271	101275	101273	101272	101274	1	1	20030
101273	10127	3	4	4	101271	101275	101273	101272	101274	1	1	20030
101281	10128	1	4	4	101281	101285	101283	101282	101284	1	1	20030
101282	10128	2	5	5	101281	101285	101283	101282	101284	1	1	20030
101283	10128	3	5	5	101281	101285	101283	101282	101284	1	1	20030
101291	10129	1	5	5	101291	101295	101293	101292	101294	1	1	20030
101292	10129	2	1	1	101291	101295	101293	101292	101294	1	1	20030
101293	10129	3	1	1	101291	101295	101293	101292	101294	1	1	20030
101301	10130	1	1	1	101301	101305	101303	101302	101304	1	1	20030
101302	10130	2	2	2	101301	101305	101303	101302	101304	1	1	20030
101303	10130	3	2	2	101301	101305	101303	101302	101304	1	1	20030
101311	10131	1	2	2	101311	101315	101313	101312	101314	1	1	20030
101312	10131	2	3	3	101311	101315	101313	101312	101314	1	1	20030
101313	10131	3	3	3	101311	101315	101313	101312	101314	1	1	20030
101321	10132	1	3	3	101321	101325	101323	101322	101324	1	1	20030
101322	10132	2	4	4	101321	101325	101323	101322	101324	1	1	20030
101323	10132	3	4	4	101321	101325	101323	101322	101324	1	1	20030
