id	type	rank	member_id	bonds_ranker	paid_only	title	title_text_id	banner_resource_id	open_date	end_date
101	13					テスト：ガイドミッション	3049	56100101	2016-01-01 00:00:00	2100-12-31 00:00:00
108	11					テスト：イベントデイリーミッション	3085	56100101	2016-01-01 00:00:00	2100-12-31 00:00:00
701	7					旅キャンはじまり！RECAMPおだわら	3088	62100031	2023-06-20 11:00:00	2023-06-28 23:59:59
702	7					夏だ！ビーチだ！海キャンだ！	3089	62100031	2023-07-01 11:00:00	2023-07-10 21:59:59
703	7					レッツクラフト！At海キャン	3090	62100031	2023-07-13 11:00:00	2023-07-23 21:59:59
2001	2	1				デイリーチャレンジ	3003	62100021	2016-01-01 00:00:00	2100-12-31 00:00:00
4001	4	1				ビギナーチャレンジ（1つ目）	3001	62100011	2016-01-01 00:00:00	2100-12-31 00:00:00
4002	4	1				【テスト】 ビギナーズチャレンジ！	3002	62100011	2016-01-01 00:00:00	2100-12-31 00:00:00
4003	4	2				ビギナーチャレンジ（2つ目）	3015	62100011	2016-01-01 00:00:00	2100-12-31 00:00:00
4004	4	3				ビギナーチャレンジ（3つ目）	3016	62100011	2016-01-01 00:00:00	2100-12-31 00:00:00
6001	6		11			購入チャレンジ1	3004	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
6002	6		12			購入チャレンジ2	3005	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
6003	6		13			購入チャレンジ3	3006	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
6004	6		14			購入チャレンジ4	3007	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
6005	6		35			購入チャレンジ5	3008	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
6011	6		11	1		購入チャレンジ6	3009	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
6012	6		12	1		購入チャレンジ7	3010	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
6013	6		13	1		購入チャレンジ8	3011	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
6014	6		14	1		購入チャレンジ9	3012	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
6015	6		35	1		購入チャレンジ10	3013	62100041	2016-01-01 00:00:00	2100-12-31 00:00:00
9001	9	1				ウィークリーチャレンジ	3014	62100031	2016-01-01 00:00:00	2100-12-31 00:00:00
30236	7					イベント合わせチャレンジ13	3039	62100031	2016-01-01 00:00:00	2017-12-31 00:00:00
50010	13					ガイドミッション チャプター1	3041	56100102	2016-01-01 00:00:00	2100-12-31 00:00:00
50020	13					ガイドミッション チャプター2	3042	56100103	2016-01-01 00:00:00	2100-12-31 00:00:00
50030	13					ガイドミッション チャプター3	3043	56100104	2016-01-01 00:00:00	2100-12-31 00:00:00
50040	13					ガイドミッション チャプター4	3044	56100105	2016-01-01 00:00:00	2100-12-31 00:00:00
50050	13					ガイドミッション チャプター5	3045	56100106	2016-01-01 00:00:00	2100-12-31 00:00:00
50060	13					ガイドミッション チャプター6	3046	56100107	2016-01-01 00:00:00	2100-12-31 00:00:00
50070	13					ガイドミッション チャプター7	3047	56100108	2016-01-01 00:00:00	2100-12-31 00:00:00
50080	13					ガイドミッション チャプター8	3048	56100109	2016-01-01 00:00:00	2100-12-31 00:00:00
51090	13					ガイドミッション チャプター9	3050	56100101	2016-01-01 00:00:00	2100-12-31 00:00:00
51100	13					ガイドミッション チャプター10	3051	56100111	2016-01-01 00:00:00	2100-12-31 00:00:00
52010	13					ガイドミッション チャプター12	3052	56100201	2016-01-01 00:00:00	2100-12-31 00:00:00
52020	13					ガイドミッション チャプター13	3053	56100202	2016-01-01 00:00:00	2100-12-31 00:00:00
52030	13					ガイドミッション チャプター14	3054	56100203	2016-01-01 00:00:00	2100-12-31 00:00:00
52040	13					ガイドミッション チャプター15	3055	56100204	2016-01-01 00:00:00	2100-12-31 00:00:00
52050	13					ガイドミッション チャプター16	3056	56100205	2016-01-01 00:00:00	2100-12-31 00:00:00
52060	13					ガイドミッション チャプター17	3057	56100206	2016-01-01 00:00:00	2100-12-31 00:00:00
52070	13					ガイドミッション チャプター18	3058	56100207	2016-01-01 00:00:00	2100-12-31 00:00:00
52080	13					ガイドミッション チャプター19	3059	56100208	2016-01-01 00:00:00	2100-12-31 00:00:00
52090	13					ガイドミッション チャプター20	3060	56100209	2016-01-01 00:00:00	2100-12-31 00:00:00
52100	13					ガイドミッション チャプター21	3061	56100210	2016-01-01 00:00:00	2100-12-31 00:00:00
52110	13					ガイドミッション チャプター22	3062	56100211	2016-01-01 00:00:00	2100-12-31 00:00:00
53010	13					ガイドミッション チャプター23	3063	56100301	2016-01-01 00:00:00	2100-12-31 00:00:00
53020	13					ガイドミッション チャプター24	3064	56100302	2016-01-01 00:00:00	2100-12-31 00:00:00
53030	13					ガイドミッション チャプター25	3065	56100303	2016-01-01 00:00:00	2100-12-31 00:00:00
53040	13					ガイドミッション チャプター26	3066	56100304	2016-01-01 00:00:00	2100-12-31 00:00:00
53050	13					ガイドミッション チャプター27	3067	56100305	2016-01-01 00:00:00	2100-12-31 00:00:00
53060	13					ガイドミッション チャプター28	3068	56100306	2016-01-01 00:00:00	2100-12-31 00:00:00
53070	13					ガイドミッション チャプター29	3069	56100307	2016-01-01 00:00:00	2100-12-31 00:00:00
53080	13					ガイドミッション チャプター30	3070	56100308	2016-01-01 00:00:00	2100-12-31 00:00:00
53090	13					ガイドミッション チャプター31	3071	56100309	2016-01-01 00:00:00	2100-12-31 00:00:00
