id	chapter_id	open_time	close_time
1	3011	28800	32399
2	3011	43200	46799
3	3011	68400	71999
4	3011	82800	86399
5	3021	28800	32399
6	3021	43200	46799
7	3021	68400	71999
8	3021	82800	86399
9	3012	28800	32399
10	3012	43200	46799
11	3012	68400	71999
12	3012	82800	86399
13	3022	28800	32399
14	3022	43200	46799
15	3022	68400	71999
16	3022	82800	86399
17	3013	28800	32399
18	3013	43200	46799
19	3013	68400	71999
20	3013	82800	86399
21	3023	28800	32399
22	3023	43200	46799
23	3023	68400	71999
24	3023	82800	86399
