id	collection_layout_id	seq_id	coordinate_x	coordinate_y	size
1	1	1	1	1	3
2	1	2	1	5	2
3	1	3	3	5	2
4	1	4	5	1	2
5	1	5	5	3	2
6	1	6	5	5	2
7	2	1	1	1	2
8	2	2	1	3	2
9	2	3	1	5	2
10	2	4	3	1	3
11	2	5	3	5	2
12	2	6	5	5	2
13	3	1	1	1	2
14	3	2	1	3	2
15	3	3	1	5	2
16	3	4	3	1	2
17	3	5	5	1	2
18	3	6	3	3	3
19	4	1	1	1	2
20	4	2	1	3	3
21	4	3	3	1	2
22	4	4	5	1	2
23	4	5	5	3	2
24	4	6	5	5	2
25	5	1	1	1	2
26	5	2	1	3	2
27	5	3	1	5	2
28	5	4	3	1	2
29	5	5	3	3	2
30	5	6	3	5	2
31	5	7	5	1	2
32	5	8	5	3	2
33	5	9	5	5	2
34	6	1	1	1	1
35	6	2	1	2	1
36	6	3	1	3	1
37	6	4	1	4	1
38	6	5	1	5	1
39	6	6	1	6	1
40	6	7	2	1	1
41	6	8	2	2	1
42	6	9	2	3	1
43	6	10	2	4	1
44	6	11	2	5	1
45	6	12	2	6	1
46	6	13	3	1	1
47	6	14	3	2	1
48	6	15	3	3	1
49	6	16	3	4	1
50	6	17	3	5	1
51	6	18	3	6	1
52	6	19	4	1	1
53	6	20	4	2	1
54	6	21	4	3	1
55	6	22	4	4	1
56	6	23	4	5	1
57	6	24	4	6	1
58	6	25	5	1	1
59	6	26	5	2	1
60	6	27	5	3	1
61	6	28	5	4	1
62	6	29	5	5	1
63	6	30	5	6	1
64	6	31	6	1	1
65	6	32	6	2	1
66	6	33	6	3	1
67	6	34	6	4	1
68	6	35	6	5	1
69	6	36	6	6	1
70	7	1	1	1	1
71	7	2	1	2	1
72	7	3	1	3	1
73	7	4	1	4	1
74	7	5	1	5	1
75	7	6	1	6	1
76	7	7	2	1	1
77	7	8	2	2	3
78	7	9	2	6	1
79	7	10	3	1	1
80	7	11	3	6	1
81	7	12	4	1	1
82	7	13	4	6	1
83	7	14	5	1	1
84	7	15	5	6	1
85	7	16	6	1	1
86	7	17	6	2	1
87	7	18	6	3	1
88	7	19	6	4	1
89	7	20	6	5	1
90	7	21	6	6	1
91	8	1	1	1	2
92	8	2	1	3	2
93	8	3	1	5	2
94	8	4	3	1	2
95	8	5	3	3	2
96	8	6	3	5	2
97	8	7	5	1	2
98	8	8	5	3	2
99	8	9	5	5	2
100	9	1	1	1	1
101	9	2	1	2	1
102	9	3	1	3	1
103	9	4	1	4	1
104	9	5	1	5	1
105	9	6	1	6	1
106	9	7	2	1	1
107	9	8	2	2	1
108	9	9	2	3	1
109	9	10	2	4	1
110	9	11	2	5	1
111	9	12	2	6	1
112	9	13	3	1	1
113	9	14	3	2	1
114	9	15	3	3	1
115	9	16	3	4	1
116	9	17	3	5	1
117	9	18	3	6	1
118	9	19	4	1	1
119	9	20	4	2	1
120	9	21	4	3	1
121	9	22	4	4	1
122	9	23	4	5	1
123	9	24	4	6	1
124	9	25	5	1	1
125	9	26	5	2	1
126	9	27	5	3	1
127	9	28	5	4	1
128	9	29	5	5	1
129	9	30	5	6	1
130	9	31	6	1	1
131	9	32	6	2	1
132	9	33	6	3	1
133	9	34	6	4	1
134	9	35	6	5	1
135	9	36	6	6	1
136	10	1	1	1	1
137	10	2	1	2	1
138	10	3	1	3	1
139	10	4	1	4	1
140	10	5	1	5	1
141	10	6	1	6	1
142	10	7	2	1	1
143	10	8	2	2	3
144	10	9	2	6	1
145	10	10	3	1	1
146	10	11	3	6	1
147	10	12	4	1	1
148	10	13	4	6	1
149	10	14	5	1	1
150	10	15	5	6	1
151	10	16	6	1	1
152	10	17	6	2	1
153	10	18	6	3	1
154	10	19	6	4	1
155	10	20	6	5	1
156	10	21	6	6	1
