season_id	type	step	bonds_score	standard_reward_id	premium_reward_id	ep_bonus_rate	normal_ep_bonus_rate
1	1	1	223	70000101	71000101		
1	1	2	446	70000102	71000102		
1	1	3	669	70000103	71000103		
1	1	4	892	70000104	71000104		
1	1	5	1115	70000105	71000105		
1	1	6	1338	70000106	71000106		
1	1	7	1561	70000107	71000107		
1	1	8	1784	70000108	71000108		
1	1	9	2007	70000109	71000109		
1	1	10	2230	70000110	71000110		
1	1	11	2453	70000111	71000111		
1	1	12	2676	70000112	71000112		
1	1	13	2899	70000113	71000113		
1	1	14	3122	70000114	71000114		
1	1	15	3345	70000115	71000115		
1	1	16	3568	70000116	71000116		
1	1	17	3791	70000117	71000117		
1	1	18	4014	70000118	71000118		
1	1	19	4237	70000119	71000119		
1	1	20	4460	70000120	71000120		
1	2	1	4683	70000121	71000121		
1	2	2	4906	70000122	71000122		
1	2	3	5129	70000123	71000123		
1	2	4	5352	70000124	71000124		
1	2	5	5575	70000125	71000125		
1	2	6	5798	70000126	71000126		
1	2	7	6021	70000127	71000127		
1	2	8	6244	70000128	71000128		
1	2	9	6467	70000129	71000129		
1	2	10	6690	70000130	71000130		
1	2	11	6913	70000131	71000131		
1	2	12	7136	70000132	71000132		
1	2	13	7359	70000133	71000133		
1	2	14	7582	70000134	71000134		
1	2	15	7805	70000135	71000135		
1	2	16	8028	70000136	71000136		
1	2	17	8251	70000137	71000137		
1	2	18	8474	70000138	71000138		
1	2	19	8697	70000139	71000139		
1	2	20	8920	70000140	71000140		
2	1	1	223	70000101	71000101		
2	1	2	446	70000102	71000102		
2	1	3	669	70000103	71000103		
2	1	4	892	70000104	71000104		
2	1	5	1115	70000105	71000105		
2	1	6	1338	70000106	71000106		
2	1	7	1561	70000107	71000107		
2	1	8	1784	70000108	71000108		
2	1	9	2007	70000109	71000109		
2	1	10	2230	70000110	71000110		
2	1	11	2453	70000111	71000111		
2	1	12	2676	70000112	71000112		
2	1	13	2899	70000113	71000113		
2	1	14	3122	70000114	71000114		
2	1	15	3345	70000115	71000115		
2	1	16	3568	70000116	71000116		
2	1	17	3791	70000117	71000117		
2	1	18	4014	70000118	71000118		
2	1	19	4237	70000119	71000119		
2	1	20	4460	70000120	71000120		
2	2	1	4683	70000121	71000121		
2	2	2	4906	70000122	71000122		
2	2	3	5129	70000123	71000123		
2	2	4	5352	70000124	71000124		
2	2	5	5575	70000125	71000125		
2	2	6	5798	70000126	71000126		
2	2	7	6021	70000127	71000127		
2	2	8	6244	70000128	71000128		
2	2	9	6467	70000129	71000129		
2	2	10	6690	70000130	71000130		
2	2	11	6913	70000131	71000131		
2	2	12	7136	70000132	71000132		
2	2	13	7359	70000133	71000133		
2	2	14	7582	70000134	71000134		
2	2	15	7805	70000135	71000135		
2	2	16	8028	70000136	71000136		
2	2	17	8251	70000137	71000137		
2	2	18	8474	70000138	71000138		
2	2	19	8697	70000139	71000139		
2	2	20	8920	70000140	71000140		
3	1	1	1363	70000201	71000201		
3	1	2	2725	70000202	71000202		
3	1	3	4088	70000203	71000203		
3	1	4	5450	70000204	71000204		
3	1	5	6813	70000205	71000205		
3	1	6	8175	70000206	71000206		
3	1	7	9538	70000207	71000207		
3	1	8	10900	70000208	71000208		
3	1	9	12263	70000209	71000209		
3	1	10	13625	70000210	71000210		
3	1	11	14988	70000211	71000211		
3	1	12	16350	70000212	71000212		
3	1	13	17713	70000213	71000213		
3	1	14	19075	70000214	71000214		
3	1	15	20438	70000215	71000215		
3	1	16	21800	70000216	71000216		
3	1	17	23163	70000217	71000217		
3	1	18	24525	70000218	71000218		
3	1	19	25888	70000219	71000219		
3	1	20	27250	70000220	71000220		
3	2	1	28613	70000221	71000221		
3	2	2	29975	70000222	71000222		
3	2	3	31338	70000223	71000223		
3	2	4	32700	70000224	71000224		
3	2	5	34063	70000225	71000225		
3	2	6	35425	70000226	71000226		
3	2	7	36788	70000227	71000227		
3	2	8	38150	70000228	71000228		
3	2	9	39513	70000229	71000229		
3	2	10	40875	70000230	71000230		
3	2	11	42238	70000231	71000231		
3	2	12	43600	70000232	71000232		
3	2	13	44963	70000233	71000233		
