id	type	member_id	title	title_text_id	media_id
1	1	1	一花 告白		70591001
1	1	2	二乃 告白		70591001
1	1	3	三玖 告白		70591001
1	1	4	四葉 告白		70591001
1	1	5	五月 告白		70591001
1	2	1	一花 選択		70592001
1	2	2	二乃 選択		70592001
1	2	3	三玖 選択		70592001
1	2	4	四葉 選択		70592001
1	2	5	五月 選択		70592001
1	3	1	一花 成立（通常）		70593011
1	3	2	二乃 成立（通常）		70593012
1	3	3	三玖 成立（通常）		70593013
1	3	4	四葉 成立（通常）		70593014
1	3	5	五月 成立（通常）		70593015
1	4	1	一花 成立（花嫁）		70594011
1	4	2	二乃 成立（花嫁）		70594012
1	4	3	三玖 成立（花嫁）		70594013
1	4	4	四葉 成立（花嫁）		70594014
1	4	5	五月 成立（花嫁）		70594015
2	1	1	一花 告白		70591002
2	1	2	二乃 告白		70591002
2	1	3	三玖 告白		70591002
2	1	4	四葉 告白		70591002
2	1	5	五月 告白		70591002
2	2	1	一花 選択		70592002
2	2	2	二乃 選択		70592002
2	2	3	三玖 選択		70592002
2	2	4	四葉 選択		70592002
2	2	5	五月 選択		70592002
2	3	1	一花 成立（通常）		70593011
2	3	2	二乃 成立（通常）		70593012
2	3	3	三玖 成立（通常）		70593013
2	3	4	四葉 成立（通常）		70593014
2	3	5	五月 成立（通常）		70593015
2	4	1	一花 成立（花嫁）		70594011
2	4	2	二乃 成立（花嫁）		70594012
2	4	3	三玖 成立（花嫁）		70594013
2	4	4	四葉 成立（花嫁）		70594014
2	4	5	五月 成立（花嫁）		70594015
3	1	1	一花 告白		70591003
3	1	2	二乃 告白		70591003
3	1	3	三玖 告白		70591003
3	1	4	四葉 告白		70591003
3	1	5	五月 告白		70591003
3	2	1	一花 選択		70592003
3	2	2	二乃 選択		70592003
3	2	3	三玖 選択		70592003
3	2	4	四葉 選択		70592003
3	2	5	五月 選択		70592003
3	3	1	一花 成立（通常）		70593011
3	3	2	二乃 成立（通常）		70593012
3	3	3	三玖 成立（通常）		70593013
3	3	4	四葉 成立（通常）		70593014
3	3	5	五月 成立（通常）		70593015
3	4	1	一花 成立（花嫁）		70594011
3	4	2	二乃 成立（花嫁）		70594012
3	4	3	三玖 成立（花嫁）		70594013
3	4	4	四葉 成立（花嫁）		70594014
3	4	5	五月 成立（花嫁）		70594015
4	1	1	一花 告白		70591004
4	1	2	二乃 告白		70591004
4	1	3	三玖 告白		70591004
4	1	4	四葉 告白		70591004
4	1	5	五月 告白		70591004
4	2	1	一花 選択		70592004
4	2	2	二乃 選択		70592004
4	2	3	三玖 選択		70592004
4	2	4	四葉 選択		70592004
4	2	5	五月 選択		70592004
4	3	1	一花 成立（通常）		70593011
4	3	2	二乃 成立（通常）		70593012
4	3	3	三玖 成立（通常）		70593013
4	3	4	四葉 成立（通常）		70593014
4	3	5	五月 成立（通常）		70593015
4	4	1	一花 成立（花嫁）		70594011
4	4	2	二乃 成立（花嫁）		70594012
4	4	3	三玖 成立（花嫁）		70594013
4	4	4	四葉 成立（花嫁）		70594014
4	4	5	五月 成立（花嫁）		70594015
5	1	1	一花 告白		70591005
5	1	2	二乃 告白		70591005
5	1	3	三玖 告白		70591005
5	1	4	四葉 告白		70591005
5	1	5	五月 告白		70591005
5	2	1	一花 選択		70592005
5	2	2	二乃 選択		70592005
5	2	3	三玖 選択		70592005
5	2	4	四葉 選択		70592005
5	2	5	五月 選択		70592005
5	3	1	一花 成立（通常）		70593011
5	3	2	二乃 成立（通常）		70593012
5	3	3	三玖 成立（通常）		70593013
5	3	4	四葉 成立（通常）		70593014
5	3	5	五月 成立（通常）		70593015
5	4	1	一花 成立（花嫁）		70594011
5	4	2	二乃 成立（花嫁）		70594012
5	4	3	三玖 成立（花嫁）		70594013
5	4	4	四葉 成立（花嫁）		70594014
5	4	5	五月 成立（花嫁）		70594015
