id	key	value	type	priority	open_date	close_date	open_time	close_time
10001	comeback_puzzlegacha_x	10010103	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10002	comeback_puzzlegacha_n	2	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10003	comeback_puzzlegacha_m	12	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10004	review_term_n	101120	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10005	review_term_m	5	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10006	review_term_x	5	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10007	appointment_shortcut_m	30	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10008	appointment_shortcut_n	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10009	appointment_complete_n	90	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10010	yell_send_n	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10011	yell_send_reward	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10012	yell_receive_reward	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10013	puzzle_ball_remove_score_n	200	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10014	bonus_socre_m	3	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10015	bonus_score_n	5	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10016	unit_auto_a	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10017	unit_auto_b	3	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10018	unit_auto_c	300	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10019	card_enhancement_leaf_n	1	3	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10020	card_enhancement_leaf_m	2	3	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10021	card_enhancement_leaf_b	0	2	2	2016-11-16 00:00:00	2100-12-31 00:00:00		
10022	card_enhancement_exp_n	50	3	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10023	card_enhancement_exp_m	0.3	3	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10024	card_enhancement_exp_x	100	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10025	card_enhancement_exp_b	0	2	2	2016-11-16 00:00:00	2100-12-31 00:00:00		
10026	card_enhancement_activeskill_exp_a	100	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10027	card_enhancement_activeskill_exp_b	50	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10028	card_sell_n	50	3	2	2016-11-16 00:00:00	2100-12-31 00:00:00		
10029	card_sell_m	1.5	3	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10030	clap_send_reward	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10031	clap_receive_n	7	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10032	gacha_report_reward	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10033	shop_recover_ap_coin	20	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10034	shop_recover_ap_cnt	5	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10035	news_url	http://www.enish.jp/	4	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10036	official_url	https://yurucamp-game.enish.com/	4	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10037	card_enhancement_leaf_b	100	2	1	2017-09-21 00:00:00	2017-09-22 00:00:00		
10038	card_enhancement_exp_b	100	2	1	2017-09-21 00:00:00	2017-09-22 00:00:00		
10039	puzzle_continue_coin	5	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10040	yell_receive_n	7	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10041	comment_share_reward	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10042	user_recovery_sec_ap	600	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10043	user_max_ap	100	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10044	user_max_card	9999	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10045	talk_a	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10046	talk_b	3	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10047	talk_c	7	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10048	talk_z	10010104	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10049	birthday_reward	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10050	birthday_adventure_senario	5	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10051	block_limit	100	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10053	reparation_receive_ttl_time	5	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10054	greeting_friend_point	5	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10055	greeting_receive_friend_point	25	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10056	twitter_url	https://twitter.com/yurucamp_game	4	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10057	puzzle_continue_count	5	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10058	puzzle_continue_time	15	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10059	card_enhancement_leaf_f	2	3	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10070	card_sell_limit	50	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10100	home_todayward_display_sec	6	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10101	home_todayward_leaving_sec	14	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10102	home_level_tree_00	1	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10103	home_level_tree_01	10	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10104	home_level_tree_02	20	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10105	home_level_tree_03	35	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10106	home_level_tree_04	50	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10107	feed_present_num	99	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10108	appointment_a	2.933118	3	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10109	appointment_b	-2.716352	3	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10110	appointment_n	-0.01	3	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10111	shop_fragment_update_coin	10	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10112	home_banner_move_time	4	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10113	home_over_ap_disp_max	999	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10114	buyback_fragment_times	4	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10115	stage_select_route_interval	35	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10116	stage_percent_rank_s	100	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10117	stage_percent_rank_a	90	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10118	stage_percent_rank_b	80	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10119	stage_percent_rank_c	65	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10120	stage_percent_rank_d	50	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10121	ranking_shown_in_rank	50000	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10122	guest_list_cache_seconds	300	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10123	unspecified_quest_id_type_1	11	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10124	unspecified_quest_id_type_2	12	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10125	unspecified_quest_id_type_3	13	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10126	unspecified_quest_id_type_4	17	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10127	home_todayward_suffix_firstname	さん	4	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10128	home_todayward_suffix_lastname	さん	4	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10129	home_banner_disp_max	5	2	10	2016-11-16 00:00:00	2017-12-27 01:00:00		
10130	home_banner_disp_max	13	2	1	2017-12-27 01:00:00	2100-12-31 00:00:00		
10131	unspecified_quest_id_type_5	17	2	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
10150	encore_keyaki_short	SE0032	4	1	2016-11-16 00:00:00	2100-12-31 00:00:00		
