id	group_id	type	value	weight
10001	100	1		100
11001	110	1	2	20
11002	110	2	2	20
11003	110	3	2	20
11004	110	4	2	20
11005	110	5	2	20
11101	111	1	4	20
11102	111	2	4	20
11103	111	3	4	20
11104	111	4	4	20
11105	111	5	4	20
11201	112	1	6	20
11202	112	2	6	20
11203	112	3	6	20
11204	112	4	6	20
11205	112	5	6	20
11301	113	1	8	20
11302	113	2	8	20
11303	113	3	8	20
11304	113	4	8	20
11305	113	5	8	20
11401	114	1	10	20
11402	114	2	10	20
11403	114	3	10	20
11404	114	4	10	20
11405	114	5	10	20
12001	120	1	6	20
12002	120	2	6	20
12003	120	3	6	20
12004	120	4	6	20
12005	120	5	6	20
12101	121	1	8	20
12102	121	2	8	20
12103	121	3	8	20
12104	121	4	8	20
12105	121	5	8	20
12201	122	1	10	20
12202	122	2	10	20
12203	122	3	10	20
12204	122	4	10	20
12205	122	5	10	20
12301	123	1	12	20
12302	123	2	12	20
12303	123	3	12	20
12304	123	4	12	20
12305	123	5	12	20
12401	124	1	14	20
12402	124	2	14	20
12403	124	3	14	20
12404	124	4	14	20
12405	124	5	14	20
13001	130	1	8	20
13002	130	2	8	20
13003	130	3	8	20
13004	130	4	8	20
13005	130	5	8	20
13101	131	1	10	20
13102	131	2	10	20
13103	131	3	10	20
13104	131	4	10	20
13105	131	5	10	20
13201	132	1	12	20
13202	132	2	12	20
13203	132	3	12	20
13204	132	4	12	20
13205	132	5	12	20
13301	133	1	14	20
13302	133	2	14	20
13303	133	3	14	20
13304	133	4	14	20
13305	133	5	14	20
13401	134	1	16	20
13402	134	2	16	20
13403	134	3	16	20
13404	134	4	16	20
13405	134	5	16	20
14001	140	1	12	20
14002	140	2	12	20
14003	140	3	12	20
14004	140	4	12	20
14005	140	5	12	20
14101	141	1	14	20
14102	141	2	14	20
14103	141	3	14	20
14104	141	4	14	20
14105	141	5	14	20
14201	142	1	16	20
14202	142	2	16	20
14203	142	3	16	20
14204	142	4	16	20
14205	142	5	16	20
14301	143	1	18	20
14302	143	2	18	20
14303	143	3	18	20
14304	143	4	18	20
14305	143	5	18	20
14401	144	1	20	20
14402	144	2	20	20
14403	144	3	20	20
14404	144	4	20	20
14405	144	5	20	20
15001	150	1	14	20
15002	150	2	14	20
15003	150	3	14	20
15004	150	4	14	20
15005	150	5	14	20
15101	151	1	16	20
15102	151	2	16	20
15103	151	3	16	20
15104	151	4	16	20
15105	151	5	16	20
15201	152	1	18	20
15202	152	2	18	20
15203	152	3	18	20
15204	152	4	18	20
15205	152	5	18	20
15301	153	1	20	20
15302	153	2	20	20
15303	153	3	20	20
15304	153	4	20	20
15305	153	5	20	20
15401	154	1	22	20
15402	154	2	22	20
15403	154	3	22	20
15404	154	4	22	20
15405	154	5	22	20
