id	encore_id	feature_id	rank	rating	upper	lower	duration	exp	boost_item_effect	weight	ep_coefficient	information	character_id	clothes_id	model_id	advantage1	advantage2	advantage3	advantage4	advantage5	rank_score_s	rank_score_a	rank_score_b	rank_score_c	rank_score_d
701001	70101	701	1		1	3		10	10	80	10.0	0	31	1	1						250	200	150	100	50
701002	70102	701	2	10	1	3		10	10	15	12.0	0	31	1	1						250	200	150	100	50
701003	70103	701	3	24	1	3		10	10	5	15.0	0	31	1	1						250	200	150	100	50
701004	70101	701	4	41	4	6		10	10	80	11.0	0	31	1	1						250	200	150	100	50
701005	70102	701	5	61	4	6		10	10	15	13.0	0	31	1	1						250	200	150	100	50
701006	70103	701	6	83	4	6		10	10	5	16.0	0	31	1	1						250	200	150	100	50
701007	70101	701	7	108	7	9		10	10	80	12.0	0	31	1	1						250	200	150	100	50
701008	70102	701	8	134	7	9		10	10	15	15.0	0	31	1	1						250	200	150	100	50
701009	70103	701	9	163	7	9		10	10	5	18.0	0	31	1	1						250	200	150	100	50
701010	70101	701	10	194	10	12		10	10	79	13.0	0	31	1	1						250	200	150	100	50
701011	70102	701	11	227	10	12		10	10	16	16.0	0	31	1	1						250	200	150	100	50
701012	70103	701	12	262	10	12		10	10	5	20.0	0	31	1	1						250	200	150	100	50
701013	70101	701	13	298	13	15		10	10	78	15.0	0	31	1	1						250	200	150	100	50
701014	70102	701	14	336	13	15		10	10	16	18.0	0	31	1	1						250	200	150	100	50
701015	70103	701	15	376	13	15		10	10	6	22.0	0	31	1	1						250	200	150	100	50
701016	70101	701	16	417	16	18		10	10	77	16.0	0	31	1	1						250	200	150	100	50
701017	70102	701	17	460	16	18		10	10	17	19.0	0	31	1	1						250	200	150	100	50
701018	70103	701	18	505	16	18		10	10	7	24.0	0	31	1	1						250	200	150	100	50
701019	70101	701	19	551	19	21		10	10	74	17.0	0	31	1	1						250	200	150	100	50
701020	70102	701	20	599	19	21		10	10	18	21.0	0	31	1	1						250	200	150	100	50
701021	70103	701	21	648	19	21		10	10	7	26.0	0	31	1	1						250	200	150	100	50
701022	70101	701	22	698	22	24		10	10	72	18.0	0	31	1	1						250	200	150	100	50
701023	70102	701	23	750	22	24		10	10	20	22.0	0	31	1	1						250	200	150	100	50
701024	70103	701	24	803	22	24		10	10	9	28.0	0	31	1	1						250	200	150	100	50
701025	70101	701	25	858	25	27		10	10	68	20.0	0	31	1	1						250	200	150	100	50
701026	70102	701	26	913	25	27		10	10	22	24.0	0	31	1	1						250	200	150	100	50
701027	70103	701	27	971	25	27		10	10	10	30.0	0	31	1	1						250	200	150	100	50
701028	70101	701	28	1029	28	30		10	10	64	21.0	0	31	1	1						250	200	150	100	50
