id	feature_id	rating	average_weight	good_weight	excellent_weight	average_val	good_val	excellent_val
101	1		34	20	14	1	3	5
102	1	15	34	20	14	1	3	5
103	1	30	34	20	14	1	3	5
104	1	45	34	20	14	1	3	5
70101	701		34	20	14	1	3	5
70102	701	15	34	20	14	1	3	5
70103	701	30	34	20	14	1	3	5
70104	701	45	34	20	14	1	3	5
90001	900		34	20	14	1	3	5
90002	900	15	34	20	14	1	3	5
90003	900	30	34	20	14	1	3	5
90004	900	45	34	20	14	1	3	5
90101	901		34	20	14	1	3	5
90102	901	15	34	20	14	1	3	5
90103	901	30	34	20	14	1	3	5
90104	901	45	34	20	14	1	3	5
