id	group	feature_id	gear_id	value	lb1	lb2	lb3	lb4	open_date	close_date
70300001	7031	703	85091710	850	900	950	1000	1050	2023-07-13 11:00:00	2023-07-25 23:59:59
70300002	7031	703	87020090	850					2023-07-13 11:00:00	2023-07-25 23:59:59
70300003	7031	703	85020310	750	800	850	900	950	2023-07-13 11:00:00	2023-07-25 23:59:59
70300004	7031	703	85020311	750	800	850	900	950	2023-07-13 11:00:00	2023-07-25 23:59:59
70300005	7031	703	85080140	600	650	700	750	800	2023-07-13 11:00:00	2023-07-25 23:59:59
70300006	7031	703	85091720	500	550	600	650	700	2023-07-13 11:00:00	2023-07-25 23:59:59
70300007	7031	703	85091721	500	550	600	650	700	2023-07-13 11:00:00	2023-07-25 23:59:59
70300008	7031	703	87090050	500					2023-07-13 11:00:00	2023-07-25 23:59:59
70300009	7031	703	87090051	500					2023-07-13 11:00:00	2023-07-25 23:59:59
70300010	7031	703	85090240	140	150	160	180	200	2023-07-13 11:00:00	2023-07-25 23:59:59
70300011	7031	703	85020060	140	150	160	180	200	2023-07-13 11:00:00	2023-07-25 23:59:59
70300012	7031	703	85091380	120	130	140	150	160	2023-07-13 11:00:00	2023-07-25 23:59:59
70300013	7031	703	85090340	120	130	140	150	160	2023-07-13 11:00:00	2023-07-25 23:59:59
70300014	7031	703	85020200	120	130	140	150	160	2023-07-13 11:00:00	2023-07-25 23:59:59
70300015	7031	703	85030130	120	130	140	150	160	2023-07-13 11:00:00	2023-07-25 23:59:59
70300016	7031	703	85010050	100	110	120	130	140	2023-07-13 11:00:00	2023-07-25 23:59:59
70300017	7031	703	85030120	100	110	120	130	140	2023-07-13 11:00:00	2023-07-25 23:59:59
