feature_id	seq	title_text_id	description_text_id	resource_id	priority
701	1	7016	7017	58107011	
701	2	7016	7018	58107012	
701	3	7016	7019	58107013	
702	1	70206	70207	58107021	
702	2	70206	70208	58107022	
702	3	70206	70209	58107023	
702	4	70206	70210	58107024	
703	1	70306	70307	58107031	
703	2	70306	70308	58107032	
703	3	70306	70309	58107033	
703	4	70306	70310	58107034	
703	5	70306	70311	58107035	
704	1	70406	70407	58107041	
704	2	70406	70408	58107042	
704	3	70406	70409	58107045	
704	4	70406	70410	58107043	
704	5	70406	70411	58107044	
