id	round	league	group	type	name_text_id	reward_id
100001				1	70650	100001
111100	1	1		2	70651	111100
111101	1	1		3	70652	111101
111102	1	1		4	70653	111102
111103	1	1		5	70654	111103
111104	1	1		6	70655	111104
111105	1	1		7	70656	111105
112100	1	2		2	70651	112100
112101	1	2		3	70652	112101
112102	1	2		4	70653	112102
112103	1	2		5	70654	112103
112104	1	2		6	70655	112104
112105	1	2		7	70656	112105
112200	2	2	1	2	70651	112200
112201	2	2	1	3	70652	112201
112202	2	2	1	4	70653	112202
112203	2	2	1	5	70654	112203
112204	2	2	1	6	70655	112204
112205	2	2	1	7	70656	112205
121100	2	1	1	2	70651	121100
121101	2	1	1	3	70652	121101
121102	2	1	1	4	70653	121102
121103	2	1	1	5	70654	121103
121104	2	1	1	6	70655	121104
121105	2	1	1	7	70656	121105
121200	2	1	2	2	70651	121200
121201	2	1	2	3	70652	121201
121202	2	1	2	4	70653	121202
121203	2	1	2	5	70654	121203
121204	2	1	2	6	70655	121204
121205	2	1	2	7	70656	121205
122200	2	2	2	2	70651	122200
122201	2	2	2	3	70652	122201
122202	2	2	2	4	70653	122202
122203	2	2	2	5	70654	122203
122204	2	2	2	6	70655	122204
122205	2	2	2	7	70656	122205
