feature_id	seq	gear_id	parent_seq	parent_relation	x	y	z	rotate
701	2	85010460	-1		0.736249	0.001	-5.84922	50.1529
701	3	85085030	-1		-0.705223	0.001	-3.52991	92.4205
701	4	85091390	-1		1.52656	0.001	-1.01993	-30.7059
701	5	85091670	-1		-2.6469	0.001	2.37137	33.7765
701	6	85020170	-1		-1.94884	0.001	1.0455	60.3882
701	7	85020171	-1		1.31774	0.001	-5.54704	18.4235
701	8	85020172	-1		-0.557642	0.001	0.850394	-53.2236
701	9	85020173	-1		-0.401535	0.001	2.02111	-111.56
701	10	85020174	-1		2.11975	0.001	-4.95226	-77.7882
701	11	85030130	-1		-1.19624	0.001	1.7482	54.2471
701	12	85090120	-1		1.11747	0.001	-1.16589	11.2588
701	13	85090950	-1		-1.52617	0.001	2.27078	-34.8
701	14	85091028	-1		-1.31417	0.001	0.960115	35.8235
701	15	85091090	-1		1.76777	0.001	-0.530992	107.471
701	16	87020080	11	1	-1.19142	0.361	1.53337	47.6214
701	17	87100060	11	1	-1.1961	0.361	1.99623	54.3605
701	18	87100070	11	1	-0.976673	0.361	1.67062	54.3605
701	19	87100080	11	1	-1.40781	0.361	1.81405	54.3605
702	1	85010223	-1		3.676	0.001	-3.697	146.591
702	2	85091720	-1		0.529	0.001	1.289	-94.55
702	3	85091710	-1		0.624	0.001	2.965	45.682
702	4	85091721	-1		0.416	0.001	1.552	-94.55
702	5	85091721	-1		0.248	0.001	1.368	-70.227
702	6	85091730	-1		3.518	0.001	0.092	-94.479
702	7	85091730	-1		5.393	0.001	-1.458	-98.374
702	8	85091730	-1		0.576	0.001	8.484	-98.374
702	9	85020310	-1		2.004	0.001	1.362	-123.409
702	10	85020310	-1		4.047	0.001	1.243	40.227
702	11	85020310	-1		4.549	0.001	0.704	38.864
702	12	85080140	-1		3.464	0.001	3.413	-120.682
702	13	85020090	-1		1.82	0.001	-1.249	-36.136
702	14	85030030	-1		0.79	0.001	1.835	-78.409
702	15	85030133	-1		1.274	0.001	-0.58	-34.773
702	16	85030030	-1		5.141	0.001	0.177	-53.864
702	17	85085010	-1		2.722	0.001	3.822	-29.318
702	18	87010060	15	1	1.188	0.361	-0.733	-59.835
702	19	87030020	15	1	1.114	0.361	-0.514	-51.565
702	20	85090732	12	4	5.936	0.56	2.916	-172.507
702	21	85091741	16	1	4.991	0.287	0.164	-29.801
702	22	87020090	15	1	1.345	0.361	-0.469	-42.955
702	23	87090050	16	1	5.136	0.287	0.122	-59.162
702	24	87090051	16	1	5.118	0.287	0.301	-59.554
702	25	87100120	14	1	0.79	0.287	1.882	-85.42
703	1	85020311	-1		0.2849	0.001	0.52305	-156.305
703	2	85020310	-1		-1.18163	0.001	-1.24434	82.305
703	3	87090050	5	1	0.32219	0.417	-2.12166	138.734
703	4	85090220	-1		-1.177		2.153	10.0
703	5	85090780	-1		0.16594	0.001	-2.15434	157.815
703	6	85030130	-1		1.08263	0.001	-1.37504	134.123
703	7	85090980	-1		1.33561	0.001	-0.64477	137.726
703	8	85090990	-1		0.0165	0.001	-2.23766	138.033
703	9	85091010	5	1	0.57068	0.084	-1.99613	141.118
703	10	85091020	-1		-0.24694	0.001	-2.37754	138.108
703	11	85091710	-1		0.91334	0.001	0.20893	138.1
703	12	85091720	5	1	0.00405	0.513	-2.22274	132.881
703	13	85091721	5	1	-0.229	0.513	-2.32282	141.134
703	14	87020090	6	1	1.2311	0.361	-1.33065	138.114
703	15	87090051	5	1	0.59835	0.417	-2.03163	138.898
703	16	85040070	6	1	0.87036	0.361	-1.4521	128.524
703	17	85040050	6	1	1.11086	0.361	-1.62035	-53.612
