feature_id	member_id	costume_id	gear_id	position_x	position_y	position_z	rotation_y	motion_id
701	1	24001						
701	2	24002						
701	3	24103						
701	4	24104						
701	5	24105						
702	1	34001						
702	2	34002						
702	3	34003						
702	4	34004						
702	5	34105						
703	2	7002	-1	0.46412	0.001	-0.50796	127.88	pose001_2l
703	4	7004	-1	0.2884	0.001	-1.2103	127.88	rank5_2l
703	5	7005	-1	-0.22864	0.001	-1.55416	127.88	rank2_2l
704	1	35001						
704	2	35002						
704	3	35003						
704	4	35004						
704	5	35005						
705	1	7004	-1	0.325	0.001	-1.684	140.764	rank3_2l
705	3	7003	-1	0.536	0.001	-1.004	140.764	rank5_2l
705	4	7001	-1	-0.331	0.001	-1.833	140.764	rank2_2l
