gacha_id	box_id	seq_id	lineup_id	number	rankup	pickup	resource_id	gacha_text_id
104	1	1	300111	1	1			2001
104	1	2	300111	1	1	1		2001
104	1	3	300104	38			21000000	4002
104	1	4	300103	60			21000000	4003
104	2	1	300111	1	1			2001
104	2	2	300114	1	1	1		2001
104	2	3	300104	38			21000000	4002
104	2	4	300103	60			21000000	4003
104	3	1	300111	1	1			2001
104	3	2	300116	1	1			2001
104	3	3	300104	38			21000000	4002
104	3	4	300103	60			21000000	4003
104	4	1	300117	1	1			2001
104	4	2	300118	1	1	1		2001
104	4	3	300119	1	1	1		2001
104	4	4	300104	38			21000000	4002
104	4	5	300103	60			21000000	4003
