gacha_id	card_id	priority	resource_idx	model_display_flag	voices
1	10156	5	1	1	1,2
1	10157	4	1	1	1,2
1	10158	3	1	1	1,2
1	10159	2	1	1	1,2
1	10160	1	1	1	1,2
101	10073	4	1	1	1
101	10074	3	1	1	1
101	10075	2	1	1	1
101	10076	1	1	1	1
102	10073	4	1	1	1
102	10074	3	1	1	1
102	10075	2	1	1	1
102	10076	1	1	1	1
103	10073	4	1	1	1
103	10074	3	1	1	1
103	10075	2	1	1	1
103	10076	1	1	1	1
104	10073	4	1	1	1
104	10074	3	1	1	1
104	10075	2	1	1	1
104	10076	1	1	1	1
105	10156	5	1	1	1
105	10157	4	1	1	1
105	10158	3	1	1	1
105	10159	2	1	1	1
105	10160	1	1	1	1
106	10073	4	1	1	1
106	10074	3	1	1	1
106	10075	2	1	1	1
106	10076	1	1	1	1
107	10073	4	1	1	1
107	10074	3	1	1	1
107	10075	2	1	1	1
107	10076	1	1	1	1
108	10073	4	1	1	1
108	10074	3	1	1	1
108	10075	2	1	1	1
108	10076	1	1	1	1
109	10156	5	1	1	1
109	10157	4	1	1	1
109	10158	3	1	1	1
109	10159	2	1	1	1
109	10160	1	1	1	1
110	10073	4	1	1	1
110	10074	3	1	1	1
110	10075	2	1	1	1
110	10076	1	1	1	1
111	10156	5	1	1	1
111	10157	4	1	1	1
111	10158	3	1	1	1
111	10159	2	1	1	1
111	10160	1	1	1	1
112	10156	5	1	1	1
112	10157	4	1	1	1
112	10158	3	1	1	1
112	10159	2	1	1	1
112	10160	1	1	1	1
113	10156	5	1	1	1
113	10157	4	1	1	1
113	10158	3	1	1	1
113	10159	2	1	1	1
113	10160	1	1	1	1
114	10156	5	1	1	1
114	10157	4	1	1	1
114	10158	3	1	1	1
114	10159	2	1	1	1
114	10160	1	1	1	1
115	10146	5	1	1	1
115	10147	4	1	1	1
115	10148	3	1	1	1
115	10149	2	1	1	1
115	10150	1	1	1	1
116	20116	5	1	1	1
116	20117	4	1	1	1
116	20118	3	1	1	1
116	20119	2	1	1	1
116	20120	1	1	1	1
117	10146	5	1	1	1
117	10147	4	1	1	1
117	10148	3	1	1	1
117	10149	2	1	1	1
117	10150	1	1	1	1
118	10146	5	1	1	1
118	10147	4	1	1	1
118	10148	3	1	1	1
118	10149	2	1	1	1
118	10150	1	1	1	1
901	10073	4	1	1	1
902	10073	4	1	1	1
903	10073	4	1	1	1
8001	10101	5	1	1	1
8001	10102	4	1	1	1
8001	10103	3	1	1	1
8001	10104	2	1	1	1
8001	10105	1	1	1	
8002	20106	2	1		1
8002	20120	1	1		1
