id	type	rarity	sort_id	gear_text_id	description_text_id	size	layout_size	color	category	sub_category	layout_category	layout_sub_category	stack_type	stack_capacity	relation_category	relation_sub_category	cost	max_quantity	prefab_name	icon_resource_id	is_small	is_ground	is_hand	is_special	default_angle	default_scale	sound_type	camera_type	book_growth_reward_group_id
85010010	1	2	1	10001	20001	1	4	9	1	1	1	1	1				15	99	85010010	23010010		1			15	1.0		1	112
85010020	1	1	1	10002	20002	1	4	1	1	1	1	1	1				15	99	85010020	23010020		1			15	1.0		2	111
85010030	1	1	1	10003	20003	1	5	4	1	1	1	2	2				20	99	85010030	23010030		1			15	1.0		30	111
85010040	1	1	1	10004	20004	1	4	2	1	1	1	1	1				15	99	85010040	23010040		1			15	1.0		3	111
85010050	1	1	1	10005	20005	1	4	10	1	1	1	1	1				15	99	85010050	23010050		1			15	1.0		31	111
85010060	1	1	1	10006	20006	1	4	2	1	1	1	1	1				15	99	85010060	23010060		1			15	1.0		43	111
85010070	1	2	1	10007	20007	2	4	9	1	1	1	1	2				15	99	85010070	23010070		1			15	1.0		4	112
85010080	1	3	1	10008	20008	3	5	10	1	1	1	2	2				20	99	85010080	23010080		1			15	1.0		32	113
85010090	1	2	1	10009	20009	3	4	10	1	1	1	1	1				15	99	85010090	23010090		1			15	1.0		33	112
85010100	1	2	1	10010	20010	1	4	10	1	1	1	1	1				15	99	85010100	23010100		1			15	1.0		7	112
85010110	1	2	1	10011	20011	1	4	1	1	1	1	1	1				15	99	85010110	23010110		1			15	1.0		8	112
85010120	1	2	1	10012	20012	1	2	2	9	1	15	1	1				5	99	85010120	23010120		1			15	1.0			112
85010130	1	3	1	10013	20013	3	5	9	1	1	1	2	2				20	99	85010130	23010130		1			15	1.0		9	113
85010140	1	2	1	10014	20014	2	4	9	1	1	1	1	2				15	99	85010140	23010140		1			15	1.0		10	112
85010150	1	1	1	10015	20015	2	4	1	1	1	1	1	1				15	99	85010150	23010150		1			15	1.0			111
85010190	1	3	1	10016	20016	1	4	10	1	1	1	1	1				15	99	85010190	23010190		1			15	1.0			113
85010200	1	1	1	10017	20017	1	4	10	1	1	1	1	1				15	99	85010200	23010200		1			15	1.0		11	111
85010201	1	1	1	10018	20018	1	4	1	1	1	1	1	1				15	99	85010201	23010201		1			15	1.0		11	111
85010202	1	1	1	10019	20019	1	4	2	1	1	1	1	1				15	99	85010202	23010202		1			15	1.0		11	111
85010203	1	1	1	10020	20020	1	4	3	1	1	1	1	1				15	99	85010203	23010203		1			15	1.0		11	111
85010204	1	1	1	10021	20021	1	4	4	1	1	1	1	1				15	99	85010204	23010204		1			15	1.0		11	111
85010205	1	1	1	10022	20022	1	4	5	1	1	1	1	1				15	99	85010205	23010205		1			15	1.0		11	111
85010206	1	1	1	10023	20023	1	4	6	1	1	1	1	1				15	99	85010206	23010206		1			15	1.0		11	111
85010207	1	1	1	10024	20024	1	4	7	1	1	1	1	1				15	99	85010207	23010207		1			15	1.0		11	111
85010208	1	1	1	10025	20025	1	4	9	1	1	1	1	1				15	99	85010208	23010208		1			15	1.0		11	111
85010209	1	1	1	10026	20026	1	4	8	1	1	1	1	1				15	99	85010209	23010209		1			15	1.0		11	111
85010210	1	2	1	10027	20027	2	4	10	1	1	1	1	2				15	99	85010210	23010210		1			15	1.0		12	112
85010211	1	2	1	10028	20028	2	4	1	1	1	1	1	2				15	99	85010211	23010211		1			15	1.0		12	112
85010212	1	2	1	10029	20029	2	4	2	1	1	1	1	2				15	99	85010212	23010212		1			15	1.0		12	112
85010213	1	2	1	10030	20030	2	4	3	1	1	1	1	2				15	99	85010213	23010213		1			15	1.0		12	112
85010214	1	2	1	10031	20031	2	4	4	1	1	1	1	2				15	99	85010214	23010214		1			15	1.0		12	112
85010215	1	2	1	10032	20032	2	4	5	1	1	1	1	2				15	99	85010215	23010215		1			15	1.0		12	112
85010216	1	2	1	10033	20033	2	4	6	1	1	1	1	2				15	99	85010216	23010216		1			15	1.0		12	112
85010217	1	2	1	10034	20034	2	4	7	1	1	1	1	2				15	99	85010217	23010217		1			15	1.0		12	112
85010218	1	2	1	10035	20035	2	4	9	1	1	1	1	2				15	99	85010218	23010218		1			15	1.0		12	112
85010219	1	2	1	10036	20036	2	4	8	1	1	1	1	2				15	99	85010219	23010219		1			15	1.0		12	112
85010220	1	2	1	10037	20037	2	4	10	1	1	1	1	1				15	99	85010220	23010220		1			15	1.0			112
85010221	1	2	1	10038	20038	2	4	1	1	1	1	1	1				15	99	85010221	23010221		1			15	1.0			112
85010222	1	2	1	10039	20039	2	4	2	1	1	1	1	1				15	99	85010222	23010222		1			15	1.0			112
85010223	1	2	1	10040	20040	2	4	3	1	1	1	1	1				15	99	85010223	23010223		1			15	1.0			112
