group_id	seq_id	type	value	reward_id	growth_reward_text_id	publish_date	open_date	close_date
111	1	1	1	2031	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
111	2	2	1	2110	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
111	3	3	3	2130	3	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
111	4	3	4	2031	3	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
112	1	1	1	2031	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
112	2	2	1	2120	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
112	3	3	2	2110	3	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
112	4	3	3	2130	3	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
112	5	3	4	2031	3	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
113	1	1	1	2031	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
113	2	2	1	2150	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
113	3	3	1	2110	3	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
113	4	3	2	2130	3	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
113	5	3	3	2150	3	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
113	6	3	4	2031	3	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	1	1	1	2041	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
121	2	2	1	2120	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
122	1	1	1	2041	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
122	2	2	1	2130	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
123	1	1	1	2041	1	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
123	2	2	1	2140	2	2017-01-01 00:00:00	2017-01-01 00:00:00	2100-12-31 00:00:00
