gear_id	relationship	satisfaction	comfortableness	warmth	healing	hotness	coldness	sporty	relaxing	playing	cooking	camp_skill_id	camp_turn_event_id	forbidden_type_id	group_camp_passive_skill_id	guild_camp_theme1	guild_camp_theme2	guild_camp_theme3
85010010									6	4	3	71001011	23010011		1	1		
85010020									4	4	3	71002011	23010021		1	2		
85010030									6	2	3	71003011	23010031		1	3		
85010040									5	3	3	71004011	23010041		1	4		
85010050									4	4	3	71005011	23010051		1	1		
85010060									5	3	3	71006011	23010061		1	2		
85010070									6	3	4	71007011	23010071		1	3		
85010080									6	4	5	71008011	23010081		1	4		
85010090									4	7	2	71009011	23010091		1	1		
85010100									3	7	3	71010011	23010101	4	1	2		
85010110									5	5	3	71011011	23010111		1	3		
85010120									4	6	3	71012011	23010121		1	4		
85010130									6	3	6	71013011	23010131		1	1		
85010140									6	3	4	71014011	23010141		1	2		
85010150									4	4	3	71015011	23010151		1	3		
85010190									5	5	5	71019011	23010191		1	4		
85010200									4	4	3	71020011	23010201		1	1		
85010201									4	4	3	71020111	23010201		1	2		
85010202									4	4	3	71020211	23010201		1	3		
85010203									4	4	3	71020311	23010201		1	4		
85010204									4	4	3	71020411	23010201		1	1		
85010205									4	4	3	71020511	23010201		1	2		
85010206									4	4	3	71020611	23010201		1	3		
85010207									4	4	3	71020711	23010201		1	4		
85010208									4	4	3	71020811	23010201		1	1		
85010209									4	4	3	71020911	23010201		1	2		
85010210									6	4	3	71021011	23010211		1	3		
85010211									6	4	3	71021111	23010211		1	4		
85010212									6	4	3	71021211	23010211		1	1		
85010213									6	4	3	71021311	23010211		1	2		
85010214									6	4	3	71021411	23010211		1	3		
85010215									6	4	3	71021511	23010211		1	4		
85010216									6	4	3	71021611	23010211		1	1		
85010217									6	4	3	71021711	23010211		1	2		
85010218									6	4	3	71021811	23010211		1	3		
85010219									6	4	3	71021911	23010211		1	4		
85010220									7	3	3	71022011	23010221		1	1		
85010221									7	3	3	71022111	23010221		1	2		
85010222									7	3	3	71022211	23010221		1	3		
85010223									7	3	3	71022311	23010221		1	4		
85010224									7	3	3	71022411	23010221		1	1		
85010225									7	3	3	71022511	23010221		1	2		
85010226									7	3	3	71022611	23010221		1	3		
