challenge_group_id	chapter_display_id	chapter_title_id	chapter_desc_id	navi_chara_dialogue_id	story_id	reward_id
101		1000	2000	3000	70010101	1920009026
50010	2	2	2002	3002	70010102	41010
50020	3	3	2003	3003	70010103	41020
50030	4	4	2004	3004	70010104	41030
50040	5	5	2005	3005	70010105	41040
50050	6	6	2006	3006	70010106	41050
50060	7	7	2007	3007	70010107	41060
50070	8	8	2008	3008	70010108	41070
50080	9	9	2009	3009	70010109	41080
51090	10	1010	2010	3010	70010110	51090
51100	11	1011	2011	3011	70010111	51100
52010	12	1012	2012	3012	70010201	52010
52020	13	1013	2013	3013	70010202	52020
52030	14	1014	2014	3014	70010203	52030
52040	15	1015	2015	3015	70010204	52040
52050	16	1016	2016	3016	70010205	52050
52060	17	1017	2017	3017	70010206	52060
52070	18	1018	2018	3018	70010207	52070
52080	19	1019	2019	3019	70010208	52080
52090	20	1020	2020	3020	70010209	52090
52100	21	1021	2021	3021	70010210	52100
52110	22	1022	2022	3022	70010211	52110
53010	23	1023	2023	3023	70010301	53010
53020	24	1024	2024	3024	70010302	53020
53030	25	1025	2025	3025	70010303	53030
53040	26	1026	2026	3026	70010304	53040
53050	27	1027	2027	3027	70010305	53050
53060	28	1028	2028	3028	70010306	53060
53070	29	1029	2029	3029	70010307	53070
53080	30	1030	2030	3030	70010308	53080
53090	31	1031	2031	3031	70010309	53090
53100	32	1032	2032	3032	70010310	53100
53110	33	1033	2033	3033	70010311	53110
54010	34	1034	2034	3034	70010401	54010
54020	35	1035	2035	3035	70010402	54020
54030	36	1036	2036	3036	70010403	54030
54040	37	1037	2037	3037	70010404	54040
54050	38	1038	2038	3038	70010405	54050
54060	39	1039	2039	3039	70010406	54060
54070	40	1040	2040	3040	70010407	54070
54080	41	1041	2041	3041	70010408	54080
54090	42	1042	2042	3042	70010409	54090
54100	43	1043	2043	3043	70010410	54100
54110	44	1044	2044	3044	70010411	54110
