id	type	challenge_id	level_guild_require	reward_id
1		210006	1	1910210006
2		210007	1	1910210007
3		210008	1	1910210008
4		210009	1	1910210009
5		210010	1	1910210010
6		210011	1	1910210011
7		210012	1	1910210012
8		210013	1	1910210013
9		210014	11	1910210014
10		210015	11	1910210015
11		210016	11	1910210016
12		210017	11	1910210017
13		210018	21	1910210018
14		210019	21	1910210019
15		210020	31	1910210020
16		210021	31	1910210021
17		210022	41	1910210022
18		210023	41	1910210023
19		210024	51	1910210024
20		210025	51	1910210025
21		210026	61	1910210026
22		210027	61	1910210027
23		210028	71	1910210028
24		210029	71	1910210029
