id	type	parent_id	ios	android	pc	title	title_text_id	body	body_text_id	mail_body	mail_body_text_id
4			1	1	1	○○	1		1		
5			1	1	1	○○	1		1		
6			1	1	1	○○	1		1		
7			1	1	1	○○	1		1		
8			1	1	1	○○	1		1		
9			1	1	1	○○	1		1		
10			1	1	1	○○	1		1		
11			1	1	1	○○	1		1		
12			1	1	1	○○	1		1		
13			1	1	1	○○	1		1		
25			1	1	1	○○	1		1		
26			1	1	1	○○	1		1		
27			1	1	1	○○	1		1		
28			1	1	1	○○	1		1		
29			1	1	1	○○	1		1		
32			1	1	1	○○	1		1		
33			1	1	1	○○	1		1		
34			1	1	1	○○	1		1		
36			1	1	1	○○	1		1		
401		4	1	1	1	○○	1	○○	1		
402		4	1	1	1	○○	1	○○	1		
403		4	1	1	1	○○	1	○○	1		
404		4	1	1	1	○○	1	○○	1		
405		4	1	1	1	○○	1	○○	1		
406		4	1	1	1	○○	1	○○	1		
407		4	1	1	1	○○	1	○○	1		
408		4	1	1	1	○○	1	○○	1		
409		4	1	1	1	○○	1	○○	1		
410		4	1	1	1	○○	1	○○	1		
501		5	1	1	1	○○	1	○○	1		
502		5	1	1	1	○○	1	○○	1		
503		5	1	1	1	○○	1	○○	1		
601		6	1	1	1	○○	1	○○	1		
602		6	1	1	1	○○	1	○○	1		
603		6	1	1	1	○○	1	○○	1		
604		6	1	1	1	○○	1	○○	1		
605		6	1	1	1	○○	1	○○	1		
606		6	1	1	1	○○	1	○○	1		
607		6	1	1	1	○○	1	○○	1		
610		6	1	1	1	○○	1	○○	1		
701		7	1	1	1	○○	1	○○	1		
702		7	1	1	1	○○	1	○○	1		
801		8	1	1	1	○○	1	○○	1		
802		8	1	1	1	○○	1	○○	1		
803		8	1	1	1	○○	1	○○	1		
901		9	1	1	1	○○	1	○○	1		
1001		10	1	1	1	○○	1	○○	1		
1101		11	1	1	1	○○	1	○○	1		
1102		11	1	1	1	○○	1	○○	1		
1201		12	1	1	1	○○	1	○○	1		
1202		12	1	1	1	○○	1	○○	1		
1301		13	1	1	1	○○	1	○○	1		
2501		25	1	1	1	○○	1	○○	1		
2502		25	1	1	1	○○	1	○○	1		
2601		26	1	1	1	○○	1	○○	1		
2602		26	1	1	1	○○	1	○○	1		
2701		27	1	1	1	○○	1	○○	1		
2702		27	1	1	1	○○	1	○○	1		
2801		28	1	1	1	○○	1	○○	1		
2901		29	1	1	1	○○	1	○○	1		
3201		32	1	1	1	○○	1	○○	1		
3202		32	1	1	1	○○	1	○○	1		
3301		33	1	1	1	○○	1	○○	1		
3401		34	1	1	1	○○	1	○○	1		
3601		36	1	1	1	○○	1	○○	1		
90001	1		1	1	1	○○	1	○○	1		
90002	1		1	1	1	○○	1	○○	1		
90003	1		1	1	1	○○	1	○○	1		
90004	1		1	1	1	○○	1	○○	1		
900011	1	90001	1	1	1	○○	1	○○	1	"プレイに使用している端末名（例：iPhone 11 Pro、Xperia XZ3 など）：
ご利用端末のOS（例：iOS 13.7、Android 9 など）：
ご利用の通信環境（Wi-Fi、4G/LTE、5G など）：
不具合を確認した日時：
詳細：
【以下の内容は編集せずそのまま送信してください】"	
900012	1	90001	1	1	1	○○	1	○○	1	"プレイに使用している端末名（例：iPhone 11 Pro、Xperia XZ3 など）：
ご利用端末のOS（例：iOS 13.7、Android 9 など）：
ご利用の通信環境（Wi-Fi、4G/LTE、5G など）：
不具合を確認した日時：
詳細：
【以下の内容は編集せずそのまま送信してください】"	
900013	1	90001	1	1	1	○○	1	○○	1	"プレイに使用している端末名（例：iPhone 11 Pro、Xperia XZ3 など）：
ご利用端末のOS（例：iOS 13.7、Android 9 など）：
ご利用の通信環境（Wi-Fi、4G/LTE、5G など）：
不具合を確認した日時：
詳細：
【以下の内容は編集せずそのまま送信してください】"	
900021	1	90002	1	1	1	○○	1	○○	1	"プレイに使用している端末名（例：iPhone 11 Pro、Xperia XZ3 など）：
ご利用端末のOS（例：iOS 13.7、Android 9 など）：
ご利用の通信環境（Wi-Fi、4G/LTE、5G など）：
購入日時（※問題が発生している該当の購入日時を記載してください。）：
購入履歴の状況確認（購入履歴がある/購入履歴がない/購入履歴でキャンセルされている）：
注文番号：
注文した商品名：
詳細：
【以下の内容は編集せずそのまま送信してください】"	
900031	1	90003	1	1	1	○○	1	○○	1	"復旧したいアカウントのユーザーID：
復旧したいアカウントで設定している姓名：
復旧したいアカウントで設定しているプレイヤーネーム：
復旧したいアカウントで設定している誕生日（アプリ開始時にご入力いただいた月日）：
復旧したいアカウントで設定している自己紹介コメント：
復旧したいアカウントで使用していた端末名（例：iPhone 11 Pro、Xperia XZ3 など）：
復旧したいアカウントで使用していた端末のOS（例：iOS 13.7、Android 9 など）：
最終ログイン日：
最後に課金した日時：
最後にガチャを引いた日：
登録した生年月（ショップ利用時にアプリ内でご入力いただいた生年月）：
ゲームを開始した年月日(チュートリアル開始年月日)：
課金の有無：
課金履歴詳細（注文番号や購入日時、金額など）：
所持していたカノコイン所持数：
パートナーLv：
所持しているレンカノカード、そのLv：
ステージの進行度：
以前に発行したことがあれば、引き継ぎコード（使用済みのコードでも可）：
そのほかにご記憶の内容（※覚えている情報についてできる限り詳しくご記入をお願いいたします。）：
【以下の内容は編集せずそのまま送信してください】"	
900041	1	90004	1	1	1	○○	1	○○	1	"ご意見・ご要望：
【以下の内容は編集せずそのまま送信してください】"	
