id	label	label_text_id	series_id	favorite_id	day_resource_id	night_resource_id	thumbnail_resource_id	prohibition_gear_category1	prohibition_gear_sub_category1	prohibition_gear_category2	prohibition_gear_sub_category2	prohibition_gear_category3	prohibition_gear_sub_category3	forbidden_type_id	is_default
10100	本栖湖キャンプ場・夏	20014	1	1	1	1	28001010							4,5	
10200	本栖湖キャンプ場	20002	1	1	1	2	28001020							4,5	1
20200	麓キャンプ場	20003	1	1	2	2	28002020							6	
30200	なでしこの家の庭	20004	1	1	3	2	28003020							999	
40200	高ボッチ高原	20005	1	1	4	2	28004020							4,5,6,7	
50200	イーストウッドオートキャンプ場	20006	1	1	5	2	28005020							4,5,6,7	
60200	校庭中庭	20007	1	1	6	2	28006020							999	
70200	甲府のキャンプ場	20008	1	1	7	2	28007020							999	
80200	四尾連湖キャンプ場木明荘	20009	1	1	8	2	28008020							999	
90200	陣馬型山キャンプ場	20010	1	1	9	2	28009020							999	
100200	朝霧高原キャンプ場	20011	1	1	10	2	28010020							999	
110200	RECAMPおだわら	20012	1	1	11	2	28011020							999	
130200	海辺のキャンプ場	20013	1	1	13	2	28013020							999	
