id	label	label_text_id	target_type	target_id	resource_id	thumbnail_resource_id	emotion_resource_ids
1	○○	40001	1	1	100103	1	100101,100102
2	○○	40001	1	2	100203	2	100201,100202
3	○○	40001	1	3	100303	3	100301,100302
4	○○	40001	1	4	100407	4	100401,100402
5	○○	40001	1	5	100503	5	100501,100502
11	○○	40001	1	11	100607	11	100601,100602
12	○○	40001	1	12	100703	12	100701,100702
13	○○	40001	1	13	100803	13	100801,100802
14	○○	40001	1	14	100911	14	100901,100902
16	○○	40001	1	16	101103	16	101101,101102
21	○○	40001	1	21	101209	21	101201,101202
22	○○	40001	1	22	101311	22	101301,101302
23	○○	40001	1	23	101403	23	101401,101402
31	○○	40001	1	31	101511	31	101501,101502
32	○○	40001	1	32	101611	32	101601,101602
33	○○	40001	1	33	101703	33	101701,101702
34	○○	40001	1	34	101803	34	101801,101802
35	○○	40001	1	35	101903	35	101901,101902
41	○○	40001	1	41	102011	41	102001,102002
42	○○	40001	1	42	102103	42	102101,102102
43	○○	40001	1	43	102211	43	102201,102202
51	○○	40001	1	51	102311	51	102301,102302
52	○○	40001	1	52	102409	52	102401,102402
53	○○	40001	1	53	102511	53	102501,102502
61	○○	40001	1	61	102609	61	102601,102602
101	○○	40001	1	101	103009	101	103001,103002
111	○○	40001	1	111	103109	111	103101,103102
112	○○	40001	1	112	103203	112	103201,103202
121	○○	40001	1	121	103303	121	103304,103309
122	○○	40001	1	122	103409	122	103404,103403
131	○○	40001	1	131	103504	131	103503,103509
161	○○	40001	1	161	104009	161	104003,104004
10001	○○	40001	2	10001	1	1	1
10002	○○	40001	2	10002	2	2	2
10003	○○	40001	2	10003	3	3	3
10004	○○	40001	2	10004	4	4	4
10005	○○	40001	2	10005	5	5	5
10006	○○	40001	2	10006	6	6	6
10007	○○	40001	2	10007	7	7	7
10008	○○	40001	2	10008	8	8	8
10009	○○	40001	2	10009	9	9	9
10010	○○	40001	2	10010	10	10	10
10011	○○	40001	2	10011	11	11	11
10012	○○	40001	2	10012	12	12	12
10013	○○	40001	2	10013	13	13	13
10014	○○	40001	2	10014	14	14	14
10015	○○	40001	2	10015	15	15	15
10016	○○	40001	2	10016	16	16	16
10017	○○	40001	2	10017	17	17	17
10018	○○	40001	2	10018	18	18	18
10019	○○	40001	2	10019	19	19	19
10020	○○	40001	2	10020	20	20	20
10021	○○	40001	2	10021	21	21	21
10022	○○	40001	2	10022	22	22	22
10023	○○	40001	2	10023	23	23	23
10024	○○	40001	2	10024	24	24	24
10025	○○	40001	2	10025	25	25	25
10026	○○	40001	2	10026	26	26	26
10027	○○	40001	2	10027	27	27	27
10028	○○	40001	2	10028	28	28	28
10029	○○	40001	2	10029	29	29	29
10030	○○	40001	2	10030	30	30	30
10031	○○	40001	2	10031	31	31	31
10032	○○	40001	2	10032	32	32	32
10033	○○	40001	2	10033	33	33	33
10034	○○	40001	2	10034	34	34	34
10035	○○	40001	2	10035	35	35	35
10036	○○	40001	2	10036	36	36	36
10037	○○	40001	2	10037	37	37	37
10038	○○	40001	2	10038	38	38	38
10039	○○	40001	2	10039	39	39	39
10040	○○	40001	2	10040	40	40	40
10041	○○	40001	2	10041	41	41	41
10042	○○	40001	2	10042	42	42	42
10043	○○	40001	2	10043	43	43	43
10044	○○	40001	2	10044	44	44	44
10045	○○	40001	2	10045	45	45	45
10046	○○	40001	2	10046	46	46	46
10047	○○	40001	2	10047	47	47	47
10048	○○	40001	2	10048	48	48	48
10049	○○	40001	2	10049	49	49	49
10050	○○	40001	2	10050	50	50	50
10051	○○	40001	2	10051	51	51	51
10052	○○	40001	2	10052	52	52	52
10053	○○	40001	2	10053	53	53	53
10054	○○	40001	2	10054	54	54	54
10055	○○	40001	2	10055	55	55	55
10056	○○	40001	2	10056	56	56	56
10057	○○	40001	2	10057	57	57	57
10058	○○	40001	2	10058	58	58	58
10059	○○	40001	2	10059	59	59	59
10060	○○	40001	2	10060	60	60	60
10061	○○	40001	2	10061	61	61	61
10062	○○	40001	2	10062	62	62	62
10063	○○	40001	2	10063	63	63	63
10064	○○	40001	2	10064	64	64	64
10065	○○	40001	2	10065	65	65	65
10066	○○	40001	2	10066	66	66	66
10067	○○	40001	2	10067	67	67	67
10068	○○	40001	2	10068	68	68	68
10069	○○	40001	2	10069	69	69	69
10070	○○	40001	2	10070	70	70	70
10071	○○	40001	2	10071	71	71	71
10072	○○	40001	2	10072	72	72	72
10073	○○	40001	2	10073	73	73	73
10074	○○	40001	2	10074	74	74	74
10075	○○	40001	2	10075	75	75	75
10076	○○	40001	2	10076	76	76	76
10077	○○	40001	2	10077	77	77	77
10078	○○	40001	2	10078	78	78	78
10079	○○	40001	2	10079	79	79	79
10080	○○	40001	2	10080	80	80	80
10081	○○	40001	2	10081	81	81	81
10082	○○	40001	2	10082	82	82	82
10083	○○	40001	2	10083	83	83	83
10084	○○	40001	2	10084	84	84	84
10085	○○	40001	2	10085	85	85	85
10086	○○	40001	2	10086	86	86	86
10087	○○	40001	2	10087	87	87	87
10088	○○	40001	2	10088	88	88	88
10089	○○	40001	2	10089	89	89	89
10090	○○	40001	2	10090	90	90	90
10091	○○	40001	2	10091	91	91	91
10092	○○	40001	2	10092	92	92	92
10093	○○	40001	2	10093	93	93	93
10094	○○	40001	2	10094	94	94	94
10095	○○	40001	2	10095	95	95	95
10096	○○	40001	2	10096	96	96	96
10097	○○	40001	2	10097	97	97	97
10098	○○	40001	2	10098	98	98	98
10099	○○	40001	2	10099	99	99	99
10100	○○	40001	2	10100	100	100	100
10101	○○	40001	2	10101	101	101	101
10102	○○	40001	2	10102	102	102	102
10103	○○	40001	2	10103	103	103	103
10104	○○	40001	2	10104	104	104	104
10105	○○	40001	2	10105	105	105	105
10106	○○	40001	2	10106	106	106	106
10107	○○	40001	2	10107	107	107	107
10108	○○	40001	2	10108	108	108	108
10109	○○	40001	2	10109	109	109	109
10110	○○	40001	2	10110	110	110	110
10111	○○	40001	2	10111	111	111	111
10112	○○	40001	2	10112	112	112	112
10113	○○	40001	2	10113	113	113	113
10114	○○	40001	2	10114	114	114	114
10115	○○	40001	2	10115	115	115	115
10116	○○	40001	2	10116	116	116	116
10117	○○	40001	2	10117	117	117	117
10118	○○	40001	2	10118	118	118	118
10119	○○	40001	2	10119	119	119	119
10120	○○	40001	2	10120	120	120	120
10121	○○	40001	2	10121	121	121	121
10122	○○	40001	2	10122	122	122	122
10123	○○	40001	2	10123	123	123	123
10124	○○	40001	2	10124	124	124	124
10125	○○	40001	2	10125	125	125	125
10126	○○	40001	2	10126	126	126	126
10127	○○	40001	2	10127	127	127	127
10128	○○	40001	2	10128	128	128	128
10129	○○	40001	2	10129	129	129	129
10130	○○	40001	2	10130	130	130	130
10131	○○	40001	2	10131	131	131	131
10132	○○	40001	2	10132	132	132	132
10133	○○	40001	2	10133	133	133	133
10134	○○	40001	2	10134	134	134	134
10135	○○	40001	2	10135	135	135	135
20011	○○	40001	2	20011	136	136	136
20012	○○	40001	2	20012	137	137	137
20013	○○	40001	2	20013	138	138	138
20014	○○	40001	2	20014	139	139	139
20015	○○	40001	2	20015	140	140	140
