id	type	target_id	message_text_id	motion_id	cond_type	cond_type2	cond1	cond2	cond3	cond_start_time	cond_end_time	cond_start_date	cond_end_date	leavetime	resource_id	gear_id	weight	response_id	response_min	response_max	is_sleeping	open_date	close_date
1001001	1	1	1	sorrow2_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59	80	1001		2	1001001	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1001002	1	2	205	neglect2_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59	80	1001		2	1001002	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1001003	1	3	405	idle1_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59	80	1001		2	1001003	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1001004	1	4	608	laugh_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1001		2	1001004	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1001005	1	5	811	laugh2_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1001		2	1001005	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1002001	1	1	2	talk_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1002		2	1002001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1002002	1	2	206	insight2_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1002		2	1002002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1002003	1	3	406	talk_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1002		2	1002003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1002004	1	4	609	joy2_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1002		2	1002004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1002005	1	5	812	neglect2_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1002		2	1002005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1003001	1	1	3	neglect2_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1003		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1003002	1	2	207	grasp_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1003		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1003003	1	3	407	surprise2_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1003		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1003004	1	4	610	insight_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1003		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1003005	1	5	813	neglect2_2l	2	1				21600	43199	2020-03-01 00:00:00	2100-05-31 23:59:59		1003		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1006001	1	1	4	insight_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1006		2	1006001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1006002	1	2	208	breath_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1006		2	1006002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1006003	1	3	408	joy_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1006		2	1006003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1006004	1	4	611	talk_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1006		2	1006004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1006005	1	5	814	idle1_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1006		2	1006005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1007001	1	1	5	talk_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1007		2	1007001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1007002	1	2	209	shy2_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1007		2	1007002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1007003	1	3	409	laugh2_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1007		2	1007003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1007004	1	4	612	laugh2_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1007		2	1007004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1007005	1	5	815	joy2_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1007		2	1007005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1008001	1	1	6	insight2_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1008		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1008002	1	2	210	sorrow2_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1008		1					2020-01-01 00:00:00	2100-12-31 00:00:00
