id	group_id	character_id	message_text_id	motion_id	resource_id
1	1	1	10001	-1	1001011
2	1	1	10002	-1	1002011
3	1	2	10003	-1	1003011
4	1	2	10004	-1	1004011
5	1	3	10005	-1	1005011
6	1	3	10006	-1	1006011
7	1	4	10007	-1	1007011
8	1	4	10008	-1	1008011
9	1	5	10009	-1	1009011
10	1	5	10010	-1	1010011
11	2	1	10001	-1	1011011
12	2	1	10002	-1	1012011
13	2	2	10003	-1	1013011
14	2	2	10004	-1	1014011
15	2	3	10005	-1	1015011
16	2	3	10006	-1	1016011
17	2	4	10007	-1	1017011
18	2	4	10008	-1	1018011
19	2	5	10009	-1	1019011
20	2	5	10010	-1	1020011
21	3	2	10011	-1	1021011
22	3	3	10012	-1	1022011
23	4	3	10013	-1	1023011
24	4	4	10014	-1	1024011
25	5	4	10015	-1	1025011
26	5	5	10016	-1	1026011
27	6	5	10017	-1	1027011
28	6	1	10018	-1	1028011
29	7	1	10019	-1	1029011
30	7	2	10020	-1	1030011
31	1001001	3	10021	talk_2l	1501
32	1001001	4	10022	laugh_2l	1509
33	1001001	2	10007	idle1_2l	1517
34	1001001	5	10023	laugh2_2l	1517
35	1002001	2	10024	neglect2_2l	1572
36	1002001	5	10025	positive	1571
37	1006001	5	10026	positive	1501
38	1006001	2	10027	idle1_2l	1510
39	1007001	3	10028	laugh_2l	1572
40	1007001	4	10029	laugh2_2l	1567
41	1011001	2	10030	positive	1501
42	1011001	3	10031	shy_2l	1511
43	1012001	4	10032	laugh_2l	1568
44	1012001	5	10033	joy2_2l	1572
45	1016001	2	10034	breath_2l	1502
46	1016001	4	10035	clap2_2l	1510
47	1017001	3	10036	insight_2l	1573
48	1017001	5	10037	joy2_2l	1573
49	1021001	3	10038	sorrow_2l	1502
50	1021001	5	10039	insight2_2l	1510
51	1022001	2	10040	insight2_2l	1573
52	1022001	4	10041	joy_2l	1573
53	1026001	5	10042	joy2_2l	1502
54	1026001	4	10043	insight_2l	1511
55	1027001	2	10044	shy2_2l	1574
56	1027001	3	10045	grasp_2l	1576
57	1031001	4	10046	banzai2_2l	1501
58	1031001	2	10047	idle1_2l	1511
59	1031001	3	10048	insight_2l	1518
60	1031001	5	10049	insight_2l	1518
61	1032001	3	10050	anger_2l	1574
62	1032001	5	10051	joy2_2l	1574
63	1036001	2	10052	positive	1503
64	1036001	3	10053	laugh_2l	1512
65	1037001	4	10054	laugh_2l	1569
66	1037001	5	10055	joy2_2l	1575
67	1041001	4	10056	laugh2_2l	1502
68	1041001	3	10057	insight_2l	1513
69	1042001	2	10058	talk_2l	1575
70	1042001	5	10059	joy2_2l	1576
71	1046001	3	10060	insight2_2l	1503
72	1046001	2	10061	surprise2_2l	1512
73	1047001	4	10062	insight_2l	1570
74	1047001	5	10063	positive	1577
75	1051001	4	10064	laugh_2l	1503
76	1051001	5	10065	shy_2l	1511
77	1052001	2	10066	idle1_2l	1576
78	1052001	3	10067	insight_2l	1577
79	1056001	5	10068	reach_2l	1503
80	1056001	2	10069	insight2_2l	1513
81	1056001	3	10070	insight_2l	1519
82	1056001	4	10071	laugh2_2l	1517
83	1057001	4	10072	insight2_2l	1571
84	1057001	3	10073	joy_2l	1578
85	1061001	2	10074	panic2_2l	1504
86	1061001	4	10075	laugh2_2l	1512
87	1062001	3	10076	joy_2l	1575
88	1062001	5	10077	neglect2_2l	1578
89	1066001	2	10078	neglect2_2l	1505
90	1066001	5	10079	insight_2l	1512
91	1066001	3	10080	joy2_2l	1520
92	1066001	4	10081	laugh_2l	1518
93	1067001	4	10082	laugh_2l	1572
94	1067001	3	10083	shy_2l	1579
95	1071001	5	10084	clap_2l	1504
96	1071001	3	10085	surprise2_2l	1514
97	1072001	2	10086	talk_2l	1577
98	1072001	4	10087	joy2_2l	1574
99	1076001	3	10088	shy_2l	1504
100	1076001	4	10089	insight_2l	1513
101	1077001	5	10090	insight_2l	1570
102	1077001	2	10091	neglect2_2l	1578
103	1081001	3	10092	neglect1_2l	1505
104	1081001	2	10093	talk_2l	1514
105	1082001	5	10094	laugh_2l	1505
106	1082001	4	10095	joy2_2l	1514
107	1083001	2	10096	surprise2_2l	1506
108	1083001	5	10097	talk_2l	1513
112	1094001	2	10101	shy2_2l	1507
113	1095001	3	10102	shy_2l	1507
114	1096001	4	10103	clap_2l	1505
115	1097001	5	10104	shy_2l	1507
116	1099001	2	10105	joy2_2l	1508
117	1099001	3	10106	joy_2l	1515
118	1100001	3	10107	surprise2_2l	1508
119	1100001	4	10108	insight_2l	1515
120	1101001	4	10109	joy2_2l	1506
121	1101001	5	10110	laugh2_2l	1514
122	1102001	5	10111	laugh_2l	1508
123	1102001	2	10112	idle1_2l	1515
124	1103001	3	10113	talk_2l	1509
125	1103001	5	10114	insight2_2l	1515
126	1104001	4	10115	insight_2l	1507
127	1104001	2	10116	joy2_2l	1516
128	1105001	5	10117	joy2_2l	1509
129	1105001	3	10118	banzai1_2l	1516
130	1106001	4	10119	shy_2l	1508
131	1106001	5	10120	insight_2l	1516
132	1107001	3	10121	joy_2l	1510
133	1107001	4	10122	banzai1_2l	1516
134	1108001	2	10123	neglect2_2l	1509
135	1108001	3	10124	talk_2l	1517
136	1001002	3	10125	idle1_2l	1521
137	1001002	4	10126	joy2_2l	1523
138	1002002	1	10127	neglect2_2l	1576
139	1002002	5	10128	laugh_2l	1579
140	1006002	5	10129	neglect2_2l	1519
141	1006002	1	10130	joy_2l	1513
142	1007002	3	10131	positive	1580
143	1007002	4	10132	laugh_2l	1578
144	1011002	1	10133	insight_2l	1501
145	1011002	3	10134	shy_2l	1529
146	1012002	4	10135	shy_2l	1575
147	1012002	5	10136	insight_2l	1580
148	1016002	1	10137	grasp_2l	1502
149	1016002	3	10138	idle1_2l	1530
150	1016002	5	10139	surprise_2l	1533
151	1016002	4	10140	banzai1_2l	1533
152	1017002	1	10141	sorrow2_2l	1577
153	1017002	5	10142	joy_2l	1581
154	1021002	4	10143	laugh2_2l	1519
155	1021002	5	10144	talk_2l	1528
156	1021002	1	10145	grasp_2l	1518
157	1021002	3	10146	sorrow_2l	1537
158	1022002	3	10147	talk_2l	1581
159	1022002	4	10148	neglect2_2l	1579
160	1026002	3	10149	neglect2_2l	1522
161	1026002	1	10150	positive	1514
162	1027002	4	10151	insight2_2l	1576
163	1027002	5	10152	neglect2_2l	1582
164	1031002	4	10153	laugh2_2l	1520
165	1031002	3	10154	joy2_2l	1531
166	1032002	1	10155	insight_2l	1578
