id	sort_id	name_text_id	description_text_id	type	value	target_id	rarity	feature_id	season_id	team_battle_event_id	resource_id	duration	expire	price	disp_flag	real_incentive	exchange_item_id	open_date	close_date
100	100	1001	1002	38							25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
101	101	1011	1012	39							25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
103	103	1031	1032	8							25100102							2020-05-01 00:00:00	2100-12-31 12:59:59
104	104	1041	1042	8							25100103							2020-05-01 00:00:00	2100-12-31 12:59:59
105	105	1051	1052	8							25100103							2020-05-01 00:00:00	2100-12-31 12:59:59
106	106	1061	1062	69	1	6016					25100103				1			2020-05-01 00:00:00	2100-12-31 12:59:59
107	107	1071	1072	69	1	6017					25100103				1			2020-05-01 00:00:00	2100-12-31 12:59:59
108	108	1081	1082	69	1	6031					25100102				1			2020-05-01 00:00:00	2100-12-31 12:59:59
109	109	1091	1082	69	1	6032					25100102				1			2020-05-01 00:00:00	2100-12-31 12:59:59
110	110	1101	1082	69	1	6033					25100102				1			2020-05-01 00:00:00	2100-12-31 12:59:59
111	111	1111	1082	69	1	6034					25100102				1			2020-05-01 00:00:00	2100-12-31 12:59:59
1001	1001	10011	10012	1							25101001							2020-05-01 00:00:00	2100-12-31 12:59:59
1002	1002	10021	10022	70	1						25101002							2020-05-01 00:00:00	2100-12-31 12:59:59
1003	1003	10031	10022	70	2						25101003							2020-05-01 00:00:00	2100-12-31 12:59:59
1004	1004	10041	10022	2							25101004							2020-05-01 00:00:00	2100-12-31 12:59:59
1005	1005	10051	10022	70							25101005				1			2020-05-01 00:00:00	2100-12-31 12:59:59
1006	1006	10061	10022	70							25101006				1			2020-05-01 00:00:00	2100-12-31 12:59:59
1007	1007	10071	10022	70							25101007							2020-05-01 00:00:00	2100-12-31 12:59:59
1008	1008	10081	10022	70							25101008							2020-05-01 00:00:00	2100-12-31 12:59:59
1009	1009	10091	10022	70							25101009							2020-05-01 00:00:00	2100-12-31 12:59:59
1010	1010	10101	10022	70							25101010							2020-05-01 00:00:00	2100-12-31 12:59:59
1011	1011	10111	10022	70							25108511							2020-05-01 00:00:00	2100-12-31 12:59:59
1012	1012	10121	10022	70							25101012							2020-05-01 00:00:00	2100-12-31 12:59:59
1014	1014	10141	10142	79							25101014							2020-05-01 00:00:00	2100-12-31 12:59:59
1015	1015	10151	10152	78							25101015							2020-05-01 00:00:00	2100-12-31 12:59:59
1100	1100	11001	11002	80		1					25101100							2020-05-01 00:00:00	2100-12-31 12:59:59
1101	1101	11011	11012	80		2					25101101							2020-05-01 00:00:00	2100-12-31 12:59:59
2011	2011	20111	20112	27	1	1					25102011				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2012	2012	20121	20122	27	1	2					25102012				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2013	2013	20131	20132	27	1	3					25102013				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2014	2014	20141	20142	27	1	4					25102014				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2015	2015	20151	20152	27	1	5					25102015				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2021	2021	20211	20212	77	1	2					25102021				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2022	2022	20221	20222	27	1	2					25102022				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2023	2023	20231	20232	27	1	3					25102023				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2024	2024	20241	20242	27	1	4					25102024				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2025	2025	20251	20252	27	1	5					25102025				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2031	2031	20311	20312	77	1	3					25102031				1			2020-05-01 00:00:00	2100-12-31 12:59:59
2041	2041	20411	20412	77	1	4					25102041				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3000	3000	30001	30002	69		21					25103002				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3002	3002	30021	30022	69		6002					25103002				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3003	3003	30031	30022	69		6003					25103003				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3004	3004	30041	30042	69		6004					25103004				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3005	3005	30051	30022	69		6005					25103005				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3006	3006	30061	30022	69		6006					25103006				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3007	3007	30071	30022	69		6007					25103007				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3008	1	30081	30132	69		6008					25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3009	3009	30091	30132	69		6009					25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3011	3011	30111	30022	69		6010					25103011				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3012	3012	30121	30022	69		6011					25103012				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3013	3013	30131	30132	69		6012					25103013				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3014	3014	30141	30022	69		6014					25103014				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3017	3017	30171	30022	69		6018					25103017				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3018	3018	30181	30132	69		6019					25103018				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3019	3019	30191	30132	69		6020					25103019				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3020	3020	30201	30132	69		6021					25103020				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3021	3021	30211	30132	69		6022					25103021				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3022	3022	30221	30132	69		6023					25103022				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3023	3023	30231	30132	69		6025					25103023				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3024	3024	30241	30132	69		6026					25103024				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3025	3025	30251	30132	69		6027					25103025				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3026	3026	30261	30132	69		6028					25103026				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3027	3027	30271	30132	69		6029					25103027				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3028	3028	30281	30022	69		6030					25103014				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3029	3029	30291	30022	69		6035					25103017				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3201	3201	37011	37012	69		6701					25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3202	3202	37011	37012	69		6701					25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3203	3203	37011	37012	69		6701					25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3204	3204	37011	37012	69		6701					25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3205	3205	37011	37012	69		6701					25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3206	3206	37011	37012	69		6701					25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
3207	3207	37011	37012	69		6701					25101001				1			2020-05-01 00:00:00	2100-12-31 12:59:59
