item_id	type	label	label_text_id	value	target_id
50000	2	AP 2倍	1050000023	100	
50003	2	AP上限アップ	1050013023	3	
50010	1	○○パス(30days)ログインボーナス	1050010013		150010
50011	1	レギュラーパス(10days)ログインボーナス	1050011013		150012
50012	1	フレッシュパス(10days)ログインボーナス	1050012013		150011
50013	1	ゆるパス(30days)ログインボーナス	1050013013		150013
50013	2	AP上限アップ	1050013023	50	
50013	10	ゆるパス(30days)キャンプ素材報酬 2倍	1050013103	200	
50014	1	ゆるパスS(10days)ログインボーナス	1050014013		150014
50015	1	ゆるパスM(10days)ログインボーナス	1050015013		150015
50018	1	ゆるパス(7days)ログインボーナス	1050018013		150018
50018	2	AP上限アップ	1050013023	50	
50018	10	ゆるパス(7days)キャンプ素材報酬 2倍	1050018103	200	
50019	1	ゆるパス(7days)ログインボーナス	1050018013		150019
50019	2	AP上限アップ	1050013023	50	
50019	10	ゆるパス(7days)キャンプ素材報酬 2倍	1050018103	200	
