id	level	value
1000	1	15
1000	2	15
1000	3	16
1000	4	16
1000	5	17
1000	6	18
1000	7	20
1000	8	22
1000	9	24
1000	10	27
1000	11	30
1000	12	33
1000	13	37
1000	14	42
1000	15	47
1000	16	53
1000	17	59
1000	18	66
1000	19	73
1000	20	81
1000	21	89
1000	22	99
1000	23	108
1000	24	119
1000	25	130
1000	26	142
1000	27	155
1000	28	168
1000	29	182
1000	30	197
1000	31	212
1000	32	228
1000	33	245
1000	34	263
1000	35	282
1000	36	301
1000	37	322
1000	38	343
1000	39	365
1000	40	388
1000	41	411
1000	42	436
1000	43	462
1000	44	488
1000	45	515
1000	46	544
1000	47	573
1000	48	603
1000	49	634
1000	50	666
1000	51	699
1000	52	733
1000	53	768
1000	54	804
1000	55	841
1000	56	880
1000	57	919
1000	58	959
1000	59	1000
1000	60	2284
1000	61	2358
1000	62	2434
1000	63	2511
1000	64	2589
1000	65	2669
1000	66	2750
1000	67	2832
1000	68	2915
1000	69	3000
1000	70	5951
1000	71	7208
1000	72	9468
1000	73	9732
1000	74	10000
1001	1	10
1001	2	10
1001	3	10
1001	4	10
1001	5	10
1001	6	11
1001	7	12
1001	8	14
1001	9	16
1001	10	18
1001	11	21
1001	12	24
1001	13	27
1001	14	31
1001	15	35
1001	16	40
1001	17	45
1001	18	50
1001	19	57
1001	20	63
1001	21	70
1001	22	78
1001	23	86
1001	24	95
1001	25	104
1001	26	114
1001	27	125
1001	28	136
1001	29	147
1001	30	160
1001	31	173
1001	32	186
1001	33	200
1001	34	215
1001	35	231
1001	36	247
1001	37	264
1001	38	282
1001	39	300
1002	1	10
1002	2	10
1002	3	11
1002	4	11
1002	5	12
1002	6	13
1002	7	15
1002	8	16
1002	9	18
1002	10	21
1002	11	24
1002	12	27
1002	13	31
1002	14	36
1002	15	41
1002	16	46
1002	17	52
1002	18	58
1002	19	65
1002	20	73
1002	21	81
1002	22	90
1002	23	99
1002	24	109
1002	25	120
1002	26	131
1002	27	143
1002	28	156
1002	29	169
1002	30	183
1002	31	198
1002	32	213
1002	33	230
1002	34	247
1002	35	264
1002	36	283
1002	37	302
1002	38	322
1002	39	343
1002	40	365
1002	41	388
1002	42	411
1002	43	436
1002	44	461
1002	45	487
1002	46	514
1002	47	542
1002	48	570
1002	49	600
1003	1	15
1003	2	15
1003	3	16
1003	4	16
1003	5	17
1003	6	18
1003	7	20
1003	8	22
1003	9	24
1003	10	27
1003	11	30
1003	12	33
1003	13	37
1003	14	42
1003	15	47
1003	16	53
1003	17	59
1003	18	66
1003	19	73
1003	20	81
1003	21	89
