id	landmark_id	type	icon_resource_id	location_category_id	location_region_id	location_prefectures_id	name_text_id	description_text_id	rarity	event_group_id	latitude	longitude	is_map_pin	url	open_date	close_date
10010024	10010024			1	2	2	10010024	20010024	2	1	40.72745	141.283428	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10024	2000-01-01 00:00:00	2100-12-31 23:59:59
10010025	10010025			1	8	43	10010025	20010025	2	1	32.496764	130.97467	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10025	2000-01-01 00:00:00	2100-12-31 23:59:59
10010026	10010026			1	4	22	10010026	20010026	2	1	35.014236	138.997547	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10026	2000-01-01 00:00:00	2100-12-31 23:59:59
10010027	10010027			1	7	36	10010027	20010027	2	1	33.742002	134.555702	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10027	2000-01-01 00:00:00	2100-12-31 23:59:59
10010030	10010030			1	4	23	10010030	10010030	2	1	34.873848	137.215581	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10030	2000-01-01 00:00:00	2100-12-31 23:59:59
10010031	10010031			1	4	23	10010031	10010031	2	1	34.939785	137.399173	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10031	2000-01-01 00:00:00	2100-12-31 23:59:59
10010032	10010032			1	4	23	10010032	10010032	2	1	34.859496	137.180588	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10032	2000-01-01 00:00:00	2100-12-31 23:59:59
10010034	10010034			1	4	23	10010034	10010034	2	1	35.369909	137.025727	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10034	2000-01-01 00:00:00	2100-12-31 23:59:59
10010035	10010035			1	4	23	10010035	10010035	2	1	35.348061	137.023061	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10035	2000-01-01 00:00:00	2100-12-31 23:59:59
10010036	10010036			1	4	23	10010036	10010036	2	1	35.299059	137.061779	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10036	2000-01-01 00:00:00	2100-12-31 23:59:59
10010037	10010037			1	4	23	10010037	10010037	2	1	34.899229	137.498476	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10037	2000-01-01 00:00:00	2100-12-31 23:59:59
10010038	10010038			1	4	23	10010038	10010038	2	1	34.994667	137.626436	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10038	2000-01-01 00:00:00	2100-12-31 23:59:59
10010040	10010040			1	4	23	10010040	10010040	2	1	34.792179	137.158022	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10040	2000-01-01 00:00:00	2100-12-31 23:59:59
10010041	10010041			1	4	23	10010041	10010041	2	1	34.749116	136.852778	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10041	2000-01-01 00:00:00	2100-12-31 23:59:59
10010042	10010042			1	4	23	10010042	10010042	2	1	34.677697	137.212348	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10042	2000-01-01 00:00:00	2100-12-31 23:59:59
10010043	10010043			1	4	23	10010043	10010043	2	1	34.605259	137.037563	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10043	2000-01-01 00:00:00	2100-12-31 23:59:59
10010047	10010047			1	4	23	10010047	10010047	2	1	35.124892	137.149456	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10047	2000-01-01 00:00:00	2100-12-31 23:59:59
10010048	10010048			1	4	23	10010048	10010048	2	1	35.030447	137.412322	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10048	2000-01-01 00:00:00	2100-12-31 23:59:59
10010051	10010051			1	4	23	10010051	10010051	2	1	35.075844	137.371912	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10051	2000-01-01 00:00:00	2100-12-31 23:59:59
10010052	10010052			1	4	23	10010052	10010052	2	1	35.174253	137.512412	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10052	2000-01-01 00:00:00	2100-12-31 23:59:59
10010054	10010054			1	4	23	10010054	20010054	2	1	35.200452	137.60474	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10054	2000-01-01 00:00:00	2100-12-31 23:59:59
10010055	10010055			1	4	23	10010055	20010055	2	1	35.085157	137.679146	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10055	2000-01-01 00:00:00	2100-12-31 23:59:59
10010056	10010056			1	4	23	10010056	10010056	2	1	35.082746	137.680846	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10056	2000-01-01 00:00:00	2100-12-31 23:59:59
10010057	10010057			1	4	23	10010057	10010057	2	1	35.182476	137.667271	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10057	2000-01-01 00:00:00	2100-12-31 23:59:59
10010058	10010058			1	4	23	10010058	10010058	2	1	35.223043	137.65931	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10058	2000-01-01 00:00:00	2100-12-31 23:59:59
10010059	10010059			1	4	23	10010059	10010059	2	1	35.189799	137.809621	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10059	2000-01-01 00:00:00	2100-12-31 23:59:59
10010060	10010060			1	7	38	10010060	20010060	2	1	33.696941	132.791959	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10060	2000-01-01 00:00:00	2100-12-31 23:59:59
10010061	10010061			1	7	38	10010061	20010061	2	1	33.63332	132.789862	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10061	2000-01-01 00:00:00	2100-12-31 23:59:59
10010062	10010062			1	7	38	10010062	20010062	2	1	33.750151	132.740109	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10062	2000-01-01 00:00:00	2100-12-31 23:59:59
10010063	10010063			1	7	38	10010063	20010063	2	1	33.683371	132.631431	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10063	2000-01-01 00:00:00	2100-12-31 23:59:59
10010064	10010064			1	7	38	10010064	20010064	2	1	33.656453	132.725258	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10064	2000-01-01 00:00:00	2100-12-31 23:59:59
10010065	10010065			1	7	38	10010065	20010065	2	1	33.13206	132.499152	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10065	2000-01-01 00:00:00	2100-12-31 23:59:59
10010067	10010067			1	7	38	10010067	20010067	2	1	34.223238	133.152752	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10067	2000-01-01 00:00:00	2100-12-31 23:59:59
10010069	10010069			1	7	38	10010069	20010069	2	1	34.274424	133.172978	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10069	2000-01-01 00:00:00	2100-12-31 23:59:59
10010072	10010072			1	7	38	10010072	20010072	2	1	34.173683	133.076691	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10072	2000-01-01 00:00:00	2100-12-31 23:59:59
10010073	10010073			1	7	38	10010073	20010073	2	1	34.159806	133.100331	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10073	2000-01-01 00:00:00	2100-12-31 23:59:59
10010074	10010074			1	7	38	10010074	20010074	2	1	33.983606	132.955555	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10074	2000-01-01 00:00:00	2100-12-31 23:59:59
10010075	10010075			1	7	38	10010075	20010075	2	1	33.992735	132.9149	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10075	2000-01-01 00:00:00	2100-12-31 23:59:59
10010077	10010077			1	7	38	10010077	20010077	2	1	34.257784	133.052317	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10077	2000-01-01 00:00:00	2100-12-31 23:59:59
10010079	10010079			1	7	38	10010079	20010079	2	1	34.238447	133.003951	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10079	2000-01-01 00:00:00	2100-12-31 23:59:59
10010081	10010081			1	7	38	10010081	20010081	2	1	33.975221	133.021073	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10081	2000-01-01 00:00:00	2100-12-31 23:59:59
10010082	10010082			1	7	38	10010082	20010082	2	1	34.114055	132.904543	1	https://www.nap-camp.com/campaigns/yurucamp?campsite_id=10082	2000-01-01 00:00:00	2100-12-31 23:59:59
