id	priority	title	title_text_id	item_id	resource_id	news_id	term	term_text_id	open_date	application_end_date	lottery_result_date	close_date
1	1	プレゼントキャンペーン【応募終了発表終了テスト】	1	60000	30170012	1	○○	1	2021-07-01 11:00:00	2021-08-01 23:59:59	2021-08-02 23:59:59	2021-10-10 23:59:59
2	2	プレゼントキャンペーン【応募終了未発表テスト】	1	60000	30170012	1	○○	1	2021-07-01 11:00:00	2021-08-01 23:59:59	2021-10-02 23:59:59	2021-10-10 23:59:59
3	3	プレゼントキャンペーン【応募中テスト】	1	60000	30170012	1	○○	1	2021-07-01 11:00:00	2021-10-01 23:59:59	2021-10-02 23:59:59	2021-10-10 23:59:59
4	4	"プレゼントキャンペーン
【応募終了発表終了〇〇】"	1	60000	30170012	1	○○	1	2022-07-01 11:00:00	2022-08-01 23:59:59	2022-08-02 23:59:59	2022-10-10 23:59:59
5	5	"プレゼントキャンペーン
【応募終了未発表テスト】"	1	60001	30170012	1	○○	1	2022-07-01 11:00:00	2022-08-01 23:59:59	2022-10-02 23:59:59	2022-10-10 23:59:59
6	6	"プレゼントキャンペーン
【応募中テスト】"	1	60002	30170012	1	○○	1	2022-07-01 11:00:00	2022-10-01 23:59:59	2022-10-02 23:59:59	2022-10-10 23:59:59
7	7	"○○確定応募券〇
【応募終了未発表テスト】"	1	60001	30170012	1	○○	1	2022-06-01 11:00:00	2022-07-01 23:59:59	2022-09-02 23:59:59	2022-09-10 23:59:59
8	8	"○○確定応募券〇
【応募中テスト】"	1	60002	30170012	1	○○	1	2022-06-01 11:00:00	2022-09-01 23:59:59	2022-09-02 23:59:59	2022-09-10 23:59:59
9	1	"○○応募券応募〇
【応募終了発表終了〇〇】"	1	60000	30170012	1	○○	1	2022-07-01 11:00:00	2022-08-01 23:59:59	2022-08-02 23:59:59	2022-10-10 23:59:59
10	2	"○○応募券応募〇
【応募終了未発表テスト】"	1	60001	30170012	1	○○	1	2022-07-01 11:00:00	2022-08-01 23:59:59	2022-10-02 23:59:59	2022-10-10 23:59:59
11	3	"○○応募券応募〇
【応募中テスト】"	1	60002	30170012	1	○○	1	2022-07-01 11:00:00	2022-10-01 23:59:59	2022-10-02 23:59:59	2022-10-10 23:59:59
99901	4	○○確定応募券応募ページ【テスト】	1	21002	30170012	1	○○	1	2020-07-10 11:00:00	2020-08-03 23:59:59	2020-08-04 23:59:59	2020-08-05 23:59:59
99902	5	○○抽選券応募ページ【テスト】	1	21002	30170012	1	○○	1	2020-07-10 11:00:00	2020-08-03 23:59:59	2020-08-04 23:59:59	2020-08-05 23:59:59
