id	lottery_id	type	real_incentive_type	name	name_text_id	description	description_text_id	detail_description	detail_description_text_id	resource_id	reward_id	num_winners	lottery_num_winners	application_need_ticket
1	1		default	全メンバーテスト	1	テスト用の説明文を表示しています	1	テスト用の詳細説明文を表示しています。	1			69		1
2	2		default	全メンバーテスト	1	テスト用の説明文を表示しています	1	テスト用の詳細説明文を表示しています。	1			69		1
3	3		default	全メンバーテスト	1	テスト用の説明文を表示しています	1	テスト用の詳細説明文を表示しています。	1			69		1
4	4		default	全メンバーテスト	1	テスト用の詳細説明文を表示しています。	1	テスト用の詳細説明文を表示しています。	1			69		1
6	4		ticket	ライブチケットテスト	1	テスト用の詳細説明文を表示しています。	1	テスト用の詳細説明文を表示しています。	1			69		99
7	4		default	ゲーム内アイテム	1	テスト用の詳細説明文を表示しています。	1	テスト用の詳細説明文を表示しています。	1		1	69		999
8	5		default	全メンバーテスト	1	テスト用の詳細説明文を表示しています。	1	テスト用の詳細説明文を表示しています。	1			69		1
10	5		ticket	ライブチケットテスト	1	テスト用の詳細説明文を表示しています。	1	テスト用の詳細説明文を表示しています。	1			69		99
11	5		default	ゲーム内アイテム	1	テスト用の詳細説明文を表示しています。	1	テスト用の詳細説明文を表示しています。	1		1	69		999
12	6		default	全メンバーテスト	1	テスト用の詳細説明文を表示しています。	1	テスト用の詳細説明文を表示しています。	1			69		1
14	6		ticket	ライブチケットテスト	1	テスト用の詳細説明文を表示しています。	1	テスト用の詳細説明文を表示しています。	1			69		99
15	6		default	ゲーム内アイテム	1	テスト用の詳細説明文を表示しています。	1	テスト用の詳細説明文を表示しています。	1		1	69		999
16	7		default	○○	1	○○	1	○○	1			69		1
17	7		ticket	○○	1	○○	1	○○	1			69		99
18	7		default	○○	1	○○	1	○○	1		1	69		999
19	8		default	○○	1	○○	1	○○	1			69		1
20	8		ticket	○○	1	○○	1	○○	1			69		99
21	8		default	○○	1	○○	1	○○	1		1	69		999
22	9		default	○○	1	○○	1	○○	1			69		1
23	9		ticket	○○	1	○○	1	○○	1			69		99
24	9		default	○○	1	○○	1	○○	1		1	69		999
25	10		default	○○	1	○○	1	○○	1			69		1
26	10		ticket	○○	1	○○	1	○○	1			69		99
27	10		default	○○	1	○○	1	○○	1		1	69		999
28	11		default	○○	1	○○	1	○○	1			69		1
29	11		ticket	○○	1	○○	1	○○	1			69		99
30	11		default	○○	1	○○	1	○○	1		1	69		999
99901	99901		default	○○	1	○○	1	○○	1			25		1
99902	99902		default	○○	1	○○	1	○○	1			30		1
