id	lastname	lastname_text_id	firstname	firstname_text_id	fullname	fullname_text_id	description	description_text_id	birthday	birthplace	birthplace_text_id	constellation	constellation_text_id	personality	character_voice	character_voice_text_id	home_member_picture_id	work_type_values	series_id	group_id	order	reward_id	dearlevel_growth_id	thumbnail_stand_pos	thumbnail_favorite_pos	thumbnail_sit_pos	open_date	close_date
1	各務原	10001	なでしこ	10006	各務原 なでしこ	10011	○○	10016	2021-03-04 00:00:00		1	ー	1		花守 ゆみり	10021		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	1	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
2	志摩	10002	リン	10007	志摩 リン	10012	○○	10017	2021-10-01 00:00:00		1	ー	1		東山 奈央	10022		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	2	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
3	大垣	10003	千明	10008	大垣 千明	10013	○○	10018	2021-08-31 00:00:00		1	ー	1		原 紗友里	10023		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	3	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
4	犬山	10004	あおい	10009	犬山 あおい	10014	○○	10019	2021-03-04 00:00:00		1	ー	1		豊崎 愛生	10024		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	4	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
5	斉藤	10005	恵那	10010	斉藤 恵那	10015	○○	10020	2021-09-01 00:00:00		1	ー	1		高橋 李依	10025		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	5	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
11	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
12	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
13	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
14	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
16	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
21	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
22	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
23	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
