id	member_id	type_id	interval	body	body_text_id
1200141	1	2	24	なでしこ「次のキャンプはいつにする？\n計画立てたいな(*´v`*)」	20001
1200152	1	2	72	なでしこ「面白いギアを見つけたよ！！\n見に来ない？」	20006
1200164	1	2	168	なでしこ「新しいキャンプごはんの\nレシピを考えてみたんだけど…」	20011
1200181	1	2	720	なでしこ「最近忙しいのかな？\n時間があったらまたキャンプ行こうね(＞v＜)ﾉｼ」	20016
1200242	2	2	24	リン「この前言ってたキャンプの話なんだけど…」	20002
1200253	2	2	72	リン「次の週末晴れるかな？\nキャンプ行きたいんだけど…」	20007
1200265	2	2	168	リン「あのさ…いや　やっぱいいや\n待ってるから」	20012
1200282	2	2	720	リン「久しぶり。\nもし時間あったら来てくれると嬉しいな」	20017
1200343	3	2	24	あおい「いいキャンプ場見つけたんよ～\n今度行きたいなぁ」	20003
1200361	3	2	72	あおい「みんなでお茶飲んでるから\n時間あったら来てなー」	20008
1200371	3	2	168	あおい「忙しいみたいやね。\n息抜きにキャンプせえへん？」	20013
1200383	3	2	720	あおい「あきから面白い話聞いたんよ\n気にならへん？」	20018
1200444	4	2	24	千明「野クル集合！！\n次のキャンプの話しようぜ」	20004
1200462	4	2	72	千明「キャンプの準備はバッチリだぜ！\nいつでも声かけてくれよ☝(◔◞౪◟◔)☝」	20009
1200472	4	2	168	千明「応答せよ隊員！！\n野クルは君を待ってるからな(゜∀゜)」	20014
1200491	4	2	720	千明「元気してるか？\nまた野クルに遊びに来いよな」	20019
1200551	5	2	24	恵那「ちょっと次のキャンプについて\n相談したいんだけどいいかな？」	20005
1200563	5	2	72	恵那「おーい　元気？\nまた一緒にキャンプしたいな」	20010
1200573	5	2	168	恵那「ちくわが会いに来てほしいみたい(＊´エ`＊)\n今日時間あるかな？」	20015
1200631	5	2	720	恵那「あなたはキャンプに行きたくなーる…なんてね。\n待ってるよー（*’エ`）b」	20020
1301101	11	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1301201	12	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1301301	13	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1301401	14	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1302101	21	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1302201	22	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1302301	23	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1303101	31	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1303201	32	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1303301	33	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1303401	34	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1303501	35	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1304101	41	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1304201	42	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1304301	43	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1305101	51	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1305201	52	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1305301	53	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1306101	61	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1310101	101	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1311101	111	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1311201	112	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1312101	121	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1312201	122	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
1313101	131	3		「あれ？　誰か来たみたいだ\n待ち合わせしてたっけ…？」	20021
