grade	point	daily_reward_id	resource_id	stamp_limit	gear_limit	cook_limit	multiple_visit_flag	report_limit	reward_id
		3100	34170008	1	450	50		500	
1	50	3101	34170008	3	675	75		750	5101
2	500	3102	34170009	3	675	75		750	5102
3	1500	3103	34170010	5	675	75		750	5103
4	4000	3104	34170010	5	675	75		750	5104
5	8000	3105	34170011	10	675	75	1	750	5105
6	15000	3106	34170011	10	900	100	1	1000	5106
7	35000	3107	34170012	15	900	100	1	1000	5107
8	80000	3108	34170012	15	900	100	1	1000	5108
9	150000	3109	34170013	15	900	100	1	1000	5109
10	250000	3110	34170013	20	900	100	1	1000	5110
11	400000	3111	34170013	20	900	100	1	1000	5111
12	600000	3112	34170014	20	900	100	1	1000	5112
