mini_game_id	category	level	value
902	1		1.0
902	1	1	1.05
902	1	2	1.1
902	1	3	1.15
902	1	4	1.2
902	1	5	1.25
902	1	6	1.3
902	1	7	1.35
902	1	8	1.4
902	1	9	1.45
902	1	10	1.5
902	1	11	1.55
902	1	12	1.6
902	1	13	1.65
902	1	14	1.7
902	1	15	1.75
902	1	16	1.8
902	1	17	1.85
902	1	18	1.9
902	1	19	1.95
902	1	20	2.0
902	2		0.5
902	2	1	0.625
902	2	2	0.75
902	2	3	0.875
902	2	4	1.0
902	2	5	1.125
902	2	6	1.25
902	2	7	1.375
902	2	8	1.5
902	2	9	1.625
902	2	10	1.75
902	2	11	1.875
902	2	12	2.0
902	2	13	2.125
902	2	14	2.25
902	2	15	2.375
902	2	16	2.5
902	2	17	2.625
902	2	18	2.75
902	2	19	2.875
902	2	20	3.0
902	3		0.01
902	3	1	0.013
902	3	2	0.016
902	3	3	0.019
902	3	4	0.022
902	3	5	0.025
902	3	6	0.028
902	3	7	0.031
902	3	8	0.034
902	3	9	0.037
902	3	10	0.04
902	3	11	0.043
902	3	12	0.046
902	3	13	0.049
902	3	14	0.052
902	3	15	0.055
902	3	16	0.058
902	3	17	0.061
902	3	18	0.064
902	3	19	0.067
902	3	20	0.07
902	4		
902	4	1	1.0
902	4	2	2.0
902	4	3	3.0
902	4	4	4.0
902	4	5	5.0
902	4	6	6.0
902	4	7	7.0
902	4	8	8.0
902	4	9	9.0
902	4	10	10.0
902	4	11	11.0
902	4	12	12.0
902	4	13	13.0
902	4	14	14.0
902	4	15	15.0
902	4	16	16.0
902	4	17	17.0
902	4	18	18.0
902	4	19	19.0
902	4	20	20.0
