id	mini_game_id	target_param	level	price
9020101	902	1	1	10
9020102	902	1	2	12
9020103	902	1	3	14
9020104	902	1	4	16
9020105	902	1	5	18
9020106	902	1	6	20
9020107	902	1	7	22
9020108	902	1	8	24
9020109	902	1	9	26
9020110	902	1	10	28
9020111	902	1	11	30
9020112	902	1	12	32
9020113	902	1	13	34
9020114	902	1	14	36
9020115	902	1	15	38
9020116	902	1	16	40
9020117	902	1	17	42
9020118	902	1	18	44
9020119	902	1	19	46
9020120	902	1	20	50
9020201	902	2	1	10
9020202	902	2	2	12
9020203	902	2	3	14
9020204	902	2	4	16
9020205	902	2	5	18
9020206	902	2	6	20
9020207	902	2	7	22
9020208	902	2	8	24
9020209	902	2	9	26
9020210	902	2	10	28
9020211	902	2	11	30
9020212	902	2	12	32
9020213	902	2	13	34
9020214	902	2	14	36
9020215	902	2	15	38
9020216	902	2	16	40
9020217	902	2	17	42
9020218	902	2	18	44
9020219	902	2	19	46
9020220	902	2	20	50
9020301	902	3	1	10
9020302	902	3	2	12
9020303	902	3	3	14
9020304	902	3	4	16
9020305	902	3	5	18
9020306	902	3	6	20
9020307	902	3	7	22
9020308	902	3	8	24
9020309	902	3	9	26
9020310	902	3	10	28
9020311	902	3	11	30
9020312	902	3	12	32
9020313	902	3	13	34
9020314	902	3	14	36
9020315	902	3	15	38
9020316	902	3	16	40
9020317	902	3	17	42
9020318	902	3	18	44
9020319	902	3	19	46
9020320	902	3	20	50
9020401	902	4	1	200
9020402	902	4	2	205
9020403	902	4	3	210
9020404	902	4	4	215
9020405	902	4	5	220
9020406	902	4	6	225
9020407	902	4	7	230
9020408	902	4	8	235
9020409	902	4	9	240
9020410	902	4	10	245
9020411	902	4	11	250
9020412	902	4	12	255
9020413	902	4	13	260
9020414	902	4	14	265
9020415	902	4	15	270
9020416	902	4	16	275
9020417	902	4	17	280
9020418	902	4	18	285
9020419	902	4	19	290
9020420	902	4	20	300
